year,mergecode,districtcode,black,hispanic,white,lowincome,droprate,totalenroll,charter,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,state,year_21
21,625-0411georgia,625georgia,16.0,8.0,65.0,24.0,1.9,1000,0,130102000000.0,0.0,1.0,0.0,1.0,georgia,1
17,625-2052georgia,625georgia,89.0,3.0,5.0,79.0,2.5,1080,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
18,625-2052georgia,625georgia,87.0,4.0,5.0,65.0,5.4,1093,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
19,625-2052georgia,625georgia,86.0,6.0,5.0,75.0,2.9,1103,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
21,625-2052georgia,625georgia,87.0,7.0,4.0,72.0,6.1,1049,0,130102000000.0,0.0,1.0,0.0,1.0,georgia,1
17,625-3056georgia,625georgia,72.0,15.0,8.0,71.0,5.6,786,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
18,625-3056georgia,625georgia,71.0,16.0,9.0,58.0,5.4,778,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
19,625-3056georgia,625georgia,71.0,19.0,6.0,85.0,6.0,800,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
21,625-3056georgia,625georgia,63.0,24.0,8.0,62.0,3.5,914,0,130102000000.0,0.0,1.0,0.0,1.0,georgia,1
17,625-5060georgia,625georgia,65.0,4.0,21.0,64.0,3.5,1143,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
18,625-5060georgia,625georgia,62.0,6.0,21.0,47.0,2.4,1125,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
19,625-5060georgia,625georgia,63.0,7.0,21.0,58.0,2.7,1148,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
21,625-5060georgia,625georgia,58.0,11.0,20.0,50.0,1.8,1056,0,130102000000.0,0.0,1.0,0.0,1.0,georgia,1
17,625-5070georgia,625georgia,66.0,10.0,16.0,62.0,3.9,1231,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
18,625-5070georgia,625georgia,67.0,10.0,14.0,49.0,2.2,1182,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
19,625-5070georgia,625georgia,69.0,12.0,12.0,63.0,2.0,1100,0,130102000000.0,0.0,0.0,1.0,0.0,georgia,0
21,625-5070georgia,625georgia,66.0,14.0,11.0,58.0,2.2,1045,0,130102000000.0,0.0,1.0,0.0,1.0,georgia,1
17,628-0106georgia,628georgia,3.0,7.0,88.0,15.0,1.0,2100,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
18,628-0106georgia,628georgia,2.0,7.0,87.0,15.0,1.2,2000,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
19,628-0106georgia,628georgia,3.0,8.0,87.0,12.0,0.8,2125,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
21,628-0106georgia,628georgia,2.0,9.0,86.0,13.0,1.3,2154,0,130111000000.0,0.1,0.0,0.9,0.05,georgia,1
17,628-0115georgia,628georgia,9.0,17.0,66.0,23.0,2.0,1800,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
18,628-0115georgia,628georgia,9.0,18.0,65.0,20.0,1.9,1947,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
19,628-0115georgia,628georgia,9.0,20.0,64.0,21.0,2.3,1957,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
21,628-0115georgia,628georgia,7.0,22.0,63.0,19.0,1.3,2077,0,130111000000.0,0.1,0.0,0.9,0.05,georgia,1
17,628-0176georgia,628georgia,9.0,17.0,68.0,24.0,2.7,2556,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
18,628-0176georgia,628georgia,10.0,17.0,67.0,23.0,2.4,2625,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
19,628-0176georgia,628georgia,11.0,18.0,66.0,24.0,2.7,2593,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
