year,mergecode,districtcode,black,hispanic,white,totalenroll,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,state,year_21
18,4248-89581arizona,4248arizona,5.19,21.15,63.34,1754,18.0,0.89,40378002835,0.0,0.0,1.0,0.0,0,arizona,0
19,4248-89581arizona,4248arizona,6.0,21.19,62.27,1850,19.0,0.84,40378002835,0.0,0.0,1.0,0.0,0,arizona,0
21,4248-89581arizona,4248arizona,6.77,20.32,59.06,1949,17.0,2.0,40378002835,0.9,0.1,0.0,0.55,0,arizona,1
17,4389-5610arizona,4389arizona,0.0,11.49,15.74,705,68.0,3.54,40382000298,0.0,0.0,1.0,0.0,0,arizona,0
18,4389-5610arizona,4389arizona,0.0,10.24,16.36,654,68.0,3.54,40382000298,0.0,0.0,1.0,0.0,0,arizona,0
19,4389-5610arizona,4389arizona,0.0,10.06,16.41,646,68.0,4.9,40382000298,0.0,0.0,1.0,0.0,0,arizona,0
21,4389-5610arizona,4389arizona,0.0,15.56,10.48,630,63.0,10.72,40382000298,0.9,0.1,0.0,0.55,0,arizona,1
17,4389-5609arizona,4389arizona,0.0,14.93,24.8,375,72.0,3.18,40382000299,0.0,0.0,1.0,0.0,0,arizona,0
18,4389-5609arizona,4389arizona,0.0,18.82,22.31,372,72.0,1.68,40382000299,0.0,0.0,1.0,0.0,0,arizona,0
19,4389-5609arizona,4389arizona,0.0,20.0,21.58,380,72.0,5.28,40382000299,0.0,0.0,1.0,0.0,0,arizona,0
21,4389-5609arizona,4389arizona,0.0,15.82,16.33,392,67.0,5.87,40382000299,0.9,0.1,0.0,0.55,0,arizona,1
17,4469-6097arizona,4469arizona,0.0,32.45,60.47,1581,51.0,3.1,40387000306,0.0,0.0,1.0,0.0,0,arizona,0
18,4469-6097arizona,4469arizona,1.18,33.59,59.15,1530,50.0,3.63,40387000306,0.0,0.0,1.0,0.0,0,arizona,0
19,4469-6097arizona,4469arizona,0.82,34.07,59.05,1585,47.0,4.93,40387000306,0.0,0.0,1.0,0.0,0,arizona,0
21,4469-6097arizona,4469arizona,0.0,37.31,55.58,1533,47.0,6.81,40387000306,0.4,0.4,0.2,0.6,0,arizona,1
17,4469-6092arizona,4469arizona,0.0,32.62,62.86,420,57.0,1.36,40387001041,0.0,0.0,1.0,0.0,0,arizona,0
18,4469-6092arizona,4469arizona,0.0,32.76,62.1,409,52.0,5.1,40387001041,0.0,0.0,1.0,0.0,0,arizona,0
19,4469-6092arizona,4469arizona,0.0,33.64,59.68,434,52.0,3.61,40387001041,0.0,0.0,1.0,0.0,0,arizona,0
21,4469-6092arizona,4469arizona,0.0,31.25,60.58,416,49.0,5.98,40387001041,0.2,0.3,0.5,0.4,0,arizona,1
17,89563-89564arizona,89563arizona,3.43,94.46,0.0,379,92.0,0.0,40075402819,0.0,0.0,1.0,0.0,1,arizona,0
18,89563-89564arizona,89563arizona,0.0,96.46,0.0,395,92.0,0.35,40075402819,0.0,0.0,1.0,0.0,1,arizona,0
19,89563-89564arizona,89563arizona,3.51,93.81,0.0,485,92.0,0.0,40075402819,0.0,0.0,1.0,0.0,1,arizona,0
21,89563-89564arizona,89563arizona,5.3,85.13,6.72,491,92.0,3.52,40075402819,0.5,0.5,0.0,0.75,1,arizona,1
17,90034-90035arizona,90034arizona,5.62,52.23,26.28,605,60.0,0.33,40076902956,0.0,0.0,1.0,0.0,1,arizona,0
18,90034-90035arizona,90034arizona,5.95,49.9,23.0,487,73.0,2.52,40076902956,0.0,0.0,1.0,0.0,1,arizona,0
19,90034-90035arizona,90034arizona,5.91,50.51,19.93,592,70.0,1.25,40076902956,0.0,0.0,1.0,0.0,1,arizona,0
21,90034-90035arizona,90034arizona,7.1,53.27,17.2,535,70.0,7.69,40076902956,0.5,0.5,0.0,0.75,1,arizona,1
17,89788-89789arizona,89788arizona,6.75,32.8,56.27,311,52.0,2.58,40078302932,0.0,0.0,1.0,0.0,1,arizona,0
18,89788-89789arizona,89788arizona,6.85,32.33,54.79,365,56.0,0.85,40078302932,0.0,0.0,1.0,0.0,1,arizona,0
19,89788-89789arizona,89788arizona,5.4,30.33,59.13,389,47.0,2.14,40078302932,0.0,0.0,1.0,0.0,1,arizona,0
21,89788-89789arizona,89788arizona,0.0,39.01,52.47,364,49.0,9.09,40078302932,0.6,0.4,0.0,0.7,1,arizona,1
17,4259-78934arizona,4259arizona,2.81,94.68,1.77,677,89.0,4.84,40396001876,0.0,0.0,1.0,0.0,0,arizona,0
18,4259-78934arizona,4259arizona,2.45,95.24,0.0,693,89.0,2.45,40396001876,0.0,0.0,1.0,0.0,0,arizona,0
19,4259-78934arizona,4259arizona,3.39,94.5,0.0,709,95.0,7.71,40396001876,0.0,0.0,1.0,0.0,0,arizona,0
21,4259-78934arizona,4259arizona,3.54,94.78,0.0,594,95.0,8.73,40396001876,0.3,0.7,0.0,0.85,0,arizona,1
17,4259-5243arizona,4259arizona,5.2,90.67,2.33,1115,99.0,2.41,40396000650,0.0,0.0,1.0,0.0,0,arizona,0
18,4259-5243arizona,4259arizona,6.99,87.88,2.61,1073,99.0,2.11,40396000650,0.0,0.0,1.0,0.0,0,arizona,0
19,4259-5243arizona,4259arizona,6.21,89.36,1.41,1062,96.0,9.89,40396000650,0.0,0.0,1.0,0.0,0,arizona,0
21,4259-5243arizona,4259arizona,4.65,91.55,1.59,817,96.0,10.07,40396000650,0.3,0.7,0.0,0.85,0,arizona,1
17,4445-89859arizona,4445arizona,4.46,31.77,58.47,1322,39.0,1.15,40399002895,0.0,0.0,1.0,0.0,0,arizona,0
18,4445-89859arizona,4445arizona,3.88,29.22,59.59,1314,39.0,1.75,40399002895,0.0,0.0,1.0,0.0,0,arizona,0
19,4445-89859arizona,4445arizona,3.76,30.43,58.88,1357,35.0,1.47,40399002895,0.0,0.0,1.0,0.0,0,arizona,0
21,4445-89859arizona,4445arizona,3.4,33.69,56.55,1413,36.0,4.96,40399002895,0.9,0.1,0.0,0.55,0,arizona,1
17,4445-5928arizona,4445arizona,4.45,31.31,56.97,674,51.0,0.23,40399000320,0.0,0.0,1.0,0.0,0,arizona,0
