year,mergecode,districtcode,droprate,black,white,hispanic,totalenroll,lowincome,charter,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,state,year_21
21,0140-3930colorado,0140colorado,0.4,1.06,77.92,14.44,1884,12.6,0,80531000881,0.3,0.4,0.3,0.55,colorado,1
17,0140-5224colorado,0140colorado,2.6,2.3,58.33,30.82,1392,27.4,0,80531000884,0.0,0.0,1.0,0.0,colorado,0
18,0140-5224colorado,0140colorado,3.1,2.14,58.83,31.48,1404,24.4,0,80531000884,0.0,0.0,1.0,0.0,colorado,0
19,0140-5224colorado,0140colorado,1.98,2.62,58.47,31.82,1411,25.0,0,80531000884,0.0,0.0,1.0,0.0,colorado,0
21,0140-5224colorado,0140colorado,1.9,2.82,58.45,30.84,1456,29.2,0,80531000884,0.4,0.3,0.3,0.5,colorado,1
17,0170-2140colorado,0170colorado,1.9,0.0,69.52,28.57,105,54.4,0,80327000288,0.0,0.0,1.0,0.0,colorado,0
18,0170-2140colorado,0170colorado,1.9,0.0,69.52,28.57,105,52.1,0,80327000288,0.0,0.0,1.0,0.0,colorado,0
19,0170-2140colorado,0170colorado,2.91,0.0,66.99,29.13,103,51.7,0,80327000288,0.0,0.0,1.0,0.0,colorado,0
21,0170-2140colorado,0170colorado,7.0,0.0,50.78,46.88,128,41.7,0,80327000288,0.0,0.0,1.0,0.0,colorado,1
17,0180-1458colorado,0180colorado,4.8,18.03,4.66,64.48,2900,68.9,0,80234000056,0.0,0.0,1.0,0.0,colorado,0
18,0180-1458colorado,0180colorado,5.7,17.84,5.07,65.56,2898,73.3,0,80234000056,0.0,0.0,1.0,0.0,colorado,0
19,0180-1458colorado,0180colorado,5.31,17.03,5.16,66.13,2654,66.7,0,80234000056,0.0,0.0,1.0,0.0,colorado,0
21,0180-1458colorado,0180colorado,3.4,15.75,4.56,69.4,2412,79.6,0,80234000056,0.4,0.6,0.0,0.8,colorado,1
17,0180-2673colorado,0180colorado,0.0,13.81,17.62,56.67,210,67.6,0,80234006644,0.0,0.0,1.0,0.0,colorado,0
18,0180-2673colorado,0180colorado,0.0,17.27,12.73,59.55,220,68.9,0,80234006644,0.0,0.0,1.0,0.0,colorado,0
19,0180-2673colorado,0180colorado,0.0,14.81,11.11,62.55,243,65.1,0,80234006644,0.0,0.0,1.0,0.0,colorado,0
21,0180-2673colorado,0180colorado,0.0,17.48,11.79,59.35,246,68.4,0,80234006644,0.4,0.6,0.0,0.8,colorado,1
17,0180-3354colorado,0180colorado,3.9,26.04,13.65,51.47,2285,59.4,0,80234000063,0.0,0.0,1.0,0.0,colorado,0
18,0180-3354colorado,0180colorado,4.1,24.52,13.06,52.52,2243,64.5,0,80234000063,0.0,0.0,1.0,0.0,colorado,0
19,0180-3354colorado,0180colorado,2.25,22.84,12.69,52.87,2088,57.3,0,80234000063,0.0,0.0,1.0,0.0,colorado,0
21,0180-3354colorado,0180colorado,4.0,18.73,11.73,58.43,1927,71.2,0,80234000063,0.4,0.6,0.0,0.8,colorado,1
17,0180-4024colorado,0180colorado,4.3,15.91,8.43,68.07,2634,75.2,0,80234000064,0.0,0.0,1.0,0.0,colorado,0
18,0180-4024colorado,0180colorado,4.4,14.66,6.72,69.93,2647,75.7,0,80234000064,0.0,0.0,1.0,0.0,colorado,0
19,0180-4024colorado,0180colorado,3.7,14.08,6.95,70.71,2677,72.4,0,80234000064,0.0,0.0,1.0,0.0,colorado,0
21,0180-4024colorado,0180colorado,2.6,12.8,5.95,71.76,2351,78.0,0,80234000064,0.4,0.6,0.0,0.8,colorado,1
17,0180-5298colorado,0180colorado,0.4,37.35,18.27,39.16,498,72.6,1,80234001916,0.0,0.0,1.0,0.0,colorado,0
18,0180-5298colorado,0180colorado,1.1,34.89,17.72,42.16,536,75.6,1,80234001916,0.0,0.0,1.0,0.0,colorado,0
19,0180-5298colorado,0180colorado,0.0,35.34,17.27,42.77,498,80.9,1,80234001916,0.0,0.0,1.0,0.0,colorado,0
21,0180-5298colorado,0180colorado,0.0,38.04,12.88,44.79,489,86.5,1,80234001916,0.0,1.0,0.0,1.0,colorado,1
