,mathpass_in_virtualper_inf
1881,-0.00042784279346384405
1882,-0.0006948650931823744
1883,-0.0008570180287560011
1884,-3.852803296791551e-05
1885,4.501038089998627e-05
1886,1.3416886521024618e-05
1887,-0.00013162637870897114
1888,-1.54238140566768e-05
1889,1.8948172474268556e-05
1890,3.870276333635642e-05
1891,-0.00047757453892566915
1892,-0.00018914010946237303
1893,-0.00023302654311651644
1894,3.633403593801457e-05
1895,-0.001263821312980686
1896,-0.0009404205027841303
1897,-0.000538792130777654
1898,0.00019035629356749614
1899,-0.004334057183751622
1900,-0.00031624766979796207
1901,0.0001890584497133498
1902,1.174147373093298e-05
1903,-0.000992369811409018
1904,-7.01738140422835e-05
1905,-6.467768216602605e-05
1906,-0.00014277312777895686
1907,-0.000994033443649611
1908,-0.0008239459476656263
1909,-0.0009267469196673539
1910,0.0008744504697407947
1911,-0.0026080646896054506
1912,-2.9704107995019146e-05
1913,5.768584870309365e-05
1914,-0.00018410015629035842
1915,-0.0005263936574460863
1916,0.00021559839898079583
1917,1.6592395370363562e-06
1918,6.178917407242398e-05
1919,0.00016858147993478086
1920,-0.0005248897862017983
1921,1.0378846750604483e-05
1922,-0.000729910539375192
1923,9.83598650020896e-06
1924,0.001050942046025897
1925,0.001246082457789445
1926,0.001058127704952061
1927,0.01122157849167693
1928,-1.7998788990483503e-06
1929,0.0008369101183731251
1930,-4.68087527132586e-06
1931,0.001612432393943882
1932,-0.0021904715444579456
1933,-0.004525431599085892
1934,0.006407179720717856
1935,-0.004754279705231407
1936,-0.0009112298603995678
1937,-0.0003767836194025678
1938,0.00021827754197624352
1939,-0.003764100357642028
1940,-0.0061365648896497945
1941,0.007115181412703213
1942,0.0032458538679285887
1943,0.016315258579226912
1944,0.0012939674733257053
1945,9.348136793558407e-05
1946,-0.0005503113433299327
1947,0.0036770374142101664
1948,-0.002635871394237616
1949,0.002011273471733772
1950,-0.00043030545768872364
1951,-0.0043382726007822
1952,0.0003122828596386971
1953,-0.0009741849195038306
1954,0.00071238698360688
1955,0.0012960818196439655
1956,-0.0008209896497860585
1957,4.624289353823635e-05
1958,0.00020189448318732586
1959,-0.0005554533803555349
1960,-0.0004923816720606202
1961,-0.000914516714174635
1962,0.0067144565755987515
1963,0.008018485034869391
1964,7.640279244769438e-05
1965,0.00024680145729039543
1966,3.8538092184119946e-05
1967,0.0012586208540374803
1968,0.00011351105498676046
1969,-3.95964464948903e-05
1970,-0.00016960734263014204
1971,0.00015845189673373977
1972,-0.0003233894923865978
1973,-0.0016820893092940878
1974,0.0023801171317449792
1975,-0.005315902408328282
1976,-0.0006873568945907392
1977,8.26670213661916e-05
1978,-1.2400674170308617e-06
1979,-0.0007479314058036649
1980,-0.004171699434130896
1981,-0.0007267967773500881
1982,0.00356459853111501
1983,-0.002085279165421287
1984,0.0015172292174377544
1985,0.00012712333031548515
