,elapass_black_virtualper_inf
444,-0.0001495053141578275
445,-0.0011904988379139024
446,-0.001238348931561312
447,0.0004904844504332519
448,0.0008740414075290748
449,-4.577664588149658e-05
450,-0.0004736432968750048
451,-0.0009880601570345783
452,-9.307676152816334e-05
453,0.0005857498123430021
454,0.00014359199007370308
455,-0.0008580069090761492
456,0.0003955966196142155
457,-4.15661202850948e-05
458,-7.929879972081714e-05
459,0.00064861444194145
460,1.4321612864629431e-05
461,4.558795277095803e-05
462,9.588431903310238e-05
463,0.0005070075209860132
464,0.001226095604995719
465,-2.489714637316373e-05
466,0.0002398136549712587
467,4.719285754207011e-05
468,5.837266158430712e-05
469,-0.00043492779007339835
470,-0.00040848738204671373
471,-0.0012147699326096172
472,0.00173115637460439
473,0.00037132256918173906
474,0.0006115060128391818
475,0.0005545038388335002
476,3.0181666023437574e-05
477,2.5318987884406315e-05
478,5.6457339962813405e-05
479,0.0002703783488004964
480,-0.000966725114932968
481,-0.00016448965003650705
482,0.001197538995080377
483,0.0009115043376877272
484,0.0007087342395542807
485,0.0012402330647573825
486,-0.0012076430416016483
487,0.0016809590450460154
488,0.0006233863770706158
489,0.00012601412339850217
490,-9.770465973160783e-07
491,0.0033949024636023635
492,0.0015937351341415026
493,0.0001274138995579427
494,-0.00038694639448590303
495,0.0018857561518617096
496,0.0004788745595458715
497,-1.0303285478728816e-05
498,-8.963276076183243e-05
499,0.000215679517501716
500,-5.320033236163554e-05
501,-0.0006950570791097121
502,-4.5678573058263954e-05
503,-0.002806134706707675
504,-0.0014451232345893698
505,0.0004809302543103765
506,-3.566571987672223e-05
507,-0.0010127421225715608
508,-0.0005473101448279553
509,-0.0005966873683145911
510,0.0004276034472603392
511,-0.002899861221749105
512,0.0002128018365981055
513,4.275373073352743e-05
514,-7.999882936208663e-05
515,-5.640290364083393e-05
516,0.0007826170161642709
517,-2.583106119152005e-05
518,1.0365925218359753e-05
519,0.0002895572802728112
520,0.0015433688106149246
521,1.432519277989897e-05
522,-0.0005070188995897271
523,0.0013718621658885598
524,0.0006299527445538052
525,1.986022258596632e-05
526,0.0003008937566508749
527,0.0023170050798418367
528,-0.00019114147620914954
529,-0.00011103555023445905
530,5.667248547055926e-05
531,-0.00027703360121451566
532,0.00019151917576915587
533,0.00014738105163735558
534,0.00013771323667049798
535,4.984683969889567e-05
536,3.479534184770693e-05
537,0.00018168309536091226
538,8.405492121067353e-05
539,0.00016946524795167887
540,-9.953607334443675e-06
541,-4.494461611480831e-05
542,-0.00024993866207772826
543,-0.0003814006328152643
544,-7.795287036511607e-05
545,0.000243473798798184
546,-0.0004366918633613624
547,-0.00024185460627785795
548,0.0004385459214559568
549,-0.0001393221407437828
550,-3.7724656133889124e-05
551,0.0006622102161367948
552,0.0010124890069093638
553,0.0010950274341775415
554,0.00013834014811923726
555,0.007569738199400434
556,0.004192414061389341
557,0.0009223770544177389
558,-0.0011728816847869133
559,0.005334513392745879
560,-0.00038874200033418225
561,0.0006472224010553764
562,-0.0013076961353544181
563,-0.00531806556287926
564,0.0022105700123785112
565,-0.0023569220312238135
566,0.0027681293235946947
567,0.01298783435409327
568,0.00430713403444157
569,-0.0027051101086931328
570,0.0006029393335777712
571,0.008228154933658529
572,0.0019313289078594015
573,-0.00020957485868215942
574,0.00032162495901180883
575,-0.00187984276042803
576,0.005778840701235027
577,-0.0030813117296996126
578,0.0017596784403074706
579,0.012813404436514146
580,0.000764454621215792
581,-0.00038345917216649547
582,-2.2085839038702278e-05
583,-0.0006619557644927461
584,0.002241264041453612
585,-0.0006772167971507306
586,-0.0023651113747506372
587,-0.003364689699565827
