,elapass_in_hybridper_inf
172,-0.0016894889207549127
173,0.0006220346382135211
174,-0.0004945819450195421
175,-0.004492022798149707
176,5.5467736493076004e-06
177,-0.00010154568028339435
178,0.00026195573516005303
179,-0.00010574521586609892
180,0.0001363682832695643
181,-0.0008170035733653064
182,0.0005977447172693116
183,0.00037484304399582237
184,-0.000380425580008127
185,-0.00034300496946418997
186,0.00020920927875804854
187,-0.001918153441459355
188,-4.433273842024049e-06
189,-0.0006552269738717535
190,-5.427749617965809e-05
191,-0.002451103179719838
192,3.129026905539088e-05
193,0.0001753120207686668
194,-0.00018813264835248876
195,0.00041905272237962525
196,-5.1567577214159915e-05
197,-4.101589216236431e-05
198,0.00013441891197276456
199,0.00031368503485871386
200,0.0001601789406586374
201,0.00020933095003660294
202,-0.0001619542788548387
203,0.00016040340392365588
204,-0.0024229547284405927
205,0.005030906059647713
206,-0.0008470253577299298
207,0.005770735318420384
208,-3.924112146488604e-05
209,-0.00048068955807514053
210,0.00048084585563501074
211,-0.00019431623830375058
212,-0.0006201432831212561
213,-0.00046296004813271873
214,3.966764316806911e-05
215,0.000456821793051689
216,1.958406056654942e-06
217,3.171030838611455e-06
218,1.2932562783354608e-05
219,5.493700346946013e-05
220,0.0018520725286143677
221,-0.0019413130284075893
222,0.006731270482488319
223,0.01793538423430692
224,1.2469699309561856e-05
225,9.399723202111062e-06
226,-6.340075173845571e-06
227,-0.0002489754009062735
228,0.004535626084152015
229,-0.003619205013387288
230,-0.007731179997861014
231,-0.01858907022634819
232,5.030260893265328e-06
233,-0.00010666000473958215
234,-0.00011397206269298713
235,-0.0008196046531419127
236,-0.0006107910757658317
237,0.002101858056676117
238,-0.002538426281047191
239,-0.003919590825100493
240,0.00950870068094383
241,-0.0037801246274681262
242,0.008413022663682527
243,0.04844708033641373
244,-0.0063114384612462495
245,-0.002228814858474326
246,0.00231254094292003
247,-0.01728632228093902
248,-0.00017046469962678996
249,8.968553601035401e-05
250,-9.542216200686461e-05
251,-0.0008420859109832383
252,-0.0015389644749742059
253,1.9628747152700917e-05
254,-0.00029309953786151824
255,-9.199403262311307e-05
256,-7.915687216113048e-07
257,-0.00023446881833156602
258,-0.00019639234705732218
259,-0.0008352600118202178
260,0.007019616334451307
261,0.0017496747611279039
262,-0.0037953999751382753
263,0.0127724650855354
264,0.005745653298458462
265,-0.002391721767037665
266,-0.005267647043559216
267,-0.005817905393238615
268,9.196525102061607e-05
269,1.4134566651949161e-05
270,1.049568851308679e-05
271,0.0003396285967640659
272,0.0005777767787760882
273,0.0005230098146970094
274,-0.0003001206102351475
275,0.002420638241611023
276,-0.00016165771049984
277,0.0008509086596179488
278,9.75847952932149e-05
279,0.0019189854855902898
280,-0.009257207044933316
281,0.01394394211874238
282,-0.008461776166614865
283,-0.011719921036633973
284,-0.00014434434280683424
285,0.00011649314140596171
286,-4.4324777590273256e-05
287,0.000119806365524216
288,-0.0002684224093207683
289,0.00020359715481566064
290,2.62642324283832e-06
291,-0.0002468700633217969
292,-0.002428072671066172
293,-0.0012395662486806985
294,0.0024566250120868632
295,-0.003773846109884283
