,elapass_hispanic_hybridper_inf
2274,4.998275258556262e-05
2275,-0.003581683405123165
2276,0.0019262645252848757
2277,0.0010852697011283854
2278,-0.00018494815490046942
2279,-0.0012208152009220783
2280,-9.452349449039225e-05
2281,-5.713830997315468e-07
2282,0.00011297107346392063
2283,-0.00043784984018045974
2284,0.0014556743835881455
2285,-1.0337969766995766e-05
2286,0.0002016552373207519
2287,-7.025966831661374e-05
2288,0.0001139537222463342
2289,3.799378446968764e-05
2290,-3.4237614549427525e-05
2291,-1.981455649913876e-05
2292,0.004006117298833813
2293,0.0009871358036725197
2294,0.002032356973785548
2295,-0.006419392088894545
2296,-8.273550902221292e-05
2297,8.436843199910323e-05
2298,-7.011538028432156e-06
2299,-3.3914370526238036e-05
2300,-5.368486960998084e-05
2301,-6.387409957848445e-05
2302,-6.240544581912135e-05
2303,-0.00013641120211364325
2304,0.001344453282827689
2305,0.00011099288645137394
2306,-1.938656757331894e-05
2307,0.00010942793056366819
2308,0.00015809781614282176
2309,0.0005424625542585575
2310,-0.00040021164448656685
2311,0.0006532313284659157
2312,3.601864863461023e-05
2313,7.352415922056484e-05
2314,2.3708974182563795e-05
2315,-4.805817555734351e-06
2316,-1.4717665644331814e-05
2317,-4.208231981994332e-05
2318,0.00022931119974526533
2319,0.0002282894666368831
2320,0.00020162337762928803
2321,-8.14844862281223e-05
2322,-0.0009670321369518578
2323,-0.0004372390983960227
2324,4.5446153609783725e-05
2325,0.00013999048033522105
2326,0.00016073410608719363
2327,-1.245976011417486e-05
2328,0.009028350302206995
2329,0.002192029365123511
2330,-0.006009265420572186
2331,0.009154578400758902
2332,4.8918828902563384e-05
2333,-4.800246612456417e-05
2334,0.0008123322216169571
2335,-4.38281539326631e-05
2336,8.916649329020114e-06
2337,-5.972974802097109e-06
2338,5.207064692342688e-05
2339,5.889787330354831e-05
2340,0.0011643271684695408
2341,0.00020326524975581293
2342,-0.0030835573915859943
2343,-0.0017981173438016763
2344,-8.34738670784986e-06
2345,6.933193584360109e-06
2346,-3.606688932757525e-05
2347,5.127102861727199e-05
2348,-2.2546493693687237e-05
2349,-0.0005303178423247019
2350,0.0004211297227720193
2351,0.0011199209592059071
2352,9.42600572989833e-05
2353,-0.0002644564012717529
2354,0.0001148428732095018
2355,0.0006927027882753673
2356,-5.981040087914296e-06
2357,-8.944662026836156e-05
2358,0.0011347099716216915
2359,0.003065349695019309
2360,-0.0012679146879127031
2361,0.00044109734894314266
2362,0.0007658141442329646
2363,0.0013478197133150222
2364,-0.0002448384311734102
2365,0.00018903812603425155
2366,-8.48998190577089e-06
2367,-0.00035099385220074684
2368,-0.00025123295765506684
2369,-7.980036930400192e-05
2370,8.203475110162033e-07
2371,-3.075308453368638e-05
2372,0.0001321341485023418
2373,-4.456571377554918e-05
2374,-6.122180267103527e-05
2375,-0.0004039639594372521
2376,-0.00036863396898514
2377,-0.0005760051846493535
2378,0.0008208934904903203
2379,0.0004597062291547082
2380,-0.0014198677530150071
2381,0.0016093574345046506
2382,-0.0002694113065663284
2383,0.0002466756571062045
2384,9.051299873590251e-05
2385,1.1742494875110424e-05
2386,-9.310253854813512e-06
2387,0.00012855284722007514
2388,0.00020360795947764888
2389,0.00010660961738687853
2390,-0.00029336080508849944
2391,5.520000238036216e-05
2392,-0.0009309562589672178
2393,0.0013767206997215608
2394,-0.00012777051520290806
2395,0.002441322988126092
2396,-0.0017158974782175264
2397,1.8212234447266043e-06
2398,0.0002791046163738805
2399,-0.0042085149872493
2400,0.00010345523608637172
2401,0.00012533223552081598
2402,-0.0001295950556412529
2403,-3.9556525469790915e-05
2404,-3.44082460611301e-05
2405,0.0003176522677388669
2406,-2.126940761185871e-08
2407,0.0006962793182345777
2408,-0.0011057252325367415
2409,0.00036321761528991135
2410,-0.0004963632721519578
2411,-0.00357952902094993
2412,0.0014949594330775215
2413,0.0019029574961312214
2414,-0.003941979883031103
2415,-0.0009165796418359992
2416,7.803772936073383e-06
2417,-0.0001186751044134652
2418,-8.0257261942368e-05
2419,5.697932982027878e-06
2420,0.0016542534626709212
2421,0.002019821507561413
2422,0.002047847949343637
2423,0.0009675371391642624
2424,0.0014330461612046155
2425,-6.0255687333221844e-05
2426,0.0005698075579860557
2427,0.00367151634151672
2428,-0.0004998193289328424
2429,0.00011916955182214813
2430,0.0005368693500622888
2431,-3.880521189042327e-05
2432,8.984238202574526e-05
2433,-0.00010347296983946767
2434,0.0010081397145300702
2435,0.003442759817948591
2436,0.0005792641942712714
2437,-0.00018263225419957595
2438,-6.971350559685521e-05
2439,0.0008548768462781441
2440,-0.004938653162058267
2441,-0.00022110319543673285
2442,0.0005345732194146881
2443,-0.008686234759399943
2444,-0.0008660299624532908
2445,0.0001073210191852473
2446,0.00015205244594277597
2447,0.0009302015132307916
2448,0.0003669032868618748
2449,0.002000244197766946
2450,0.00042998174268407186
2451,0.011890408086112025
2452,-0.000473416107217834
2453,-1.0463343535923353e-05
2454,0.00031350383242348547
2455,-0.0029689354980748364
2456,0.0010404717316163145
2457,0.0013521543842665185
2458,-0.00011169309287240354
2459,0.00012468614264982846
2460,-0.00024401629502732007
2461,1.7304099777415807e-05
2462,-0.00017935869475039568
2463,0.00020742169633144344
2464,0.0007994187959129996
2465,-5.6046015358356885e-05
2466,-0.00033370333533961136
2467,-0.001346915088670134
2468,-0.00011843992761103957
2469,-9.192919039401744e-05
2470,0.0005414275024940958
2471,0.0002835782243694851
2472,-0.001002095355347969
2473,0.00011793095796804909
2474,-0.0005252126535150221
2475,0.0024096023406790564
2476,0.0006113295477722621
2477,0.0010649937329555677
2478,0.000731036250283642
2479,0.0006102120877639663
2480,-0.0007468252278978494
2481,-0.00030000100478854184
2482,6.297207142914508e-05
2483,-0.00015783311806796306
2484,-0.0003838778970834673
2485,0.0001457724611182707
2486,0.00011449963306961645
2487,-0.00025465708923411867
2488,0.0008867121705131268
2489,-0.00031386516573991634
2490,-0.0006745525915177287
2491,0.0017969746623544534
2492,-0.0015070235028932814
2493,0.0015955476249023574
2494,-0.001076594100095771
2495,-0.0016339013685811516
2496,-0.0017066636298947006
2497,0.004064251301048776
2498,0.0012702318968276594
2499,0.008476398008172044
2500,3.809558724932928e-05
2501,0.0001579095788828073
2502,-0.0004217148930338525
2503,-2.7390602312968768e-05
2504,0.000925468156283908
2505,0.0007243342014205666
2506,-3.248585051799604e-05
2507,0.004578446477600585
2508,0.0008694300944965861
2509,0.0011533365730325275
2510,8.334182526734832e-05
2511,0.008970340139441266
2512,0.001211053442094765
2513,0.0005847302653261567
2514,-0.0007923775559905216
2515,-0.0020536799089052125
2516,0.001796723277580314
2517,-0.0006025619550558584
2518,-0.00490289672669325
2519,-0.008807564471972293
2520,0.0023472823632997284
2521,-0.0008590822142093431
2522,0.0010686792951110917
2523,0.0075032773031106816
2524,0.0009763173730923611
2525,-2.7618413805029836e-06
2526,-0.0002938663346157495
2527,0.0001058962945193161
2528,2.801684254865536e-05
2529,0.0001962920913457389
2530,7.97191844246297e-05
2531,-0.0002761115627376453
2532,0.0027343661445698455
2533,0.00023137042699881882
2534,0.0002822769532989307
2535,0.009748088741262796
2536,-0.0003102264972521137
2537,0.00016954449445062125
2538,0.0004281355169884296
2539,-0.0001806963529404779
2540,-7.25760270014376e-05
2541,0.0011678921527060728
2542,-7.858916855495313e-05
2543,0.0007919546219393234
2544,0.0023865524462557946
2545,7.24503313752186e-05
2546,-2.7187402911394108e-05
2547,0.0036911414823236903
2548,0.0005792977028668136
2549,-0.0005393490287358725
2550,-0.0005373949378908527
2551,-0.0023490964632570097
2552,-0.00023921575348803347
2553,0.002578516902975688
2554,-0.0007824452429909223
2555,0.003936216632589306
2556,0.0008244888434280862
2557,-0.00039008483619494777
2558,-1.8250670247856307e-05
2559,0.0021444157715501703
2560,-0.0017865703351014313
2561,0.003303381449488935
2562,-0.002567744354129666
2563,-0.002524639955226561
