,drop_ed_hybridper_inf
328,-0.0002820371355762291
329,0.0006505355435698246
330,-0.0007457619671744491
331,-0.001437843350567981
332,-0.012397511166702813
333,-0.004040214549238765
334,0.009571226970525083
335,-0.026542912005035075
336,-0.0006811640218869094
337,-0.0003593233824774069
338,-0.00011535962599947325
339,-0.004087500906336913
340,-0.0012955081908202699
341,-0.00024312079399106324
342,-0.0016236666106101898
343,-0.009306621656467064
344,0.0019762049976715
345,-9.4587441333954e-05
346,-4.670214380578974e-05
347,0.0006473900704507938
348,0.0018572933368153622
349,-0.0007052157841022724
350,0.0011185522515637836
351,0.006723202720672436
352,-0.001197026227275216
353,0.0011091400177123672
354,0.0037489835493582295
355,0.012507317069508837
356,0.0007036972157797333
357,8.565119489655699e-05
358,-0.001439557644742383
359,-0.0017197463953968581
360,0.00442277752845102
361,0.0014624123128704365
362,0.0006511988899575373
363,0.019820891609463973
364,0.0022879486347545724
365,0.0009339634253343415
366,-0.0038863890506877093
367,-0.002629304561285248
368,0.0011401825764375598
369,0.0011649429401667144
370,-0.0006602215921126134
371,0.0056735239035523525
372,0.0020949048904874757
373,0.003958252754169002
374,-0.0050944080226770555
375,0.002571073919064814
376,2.5884533042023154e-05
377,0.0016029365726235804
378,-0.0006105434915824385
379,0.0035484886060545974
380,9.420286750236427e-05
381,-0.00025517178796970267
382,5.177684003439831e-05
383,-7.589159492968784e-05
384,-0.00013373666486235782
385,-0.0005064428580927051
386,0.000557005354009748
387,-0.0009701664547932929
388,0.0003257897864103095
389,-7.194572450274057e-05
390,-0.0002913939786041025
391,-0.0006337606735439506
392,-0.00043241050728838
393,8.257338635395427e-06
394,-0.00026883456090744996
395,9.324614715379503e-06
396,7.564130856720877e-05
397,-4.258011701462483e-05
398,-0.0001443324078269432
399,-0.0008106998589663223
400,-0.0004603886555447001
401,-0.0002928139851164683
402,0.0002088829222406588
403,-0.0012206534192137225
404,-0.0007310359106392319
405,-0.0003363526329696156
406,0.0002680314414184244
407,-0.0019798747308258733
408,-4.6658551033351347e-07
409,9.952539761330679e-05
410,-3.706958619059185e-05
411,0.0006723163520848755
412,-0.0007272152862858207
413,-0.0023519392195765487
414,0.0021719260600531706
415,-0.004115197584308383
416,-0.003930148228971993
417,0.0017405201009084237
418,0.004676088665422364
419,0.006017072097556683
420,0.0016361872885116999
421,-0.0007594734371182647
422,-0.002283248802433075
423,-0.004762565113328352
424,0.002471227890127977
425,0.0009055022214935458
426,-0.007332147097424256
427,-0.010155384540155191
428,0.004248864770270635
429,0.0010627599582689645
430,-0.0048243954561557134
