,drop_hispanic_virtualper_inf
316,-0.0001305882148827974
317,0.0048064164732717395
318,-0.004677869447463566
319,0.000561527666140441
320,-0.0008296568899542102
321,-0.0003108961048224574
322,-0.00016158012217471317
323,-0.0034771813712815205
324,0.0009367800399789419
325,-0.0010547563949256226
326,0.0014427962745074403
327,0.0047334581477860415
328,0.00020190075099968987
329,-0.000456573857238558
330,0.0006214016607209965
331,0.0010719654955819275
332,0.004676183973968075
333,0.0011318989892121702
334,-0.003439972406191238
335,0.008802962996586972
336,0.0004941163008256267
337,0.00029868353340206145
338,9.727840425010348e-05
339,0.0032518180678038308
340,0.0009182933341042053
341,0.00014180840766846352
342,0.0008700978200656655
343,0.0055087242037363034
344,-0.00124483951706795
345,0.0006375370401299333
346,-0.0001637696885428576
347,-0.0006102429038353558
348,-0.0015446060298387476
349,0.0005508655497797896
350,-0.0007237473466900732
351,-0.005095411465225645
352,0.0008818168224208224
353,-0.000679621238294941
354,-0.0023685484275784655
355,-0.00837509059088758
356,-0.0009316053630859052
357,-0.0001222761707076152
358,0.0019960588265022544
359,0.0023593338587952583
360,0.0019011872922293407
361,0.0007804084690283476
362,0.00027665898311095863
363,0.009106810560268547
364,-0.000833916333277687
365,-0.00032787757549887297
366,0.001198751081050254
367,0.0008983581460204833
368,-0.0005354079847345589
369,-0.0005311545783296454
370,0.00020313155631098434
371,-0.0023343803728413915
372,-0.0010363019033852506
373,-0.002356536305863706
374,0.0030401702554443857
375,-0.0014449609125707027
376,-1.566379878230362e-05
377,-0.0009974373651480334
378,7.736236769604089e-05
379,-0.0015958800490538914
380,6.497004379981685e-05
381,0.0003241923622234252
382,3.0060982979321635e-05
383,1.5597290056361752e-05
384,-0.0005302738760233897
385,-0.002966977585584786
386,0.00240778031075041
387,-0.004546795319352674
388,-0.0002829923262551914
389,-2.9538785459814158e-06
390,0.00016563639429034344
391,0.00036163420571607986
392,0.00036073791080074995
393,5.366238867177942e-06
394,3.498685787651332e-05
395,-2.0973704219353178e-05
396,-0.0008183032011638751
397,0.00045174716782622764
398,0.003442228063639936
399,0.010339670144512958
400,0.00036298453765686305
401,8.331417819266225e-05
402,-3.0042524243066104e-05
403,0.0005805563960159331
404,0.0015411474697807563
405,0.0006786149232774198
406,-0.0007444864347841234
407,0.004478473394011947
408,-0.00030069736406982924
409,-0.00014496698667133752
410,8.547721741750736e-05
411,-0.0016630561458922913
412,0.00037482038646544026
413,-0.0006165627983294647
414,2.034414646220069e-05
415,0.0005186689651848493
416,0.0008215202150887538
417,-0.00025727161646574623
418,-0.0010283682819221122
419,-0.0011714385374040754
420,-0.0005832440895651745
421,0.00022501470118230487
422,0.0003943754333734028
423,0.0013274457089916044
424,-0.0006870967782909861
425,-0.0002594480181436835
426,0.0023459872061732277
427,0.0030027815975995327
428,-0.0015353998391002708
429,-0.0003582126151024
430,0.001454379872591833
431,-0.0003245796719178066
432,0.0001772252611199791
433,0.0017781066615399196
434,-0.001700996480368437
435,0.0010060864474124968
436,-0.004577129894914831
437,-0.001655172970008408
438,0.0012067652424102946
439,-0.013483830738079286
440,-0.0029234188419836513
441,0.0017754081761753196
442,-0.0006024796446888874
443,-0.004032785359492662
444,-0.00010539672089853125
445,6.066733749436886e-05
446,-0.00048514432285215903
447,-0.0012416891432681443
448,-0.0011624763438485512
449,0.0006009358743867652
450,-0.0031212839240152357
451,-0.014573498079180696
452,-0.00039391727247369354
453,-0.002801906381600103
454,-0.0013599077139259045
455,-0.012712219303111085
456,0.0006155916176004881
457,0.004230783475632387
458,-0.0019462432862615419
459,0.005402642833451715
460,0.0034114359714052115
461,0.0023869093491521286
462,-0.004884944462798133
463,0.007986500794183284
464,-5.444364060558941e-05
465,2.0757343389714288e-06
466,0.0004057757231108043
467,0.00013142234726232257
468,-0.0002938737375585358
469,0.00025895218688839865
470,-0.00038119420494104147
471,0.0010595217026867418
472,0.00011043004221897449
473,4.5447448911158674e-05
474,0.0002265447614874512
475,0.0014528752619906626
476,-0.0016971659440948072
477,0.0007513354597254223
478,-0.0038053072401180266
479,-0.013759848080641726
480,0.0037803113975497385
481,-0.000731295149171191
482,-0.003262680002054453
483,0.005764181818525646
484,-0.0002715287589743081
485,0.005361475641176402
486,-0.002355200759690856
487,-0.0017718875486824306
488,0.00019905749124709217
489,-0.0007076888447312005
490,0.0001429956177276955
491,-0.00011928421021737574
492,-0.0001082487867539304
493,-0.0006958157389356845
494,0.0013585106523379667
495,0.002147487544602805
496,-0.0004841107370328632
497,0.001186057556358055
498,-0.0010155550703748533
499,-0.0002754661845145161
500,-0.01487463983385658
501,0.004081659275713159
502,0.00026701951697936043
503,-0.03643271056907458
504,-0.0011263865653298683
505,-0.00010916681237725205
506,0.001952144702386714
507,0.003815019349483268
508,0.000698846963358369
509,-0.0017950611412674885
510,0.0009990156416872632
511,-0.0008607157820762478
512,-0.0009656114528439926
513,0.0010531026940507713
514,0.0012544718537788797
515,0.005821009425330371
516,0.0001070006201006461
517,-0.0014766823231983194
518,0.0014400669024917712
519,-0.000977513748571497
520,-0.0002003258890311406
521,4.046085427969143e-05
522,0.00014227801873877477
