,mathpass_hybridper_inf
204,0.0015753264532933364
205,-0.0021385764521603037
206,0.001184051430137538
207,0.001403386578259292
208,-0.0010454267328331092
209,0.0021853971358774065
210,4.921912476717988e-05
211,0.003275232129775457
212,-0.00019888421961442121
213,1.1832407188058265e-05
214,-0.00020324311814829503
215,-0.0011557530540145743
216,-0.0011720319693020226
217,0.0015442553506468614
218,0.00038099640781474945
219,0.0034448421289747003
220,-0.0010416782336612686
221,3.1820514944643916e-05
222,0.001891355926228614
223,0.0015413198338379915
224,-0.0002584875661646263
225,0.0013405150192693793
226,-0.0014708525283091693
227,-0.0019803159675180772
228,-0.0008170309339653783
229,0.004865314383440856
230,-0.00210197731458697
231,0.005180739968845559
232,0.0017044073891615884
233,0.0006800374873736955
234,0.00036332086870092563
235,0.0015712716697896612
236,0.0006177570174993885
237,-0.0012248590469763469
238,0.002902058736129719
239,0.0063174642084177345
240,-0.003207804794046868
241,-0.0037210608852352106
242,0.002807964342497917
243,-0.010025045929614722
244,0.00021192874896260996
245,0.00011803064534083117
246,0.0002818435909771181
247,0.0022287049301797364
248,0.0011036353396539048
249,-0.0004819242210246684
250,0.00041314939405780806
251,0.0033409588598426634
252,0.00027345160025051034
253,7.027251238393919e-05
254,-0.0003618221103186256
255,-0.0007037537664233591
256,0.0024846040428735225
257,-0.004258562855224459
258,0.0038348832112055434
259,0.006481733322243264
260,0.0004036362551961008
261,-0.0009036856959054828
262,-4.261474588460575e-05
263,-0.0019320661734747245
264,-0.0007167802913206768
265,-0.0011368778250217463
266,-0.0003405080206799655
267,-0.005725796093521292
268,0.0009559119261653984
269,-0.000464105469731738
270,-0.0007672596254517352
271,-0.0007531008336495175
272,0.00022897918610088622
273,-3.9574087007816924e-05
274,-3.8242301130205075e-06
275,-2.424668516939366e-05
276,-0.0008412958706578469
277,0.0013558325157926366
278,-0.0006709000032983222
279,-0.0015824361021232495
280,0.00020116340804307044
281,-0.0015677188373074786
282,0.0004708443677282858
283,-0.002376298000255896
284,8.731025013203348e-05
285,-5.195516723647984e-05
286,-4.5828117489693304e-05
287,-0.0001067786503278612
288,-0.0007426024531103632
289,-0.0009847575871232029
290,0.0020317257715707937
291,0.0015005718134353553
292,0.0014679460936758016
293,0.0016476529104824545
294,-0.0026018693726404907
295,0.0010672979048289757
296,0.0008931670865630169
297,-0.0005115256852622273
298,-0.002052374625087339
299,-0.005812349584574336
300,-0.0011445223719777793
301,-0.0016076737954261718
302,0.00110796827441351
303,-0.004194462581794418
304,-0.005205850639672793
305,0.004382779605911439
306,-1.422382568488893e-05
307,-0.001283211135850891
308,-0.0004924724313118582
309,0.0021675833887633863
310,0.0012910136691377356
311,0.011063990088869905
312,3.88854058715533e-05
313,-1.123778809130828e-05
314,-0.0003434987104600844
315,-0.0014347513651195272
316,0.001122156505403788
317,-0.0007509310769961928
318,-0.0011901255075920662
319,-0.003751200235650171
320,-0.00030616748245761383
321,0.001181723418749561
322,-6.942603524900671e-05
323,0.0025135365906985177
324,-0.00022462832338450718
325,0.0007399954243657163
326,-0.00036838433178352527
327,0.0006631263263768138
328,0.00013596814404542826
329,0.00030684303327769695
330,-1.4777738397347331e-05
331,0.0011723197411003061
332,0.0010862720933537697
333,0.002856251634655717
334,-0.00239931202952997
335,0.004480735901286217
336,0.000613779761471293
337,0.00034934344401072706
338,-0.0014552366454379903
339,-0.0012917123006205842
340,0.0011833659467304265
341,-0.0005109024354398901
342,-0.0007857023878918917
343,-0.0002763807560015029
344,0.00019324797296538503
345,-0.0018886619773761356
346,0.0014219666604041719
347,-0.000576999217765672
348,-0.0005105059924245994
349,-0.005235578950045361
350,0.0022480848066905954
351,-0.011099250676446059
352,0.013433446638764177
353,-0.011661954356554715
354,-0.010915727798629487
355,-0.02885567641492703
356,0.00024105650265361276
357,-6.0021100302529933e-05
358,-3.809975945403717e-05
359,0.00030650993724291213
360,-0.0014202442831418554
361,-0.0016875819060618409
362,0.000358373198338727
363,-0.008106653403127072
364,0.002228673763019986
365,-0.0005604955677192108
366,0.0011920150740623331
367,0.00789334121718321
368,-0.0010926591589433576
369,0.002770225752258015
370,0.0012729820450043058
371,0.007464459075310074
372,0.0004914521330941964
373,-0.0006315151770194303
374,3.0225237107045287e-05
375,-0.00040151096449365047
376,-0.0024534437906805788
377,0.0017597584761636
378,0.002759626893339691
379,0.00639998287634134
380,0.0007224763067686517
381,0.003146539920566017
382,-0.0069718674158050446
383,-0.009357474130864888
384,-0.0009377530955244723
385,0.0007544253186703985
386,-0.00028833339588049797
387,-0.002132022903410839
388,-0.0015263416558759539
389,0.0015446937447972985
390,-0.0009801546938676452
391,-0.003961196332722451
392,-0.008596038416857282
393,-0.006077175500383347
394,0.0079453309930589
395,-0.01782672949010072
396,-0.0001986643980300624
397,-0.002623004277527637
398,0.0015159653917689612
399,-0.0036092469728026266
400,-4.407985185435961e-05
401,-0.0006937197813644566
402,0.0008365497062459494
403,0.00013437728172757313
404,-0.0007804066694256113
405,-0.0007442815907588916
406,0.000822253306369497
407,-0.0021078746813733675
408,0.0013386980355695934
409,-0.0015373361662062248
410,-0.0008934423847800807
411,-0.003993479910320377
412,0.0012293331306155479
413,-0.0011555833664132534
414,0.0006665688100056776
415,0.002979160458669028
416,0.00030616039785971103
417,-0.0016590406085223595
418,0.0007649779259663634
419,-0.0002935687889713041
420,-0.0021256257434739976
421,0.0014174142554130202
422,-0.002763063264820728
423,-0.010142690169085136
424,-0.0020330632805795014
425,0.0033221742339883944
426,-0.00028179869259154465
427,0.0026141699996323244
428,0.0003545509430994424
429,-0.0007776834670265628
430,0.0005658084470754897
431,0.000552029623918105
432,0.0012170314446817848
433,-0.002539793481152356
434,-0.0013030418943137671
435,-0.009712816526182642
436,-0.00235063776057779
437,0.0007379526561715188
438,-0.000958233271731728
439,-0.008352822868261528
440,-0.0006695534440152981
441,-0.0016384131576276434
442,0.0008561256005650528
443,-0.006510921866421708
444,-0.00015562670832365257
445,-0.00031509343837525457
446,8.19321635846568e-05
447,-0.0012267046361534816
448,0.0010457481938836632
449,-0.00047342646824604273
450,-4.761988935864941e-05
451,0.0008502038237417326
452,-0.0031416708726467527
453,0.001380765602335429
454,-0.0018669205456379363
455,-0.011292187500777422
456,-0.00028176129666870924
457,0.0008924051581886362
458,-0.0016305958833155176
459,-0.0028005405254772162
460,-0.0005253323923994994
461,0.0007039559463133601
462,-0.0026070406631409143
463,-0.009944312119664912
464,-0.0030324813797168023
465,0.0009053014097902164
