year,mergecode,lowincome
17,980-6578,65.7
17,980-6686,88.9
17,980-6936,90.5
17,980-7611,82.2
17,980-7882,69.1
17,980-8034,60.8
17,980-8337,89.8
17,980-8350,89.9
17,980-8923,87.6
17,980-9602,84.5
17,990-3234,51.7
17,990-4346,57.1
17,990-4394,43.5
17,990-5602,44.5
17,990-5841,37.1
17,990-6952,69.7
17,990-8122,55.1
17,990-8178,55.5
17,990-8392,44.5
17,990-9294,50.3
17,990-9334,49.6
17,990-9560,72.0
17,990-9562,59.0
17,990-9566,41.4
17,1000-203,74.8
17,1000-1332,54.4
17,1000-1334,62.4
17,1000-3027,37.0
17,1000-3102,81.9
17,1000-3106,50.7
17,1000-3108,50.1
17,1000-3110,46.0
17,1000-4474,40.4
17,1000-6138,50.0
17,1000-6338,54.6
17,1000-9610,49.7
17,1010-269,52.2
17,1010-452,64.9
17,1010-517,16.6
17,1010-871,67.2
17,1010-1032,74.7
17,1010-1126,25.3
17,1010-1340,79.6
17,1010-1613,16.3
17,1010-1616,26.2
17,1010-1625,57.5
17,1010-1798,73.9
17,1010-1870,46.1
17,1010-1885,33.1
17,1010-2202,41.1
17,1010-2400,53.4
17,1010-2510,84.1
17,1010-2528,71.4
17,1010-3175,23.8
17,1010-3218,69.4
17,1010-3360,88.6
17,1010-3470,57.8
17,1010-3592,74.7
17,1010-3890,91.0
17,1010-3920,74.3
17,1010-4070,40.1
17,1010-4090,74.0
17,1010-4138,54.7
17,1010-4358,84.2
17,1010-4424,34.0
17,1010-4530,66.8
17,1010-5146,44.8
17,1010-5404,63.6
17,1010-5576,81.6
17,1010-5604,60.2
17,1010-5610,31.4
17,1010-5878,75.5
17,1010-5948,74.8
17,1010-5988,89.7
17,1010-6306,75.3
17,1010-6680,56.6
17,1010-6856,69.0
17,1010-7228,93.4
17,1010-7482,86.7
17,1010-7513,52.1
17,1010-7523,64.6
17,1010-7556,69.9
17,1010-7705,38.6
17,1010-8246,25.3
17,1010-8346,41.2
17,1010-8457,93.7
17,1010-8466,60.6
17,1010-8902,46.2
17,1010-9404,67.5
17,1010-9445,86.3
17,1010-9618,86.8
17,1010-9660,90.5
17,1020-1582,15.0
17,1020-1588,13.9
17,1020-1590,10.3
17,1020-1592,7.4
17,1020-1604,48.1
17,1020-3482,13.0
