Org. Code,Organization Name,School Code,School Name,Grade Level,American Indian or Alaskan Native Female,American Indian or Alaskan Native Male,Asian Female,Asian male,Black or African American Female,Black or African American Male,Hispanic or Latino Female,Hispanic or Latino Male,White Female,White Male,Native Hawaiian or Other Pacific Islander Female,Native Hawaiian or Other Pacific Islander Male,Two or More Races Female,Two or More Races Male,PK-12 Total
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,080 (8th),0,0,1,1,0,0,19,29,1,3,0,0,0,1,55
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,ALL GRADE LEVELS,0,0,7,12,4,4,183,182,24,33,1,0,4,5,459
0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,090 (9th),0,1,1,0,1,0,19,15,7,5,0,0,1,3,53
0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,100 (10th),0,0,0,0,0,0,17,18,2,2,0,0,2,2,43
0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,110 (11th),0,0,0,0,0,0,25,16,7,7,0,0,2,1,58
0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,120 (12th),0,0,0,0,0,0,5,9,3,3,0,0,0,2,22
0010,MAPLETON 1,0695,BIG PICTURE COLLEGE AND CAREER ACADEMY,ALL GRADE LEVELS,0,1,1,0,1,0,66,58,19,17,0,0,5,8,176
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,007 (Full Day K),0,1,0,1,4,1,9,11,19,21,1,0,1,2,71
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,010 (1st),0,0,0,0,2,1,5,9,13,21,0,0,4,4,59
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,020 (2nd),1,0,0,1,1,2,4,12,24,26,0,1,0,5,77
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,030 (3rd),1,1,0,0,1,4,8,9,21,16,0,0,3,1,65
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,040 (4th),0,0,1,1,0,3,3,10,22,35,0,0,7,2,84
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,050 (5th),0,1,1,2,2,3,14,6,30,37,0,0,5,6,107
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,060 (6th),0,0,3,0,4,1,23,17,43,46,0,1,1,5,144
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,070 (7th),2,0,1,0,4,8,32,12,86,59,0,0,5,4,213
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,080 (8th),1,1,5,1,5,5,41,19,82,80,1,1,9,6,257
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,090 (9th),2,2,4,1,8,4,56,37,118,121,1,0,10,7,371
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,100 (10th),1,1,4,2,6,2,32,24,112,88,0,1,12,7,292
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,110 (11th),2,0,2,0,2,3,23,15,100,78,2,2,19,8,256
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,120 (12th),0,0,1,3,4,4,34,26,106,73,0,0,12,11,274
0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,ALL GRADE LEVELS,10,7,22,12,43,41,284,207,776,701,5,6,88,68,2270
0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,040 (4th),1,0,0,0,0,0,17,33,0,1,0,0,0,0,52
0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,050 (5th),0,0,0,0,0,0,25,22,2,2,0,0,1,0,52
0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,060 (6th),0,0,1,0,1,0,25,26,0,3,0,0,0,1,57
0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,070 (7th),0,0,1,0,1,0,23,27,1,2,0,0,0,0,55
0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,080 (8th),0,0,0,0,0,1,30,27,0,1,0,0,0,0,59
0010,MAPLETON 1,3590,GLOBAL INTERMEDIATE ACADEMY,ALL GRADE LEVELS,1,0,2,0,2,1,120,135,3,9,0,0,1,1,275
0010,MAPLETON 1,3623,GLOBAL PRIMARY ACADEMY,004 (PK),0,0,2,0,0,0,22,29,9,12,0,0,3,2,79
0010,MAPLETON 1,3623,GLOBAL PRIMARY ACADEMY,007 (Full Day K),0,0,1,2,0,0,19,18,0,2,0,0,0,0,42
0010,MAPLETON 1,3623,GLOBAL PRIMARY ACADEMY,010 (1st),0,0,0,0,0,0,23,22,2,2,0,0,0,2,51
0010,MAPLETON 1,3623,GLOBAL PRIMARY ACADEMY,020 (2nd),0,0,0,0,0,0,18,25,3,2,0,0,0,2,50
0010,MAPLETON 1,3623,GLOBAL PRIMARY ACADEMY,030 (3rd),0,1,1,0,0,0,24,22,2,0,0,0,0,1,51
0010,MAPLETON 1,3623,GLOBAL PRIMARY ACADEMY,ALL GRADE LEVELS,0,1,4,2,0,0,106,116,16,18,0,0,3,7,273
0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,120 (12th),1,0,1,0,0,0,22,35,9,11,0,0,1,1,81
0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,ALL GRADE LEVELS,1,0,1,0,0,0,22,35,9,11,0,0,1,1,81
0010,MAPLETON 1,9036,VALLEY VIEW K-8,007 (Full Day K),0,0,0,0,0,0,9,10,3,0,0,0,0,0,22
0010,MAPLETON 1,9036,VALLEY VIEW K-8,010 (1st),0,0,0,0,0,0,8,7,1,6,0,0,0,0,22
0010,MAPLETON 1,9036,VALLEY VIEW K-8,020 (2nd),0,0,0,0,1,0,19,14,4,3,0,0,2,0,43
0010,MAPLETON 1,9036,VALLEY VIEW K-8,030 (3rd),0,0,0,0,0,0,15,18,3,3,0,0,0,0,39
