1,ADAMS,40,SCHOOL DISTRICT 27J,8060,SOUTH ELEMENTARY SCHOOL,455,288,53,114,341,63%,12%,0.749,50%-75%
1,ADAMS,40,SCHOOL DISTRICT 27J,8130,SOUTHEAST ELEMENTARY SCHOOL,459,189,62,208,251,41%,14%,0.547,50%-75%
1,ADAMS,40,SCHOOL DISTRICT 27J,8820,TURNBERRY ELEMENTARY,673,138,51,484,189,21%,8%,0.281,25%-50%
1,ADAMS,40,SCHOOL DISTRICT 27J,9230,VIKAN MIDDLE SCHOOL,613,331,67,215,398,54%,11%,0.649,50%-75%
1,ADAMS,40,SCHOOL DISTRICT 27J,9426,WEST RIDGE ELEMENTARY,665,110,29,526,139,17%,4%,0.209,0% - 25%
1,ADAMS,50,BENNETT 29J,770,BENNETT ELEMENTARY SCHOOL,450,118,37,295,155,26%,8%,0.344,25%-50%
1,ADAMS,50,BENNETT 29J,774,BENNETT MIDDLE SCHOOL,247,68,25,154,93,28%,10%,0.377,25%-50%
1,ADAMS,50,BENNETT 29J,775,BENNETT HIGH SCHOOL,364,N/A,N/A,296,68,N/A,N/A,0.187,0% - 25%
1,ADAMS,60,STRASBURG 31J,7133,PRAIRIE CREEKS CHARTER SCHOOL,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25%-50%
1,ADAMS,60,STRASBURG 31J,8328,STRASBURG ELEMENTARY SCHOOL,429,88,42,299,130,21%,10%,0.303,25%-50%
1,ADAMS,60,STRASBURG 31J,8332,HEMPHILL MIDDLE SCHOOL,195,29,17,149,46,15%,9%,0.236,0% - 25%
1,ADAMS,60,STRASBURG 31J,8334,STRASBURG HIGH SCHOOL,309,N/A,N/A,254,55,N/A,N/A,0.178,0% - 25%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,0,Not a school,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,1622,CLARA E. METZ ELEMENTARY SCHOOL,301,235,23,43,258,78%,8%,0.857,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,2876,FAIRVIEW ELEMENTARY SCHOOL,286,229,28,29,257,80%,10%,0.899,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,3144,FRANCIS M. DAY ELEMENTARY SCHOOL,327,272,18,37,290,83%,6%,0.887,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,3792,HARRIS PARK ELEMENTARY SCHOOL,310,229,20,61,249,74%,7%,0.803,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,3931,HIDDEN LAKE HIGH SCHOOL,345,231,17,97,248,67%,5%,0.719,50%-75%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,4334,COLORADO STEM ACADEMY,383,156,39,188,195,41%,10%,0.509,50%-75%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,4465,JOSEPHINE HODGKINS ELEMENTARY SCHOOL,534,436,35,63,471,82%,7%,0.882,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,5388,M. SCOTT CARPENTER MIDDLE SCHOOL,502,427,33,42,460,85%,7%,0.916,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,5834,MESA ELEMENTARY SCHOOL,341,244,27,70,271,72%,8%,0.795,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,7305,IVER C. RANUM MIDDLE SCHOOL,697,559,62,76,621,80%,9%,0.891,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,7810,FLYNN ELEMENTARY SCHOOL,258,168,32,58,200,65%,12%,0.775,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,7812,SHAW HEIGHTS MIDDLE SCHOOL,566,409,52,105,461,72%,9%,0.814,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,7860,SHERRELWOOD ELEMENTARY SCHOOL,254,183,28,43,211,72%,11%,0.831,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,7952,SKYLINE VISTA ELEMENTARY SCHOOL,315,261,19,35,280,83%,6%,0.889,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,8406,SUNSET RIDGE ELEMENTARY SCHOOL,355,255,22,78,277,72%,6%,0.78,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,8798,TENNYSON KNOLLS ELEMENTARY SCHOOL,362,280,32,50,312,77%,9%,0.862,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,9236,WESTMINSTER ACADEMY FOR INTERNATIONAL STUDIES,254,199,16,39,215,78%,6%,0.846,75%-100%
1,ADAMS,70,WESTMINSTER PUBLIC SCHOOLS,9466,WESTMINSTER HIGH SCHOOL,2376,1682,179,515,1861,71%,8%,0.783,75%-100%
2,ALAMOSA,100,ALAMOSA RE-11J,114,ORTEGA MIDDLE SCHOOL,527,N/A,N/A,290,237,N/A,N/A,0.45,25%-50%
2,ALAMOSA,100,ALAMOSA RE-11J,115,ALAMOSA ELEMENTARY SCHOOL,1145,N/A,N/A,590,555,N/A,N/A,0.485,25%-50%
2,ALAMOSA,100,ALAMOSA RE-11J,118,ALAMOSA HIGH SCHOOL,607,N/A,N/A,427,180,N/A,N/A,0.297,25%-50%
2,ALAMOSA,100,ALAMOSA RE-11J,368,ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE,57,N/A,N/A,16,41,N/A,N/A,0.719,50%-75%
2,ALAMOSA,110,SANGRE DE CRISTO RE-22J,7626,SANGRE DE CRISTO ELEMENTARY SCHOOL,143,67,16,60,83,47%,11%,0.58,50%-75%
