,drop_ed_hybrid
885,-0.00011535263612293165
886,0.00032869240191674127
887,0.0001231039513644705
888,2.4767108070217558e-05
889,-0.00032964737913055315
890,0.0003039204212373937
891,-0.00011417395426514803
892,0.000109448380189214
893,0.00015053270601545835
894,-4.3224954802252004e-05
895,0.0009193558852800244
896,-0.0029066771459118554
897,-0.0005287663288451259
898,0.0018677602914871079
899,-0.0060385005094551955
900,5.694588295934913e-05
901,-0.00013312733710873885
902,0.00010201036488751527
903,0.0004461885856158847
904,0.00021296188246263507
905,-0.00011595474731497423
906,0.0004209362356958716
907,0.0016510826925165958
908,0.0020154620835610005
909,0.0005773213439150129
910,0.002233992242959496
911,0.01993042785948865
912,-0.00046271385889800585
913,0.0006790327667218888
914,0.0010581995191480135
915,0.005958993541262
916,0.0013705172134557044
917,0.0002525149772152462
918,0.000246065063748659
919,0.005936308066644098
920,0.0018086767726546277
921,0.0007680799122156108
922,0.00010962218488708867
923,0.007793869991149288
924,0.005933913825433533
925,0.0008050170102400614
926,-0.0014073610068557603
927,0.017921945072142946
928,0.00330205493614108
929,-7.197374353266203e-05
930,-0.0041134588036141175
931,-0.004726166546225438
932,0.0016340740782345377
933,-0.0005597228287718858
934,-0.0015482773233196142
935,-0.0009960197024619238
936,-0.0019137294182422714
937,0.0036329578885414076
938,-0.0053115329998965465
939,-0.01406362432354533
940,-4.369810439935195e-05
941,0.0003007074343257867
942,0.00016855392942293257
943,0.0017247593882820241
944,-0.00023090684416995653
945,3.995766277688558e-05
946,0.0007975559916333813
947,0.0013644133085910764
948,-0.00014371997482802643
949,-5.321361225601822e-05
950,-0.00022405840131643276
951,-0.00011806053860788657
952,-8.590290067500365e-05
953,-0.00014138370601752415
954,3.860461020604061e-05
955,-0.00040374608357378165
956,-8.981977182282295e-05
957,0.00013868362045816002
958,-0.0002380525174648431
959,0.00017073033446900538
960,-0.0007557530225115088
961,0.006223731177914907
962,-0.0024156090865907866
963,0.00860571230015045
964,0.0034340026713257673
965,0.0028100455502130216
966,-0.002469082058216709
967,0.011880115524518498
968,-0.0016294514997383148
969,-0.0005396965062232428
970,0.000640348796152681
971,-0.003309870263608378
972,-0.0007161848983655825
973,-0.0009000273506466589
974,-0.002613158599596485
975,-0.014061561978541047
976,-0.0030856358500291324
977,-0.0008873309739950664
978,-0.0014182432722693711
979,-0.016421353198810575
980,0.003506078773921855
981,-0.0013373653417279518
982,7.346067941368002e-05
983,0.0047938426758709594
984,-5.963837823740919e-05
985,-1.574978836599113e-05
986,7.403637097685721e-06
987,-0.00019398505084337845
988,-0.0022905629527601363
989,0.0016041885720509577
990,0.002090381037499018
991,0.005701887624017042
992,-0.000517540621027502
993,0.0015833578408749986
994,-0.00021038812365606476
995,0.0027247283549305815
996,0.00026850683481779373
997,4.622371634426893e-05
998,-0.00023474161310001177
999,-0.0004612268420960766
1000,-0.00035543749147313064
1001,0.0006426928821792517
1002,0.00038747143417908046
1003,0.002565695339068706
1004,-0.00038785441813298454
1005,-0.00011053966415663893
1006,-7.164254305281894e-05
1007,-0.0019563404915722642
1008,-3.3066003893345395e-05
1009,0.0001729247121188699
1010,0.0003504946549309458
1011,0.0014111366025717751
1012,-0.00033379416373190656
1013,-0.0009193910395645685
1014,0.0008804492829241578
1015,-0.0017967454538282974
1016,-0.0007399370110693193
1017,0.0008796431482116423
1018,-3.8023685873918334e-05
