,wi_elapass_hybridper_inf
411,-0.00014789151860567849
412,0.00012866633732561182
413,-4.9796359641502826e-05
414,8.47391069307104e-06
415,0.0004901839513010593
416,-0.00039014182438590686
417,0.0002011539514721342
418,3.315883818614303e-05
419,-0.0001793673842623772
420,-5.522763163405707e-05
421,-0.00035421189703887856
422,-0.0006267669244721414
423,-0.0039055597624848043
424,-0.00014142596374550659
425,0.00021021029484460919
426,-2.0617357255398478e-05
427,0.0005744540575683958
428,0.0005307584057779109
429,-0.00025996512674186193
430,0.00011877330705675173
431,1.4653841408571513e-05
432,-0.0014434473915085355
433,-0.00029796435561498555
434,0.0005242759851893227
435,-0.002674042849667285
436,-0.0001517351284535273
437,-0.0006917101144991406
438,0.00018333270826207293
439,-0.0014817865370664353
440,-0.0003756489981709423
441,-1.3642476551262076e-05
442,-1.645864321913456e-05
443,-0.0003921700050800874
444,-6.841062066461883e-05
445,-3.4063757387189997e-06
446,-8.053216425493524e-05
447,0.0002997825222238777
448,-0.00018603707776729259
449,-4.473575095212755e-05
450,0.00012827373483286365
451,-3.059294077056015e-05
452,0.00034142580359106616
453,0.001123203361171339
454,-0.0008670101877933908
455,-0.00018767864981457605
456,0.00031955461351337546
457,-8.499143363906068e-05
458,4.851759080915147e-05
459,0.0009738794329232633
460,-0.00074046688415291
461,0.00033555135600783916
462,-0.00011881569602708266
463,-0.0006537227759539841
464,-0.0012507288780449874
465,0.00045961703110381386
466,-4.0325027073266796e-05
467,-0.0012027920925247752
468,7.724567317744952e-05
469,0.0005804969157315131
470,-2.3480561787110066e-05
471,0.0006038978523186848
472,7.888762053503777e-05
473,0.00039853024789747254
474,0.0012379143691226687
475,-0.0015472908217142186
476,-0.0014031856181840787
477,0.0003820640304642493
478,0.000423729563324419
479,0.0016656406687946112
480,-0.003887138097865688
481,0.0001379381363543928
482,0.00014377471516727048
483,-0.0017483872731873804
484,-0.0005936977317926381
485,6.811909652324268e-05
486,6.850470631913987e-05
487,-0.0009419037502928657
488,-4.0664768136317454e-05
489,-5.6058813941239716e-05
490,-7.394077400375643e-05
491,-0.0007757943756840358
492,-0.0023171772151666433
493,0.00015463504970423235
494,-3.198570607901852e-05
495,-0.002394587423665608
496,0.0002294445536590015
497,0.00010953905938383225
498,5.9899498297525675e-05
499,-0.00020713795445909927
500,0.00011353063062748215
501,-0.00012639642218130703
502,-0.0015348824600255914
503,0.00012378067407971426
504,-0.0001217159144782891
505,1.1540830152326617e-05
506,-7.687540853295124e-05
507,-0.0008124308263581342
508,0.0001370084011161107
509,-6.86259611852312e-07
510,0.0004959232458771527
511,6.891037131923945e-05
512,0.00021084285280584483
513,0.0005138843836498747
514,-0.0005923086498389254
515,0.0005840410923012014
516,0.00012243798174670252
517,-0.0001469641494911798
518,-3.1612129608393437e-05
519,-0.0023169003236055974
520,-0.001285749680631657
521,-0.00026768138624448667
522,0.0007368397804367174
523,-0.002545827279738552
524,-0.0006560023065590656
525,8.575481695301028e-05
526,-1.5542985723937608e-06
527,-0.0002703133083548962
528,-0.0016765061453250887
529,-0.0006680452524898447
530,-0.00047610831681022507
531,-0.009466406675307126
532,-0.00010202153620407197
533,-0.0012558383620121891
534,-0.00011609982454470367
535,-0.004711808873699577
536,0.0012471858084737789
537,-0.0005250748394343513
538,3.671057025729364e-05
539,0.0008986642744415764
540,-0.0005121852498243748
541,-0.00022561941805858518
542,0.0001236890690671284
543,-0.0014755375019773302
544,-0.0002949128294343292
545,3.1355877056617505e-05
546,-0.00010567367055262311
547,-0.0008201106935708324
548,-0.0010722975369955386
549,0.00011356272086759494
550,-2.009255122450053e-05
551,-0.0004526777481389196
552,-0.0015224099584660894
