,elapass_hybridper_inf
363,-0.005005685707230431
364,-0.0005207284642542365
365,0.000704345215954704
366,0.00042385557616867896
367,0.0017340662809699249
368,0.005611455162549196
369,0.004144655016732092
370,-0.00834747013156346
371,0.004340075997516333
372,0.0013888812683751754
373,-0.0009800180813427243
374,0.0003079883549359112
375,0.002297164699169937
376,0.014580418921547766
377,0.0029351850003963916
378,-0.017563548955131323
379,0.0032207389952738615
380,0.014079916661865564
381,-0.005565891639953781
382,-0.011653323196556443
383,-0.009409343929605645
384,-0.0035847763394891074
385,-0.0006052500301563879
386,0.0021548943458626723
387,-0.00635479520686465
388,-0.00026375287620902636
389,-0.003176593208634955
390,0.0028245206013091835
391,-0.002520648486079113
392,-0.00032052456775721514
393,0.0008977029830428375
394,-0.0005354187108321454
395,5.8822728636739466e-05
396,0.0003441267991034256
397,-0.0005561089492083679
398,0.00013398526545522278
399,0.00012279440040350724
400,0.00015035640602662127
401,-0.0006396232019663636
402,-0.00029639321044765956
403,-0.0023031289371917944
404,0.002162794807605164
405,0.0006463148056910271
406,-0.0006085846807155403
407,0.005796007375840928
408,5.416360591963071e-05
409,0.0002564308401928252
410,-0.000557749973750183
411,-0.0006777576826099571
412,0.0003348988844592952
413,-0.00017558119004481638
414,0.0005310954550826389
415,0.002248658002039784
416,-0.002766344347587753
417,0.0015207208891067298
418,0.0005498276873025644
419,-0.001584964409862108
420,-0.00014512802716814795
421,-0.0024773350258501703
422,-0.0031563232001773555
423,-0.01645040400199746
424,-0.00019876270146307874
425,0.0005613791537609621
426,0.00025681629879840734
427,0.0018314526981457841
428,0.001155071953606614
429,-0.002277718963031931
430,0.0009819719266744005
431,6.432630283963165e-05
432,-0.005619482396033819
433,-0.001772030533282961
434,0.0030041170730254335
435,-0.013380794224727419
436,-0.0006454565244535121
437,-0.002157675350394689
438,0.0007909664517627204
439,-0.005673505498687965
440,0.0011508458739206337
441,-5.519074259535141e-05
442,8.732667698982601e-05
443,0.0037164646933659003
444,-0.00018372153401054273
445,-2.374221741503627e-05
446,0.0009140766735179742
447,0.0020015520118899406
448,-0.0006904521350352304
449,0.00024499210845462633
450,0.0003622202645103262
451,-0.00020575166515725315
452,0.0010943029626639116
453,-0.0027489768375269386
454,0.001855644191403199
455,0.0009085381655372191
456,0.0005130860735611034
457,-0.0002494927649685674
458,0.0004970578421861052
459,0.0028125590933583285
460,-0.0016455969556038994
461,0.001924479995241183
462,-0.001072431073156631
463,-0.002719991732365445
464,-0.001676392534109873
465,0.0016645604066025583
466,-0.0007665148275549832
467,-0.0037353237226594974
468,0.00035826216147817445
469,0.0018913162083100136
470,-0.0012990509044683435
471,0.003381318147424781
472,-0.0009241524323909651
473,-0.004864208157004196
474,0.001896606337577699
475,-0.01187487559290839
476,-0.004340379974234465
477,0.0028516885844645135
478,0.004557036960681164
479,0.009123890573480615
480,-0.0047167081271805794
481,0.001422040445570076
482,0.0024103973927775816
483,-0.005737837068991865
484,-0.00022112943822839528
485,5.5842466107290614e-05
486,4.322230191839893e-05
487,-0.000539832028220886
488,-0.00013785737714921775
489,-0.0003706811468487597
490,-0.0007513045320960548
491,-0.004261138080039232
492,-0.004545600690009554
493,0.0006772493967840183
494,0.0008122969774396361
495,-0.010695290585997047
496,0.0006132289517255719
497,-0.0007740596830208029
498,-0.0011185032213204115
499,-0.0036526742688449874
500,0.002469228316529119
501,0.0006035532542845043
502,-0.002549996436472265
503,0.0011834303726153447
504,-0.002338866146263636
505,0.0003013727250497059
506,-0.0003166698814481089
507,-0.0077356462895111795
508,-0.001063777937680084
509,-0.00014189359487032645
510,0.0014666835069982553
511,0.0009733720386139793
512,0.0006599844911992544
513,0.0013822945655768393
514,-0.0014420276612733462
515,0.0016006959352636702
516,-0.002830217726653851
517,-0.0031983907300181546
518,-8.100205131419304e-05
519,-0.018137974584856595
520,-0.006083445952694596
521,-0.0019304199283383938
522,0.003420351577654773
523,-0.013584417128022174
524,-0.0009879408301771266
525,0.0003310157069879355
526,0.0004871681291261086
527,-0.0009031280864867756
528,-0.0008071463872099003
529,-0.00021537694705437853
530,-0.00013291222647279004
531,-0.003324184782807433
532,-0.00019314204606857632
533,-0.0027182805450722465
534,-0.00019554122489582606
535,-0.008956716948636055
536,0.0004687470639047079
537,-0.00039280575487846375
538,6.472214163251176e-05
539,0.0005993559078110725
540,-0.0017824560184458316
541,-0.001262623384041721
542,0.0008560842585277882
543,-0.007046076083240625
544,-0.0008872133146591201
545,0.00030429822218942294
546,-0.0007403233422083474
547,-0.004354859531397438
548,-0.0018289265253294278
549,0.0008927768364874291
550,0.0004484278108141763
551,-0.0023070285630698447
552,-0.003340126238652613
553,-0.002470424307242962
554,0.0035213708978030066
555,-0.006368909714143836
556,-0.0046819334530139485
557,-0.001402689118531104
558,-0.002701114444359809
559,-0.026603559159235145
560,-0.0005907542754802288
561,-0.00028886070635562747
562,0.0005012683314791842
563,-0.0011326366904832426
564,-0.0007057674227624745
565,-0.0006332054994103506
566,0.0011786143005092194
567,-0.00038262412877481246
568,-0.0002151853150794629
569,-0.0014868981788248743
570,0.0007843603959554391
571,-0.0027719922178728535
572,-0.0004695674096791527
573,0.0006960539145861574
574,0.0013759417521037364
575,0.00552839454263113
576,0.0015160688739245596
577,-0.0018464771813064668
578,-0.0013892819982597566
579,-0.0050445152266868735
580,-0.0011069671049120297
581,-0.001059002432040274
582,0.0004171177070145433
583,-0.005654090402023993
584,-0.00044952854366839024
585,-0.0007236965122392493
586,4.2723605854940155e-06
587,-0.00365746979261406
588,0.005467705836310322
589,-0.003000755088497979
590,-0.003022662275759594
591,-0.003238957612507864
