,elapass_wi_virtualper_inf
538,-2.5780387944197254e-05
539,-0.00027470257889190673
540,-0.00040168232802810164
541,-0.0003419693679115955
542,0.000226420943628155
543,-0.0017746161060771882
544,7.50182357506705e-07
545,-4.593197525176618e-07
546,-2.9867451750573212e-05
547,-4.685619603504441e-05
548,-6.68820879418386e-06
549,-0.0001440526500179266
550,-1.0709397082791322e-05
551,0.00013091089801593514
552,0.00013524745680569802
553,0.000351454899033031
554,0.0002718646444977643
555,0.00023829012278460708
556,-0.0009280528230905274
557,0.00019349767929734973
558,0.00011857603759568625
559,-0.00023486237190155
560,-6.361457231488344e-05
561,-6.0224907759190026e-05
562,7.618471822366396e-05
563,-0.00017341110249939626
564,4.260425340636315e-05
565,-1.57156330416841e-05
566,-0.00011728874276188992
567,1.7806475389873224e-05
568,2.5567154188074022e-05
569,0.00015992812701098855
570,-8.421437336395767e-06
571,0.0002204481286707989
572,1.5691208707223632e-05
573,2.9211433387704957e-05
574,-7.413290877025288e-05
575,-8.477218806423063e-05
576,-2.624020421846505e-05
577,-0.0003478371404374475
578,0.0001836232901565632
579,-5.247236158521924e-05
580,0.0001491275876630186
581,0.00023815614827897645
582,1.0886182198613658e-05
583,0.0005845118464749131
584,-4.5702548532074476e-05
585,0.0005224669335673907
586,-3.8526483157265165e-06
587,0.0018359484838202857
588,0.009225914517680607
589,-0.006119419575698085
590,-0.006282546930456613
591,-0.006238843813672124
592,-0.00047738812989534164
593,9.884588081245606e-05
594,8.184965774529478e-05
595,-0.00021913851633576152
596,-0.000685625369563932
597,0.00017067233582231562
598,-0.0007674866697900555
599,-0.003069745922357981
600,0.006317310326768664
601,0.00756919473858743
602,-0.011585777662999841
603,0.020797301512777904
604,0.00030895718506908175
605,-0.0003582053040054488
606,0.0008020831896160642
607,0.0023483941160005856
608,-0.0007244858037954268
609,0.0007904639027809488
610,-3.514912700980459e-05
611,-0.0012060606052851752
612,0.0008808191296530276
613,-1.4663143126335326e-05
614,9.200269217841389e-05
615,-4.627454757012745e-07
616,0.003880402409076432
617,0.004408799309209784
618,-0.004780319278048987
619,0.0002766305841124019
620,0.0015697820859529744
621,-0.001351402019503011
622,-0.0007860792852549363
623,-0.007815129674732404
624,0.002427616153712614
625,-0.0010966344106834224
626,0.0004526785491599448
627,0.0034185549991879866
628,0.00025425296414360843
629,0.001825915489546595
630,-2.3993815353741157e-05
631,0.009055818576498243
632,-0.0009681496942106946
633,-0.00032929673765380254
634,-3.5546794596725116e-05
635,9.87062167390107e-05
636,0.0008042086608187872
637,-0.0003113148842937565
638,-0.0007208413821582606
639,-0.0008844650139085463
640,8.06033767882355e-06
641,0.00038158714312110266
642,3.4236199987654e-05
643,0.00019149610903955507
644,-0.00015095284576829908
645,9.408114488943995e-05
646,-8.042579527517379e-05
647,-0.0004758087702981308
648,0.00010666971205664198
649,3.3255122899785115e-05
650,2.1072394740316142e-05
651,6.082616675891167e-05
652,0.00014412619618889912
653,0.0002728757557629213
654,0.00043952400976654516
655,0.0025177917909948995
656,-0.00019826353540367204
657,5.000175964918489e-05
658,0.0002914427030872386
659,0.00015455298179357485
660,0.00010733543022651983
661,9.0307085607226e-05
662,7.364576255038456e-07
663,0.000474960533152084
664,-0.004112922567238458
665,0.0017597254448047054
666,-0.0002671456087781979
667,-0.007161869592547789
668,-0.00017456624105209514
669,0.00018804512442253786
670,-4.923646213350176e-05
671,0.00032651442489698286
672,4.790754587046444e-05
673,3.777762592342249e-05
674,-9.360641486608528e-06
675,0.00014300111820005502
676,-0.00010155250842270971
677,-5.068925950866687e-05
678,-8.882801859625391e-05
679,0.0008313786013314195
680,0.00043126183412705953
681,8.753615885551698e-05
682,-5.829722751663837e-05
683,-0.0006674153167300521
684,5.18398565781792e-05
685,0.001087802613348453
686,-0.000395572895394843
687,-0.0022170291422171358
688,0.0005168795445048131
689,0.0007127081055819406
690,-0.00013279024676839883
691,0.0033094568471617658
692,0.0006691042186275352
693,0.0005240496538095488
694,5.544905543793242e-05
695,0.00010938693300489613
696,-3.0503111166872227e-06
697,-1.112564407050172e-06
698,0.00015764459289659786
699,0.0006480141596683855
700,0.0026859074749676754
701,0.001538357481553126
702,-0.003312130485766346
703,0.005885971698138929
704,-0.0011956815708553672
705,0.0028355337953678817
706,-0.004701428455195042
707,-0.006844149609574003
708,0.0007262964088094316
709,-0.0030970362269332474
710,0.0009714689921812591
711,-0.004413021137460837
712,0.0013484335114185275
713,-0.00016000698677068253
714,-0.0015516506923995699
715,-0.0038320995504013307
716,0.0005494236955829716
717,0.0017829596502826892
718,-0.007160444166704414
719,-0.012081314240424563
720,-0.0022084953335440626
721,0.0019960202922074963
722,-0.00041349440788146936
723,0.001782507352070551
724,0.00025228659618447
725,-0.0007029309938712869
726,0.0023568250389050726
727,0.005936344171823442
728,2.9305544488707636e-05
729,0.006310821792154212
730,-0.004156472699381399
731,0.008028043735136714
732,2.230812676646045e-05
733,0.0004711986740837794
734,0.00017476513922110585
735,-0.00039444500963757014
736,-0.0003329191572680077
737,-0.0001553933679739643
738,-0.0006493363534903933
739,8.261910444436078e-05
740,-0.00021401876916189643
741,-2.8768358357322223e-05
742,0.00022760123827045953
743,-2.631743771169747e-05
744,3.2496386907785663e-08
745,4.7409443687112833e-05
746,-2.5894020698326596e-06
747,3.5995055373237174e-05
748,-7.086896929005302e-05
749,-4.243293247533922e-05
750,2.024616997676053e-05
751,-5.0909133909672e-06
752,-0.00010064460018393412
753,-0.00012359111535412118
754,7.91515176927161e-05
755,-0.00039543421054449005
756,-0.000611884264241744
757,-0.00013797836323896882
758,0.00026358722150858596
759,0.0003680449639210814
760,-0.00010345071049536307
761,-8.835157375731086e-05
762,1.8994429073884514e-05
763,7.156105529489738e-05
764,5.663995784922723e-06
765,8.60009841486686e-05
766,-5.852427561422225e-05
767,-7.812225848102994e-05
768,0.00043926209575705625
769,-0.0006102445961590226
770,-0.00027525211057313553
771,-0.0018503040640499933
772,-3.7288583907103413e-06
773,-1.2632632656249705e-05
774,2.5169712154301014e-05
775,-4.167987209170533e-06
776,-0.00011255229593418963
777,-1.9666435702718016e-05
778,0.0003812602194849504
779,0.0004546099146883224
780,0.00014335886441710883
781,4.9339039709036254e-05
782,-3.655353196564096e-05
783,0.00034002373072569795
784,-0.00040033207468627316
785,-0.000575098814952733
786,0.0004207902360169119
787,-0.0024612924107547756
788,0.0008039773952510441
789,0.001533717516521238
790,0.0009319790988948554
791,0.011069286429462212
792,-0.004046881253571669
793,0.0005674069273934256
794,0.005377570299422527
795,0.004675988739270463
796,-0.0003462344684289439
797,0.0004056458274664268
798,-0.00010489687101379129
799,-0.00020292819050929555
800,-0.0018256164348085463
801,0.00011128509222144842
802,0.0002327450017353481
803,-0.0019229249014460087
804,3.0329628968394935e-05
805,-0.00011780623191735818
806,-8.166550712957789e-05
807,2.055731557700076e-05
808,-0.00013259614838194008
809,-0.00016495530449888614
810,-1.2008900532430405e-06
811,8.774868395885351e-06
812,-7.412313897833471e-05
813,0.00014292011559271394
814,3.2229060741740453e-06
815,0.0005788051723677543
816,1.995433935355438e-06
817,8.056145363827219e-05
818,-3.1459659117204063e-06
819,-2.8304688224521974e-05
820,-0.00010912354422312352
821,-1.4950742169363754e-06
822,4.002336714285424e-05
823,-4.174475262899299e-05
824,-0.000468732481752834
825,-4.408628994513371e-05
826,0.0007597306166041339
827,-0.0007426075324262442
828,-1.5254010859922806e-05
829,0.0007370401684975023
830,3.1934842480174744e-05
831,0.0007010325670871513
832,-5.685685698742757e-05
833,1.1571924494023031e-05
834,-7.870238102701722e-05
835,2.5324177275699373e-05
