,mathpass_in_virtualper_inf
281,-0.010147554193380008
282,0.008669224359850427
283,0.01370678819935583
284,5.587629710811056e-05
285,-0.00016839426308333153
286,-4.93408970966241e-06
287,-0.0002834990533366791
288,-0.0003179745998347169
289,-0.00038089519315357394
290,-5.0682606676482434e-05
291,-0.0018649374991060853
292,0.0001654261669697377
293,4.523969641928211e-05
294,0.00021171229459213353
295,5.4080542145494924e-05
296,0.0007463804602285462
297,-0.0006443915087742569
298,-0.00023933797565658173
299,-0.00030026382279445783
300,0.00039941645954069205
301,-0.0008011534798096695
302,0.0003345183582524394
303,0.0008180897354275482
304,8.086123195650524e-05
305,-0.000597496377797989
306,3.293309078753993e-05
307,-0.0006440501081922483
308,-0.00011052292663756076
309,-1.6726524346264754e-06
310,-6.455609137278764e-05
311,1.3207324055812085e-05
312,0.00025808540558165904
313,0.0002046426983227713
314,-0.00034739397159764206
315,-0.00040806206172568874
316,0.0003543461777220116
317,0.0007352177788669879
318,-0.0014749163238467428
319,0.0004428510751518842
320,0.00022111275893340235
321,-0.0001553747014971253
322,-0.0008440107221560412
323,-0.0017529103616143204
324,-0.000186984644901912
325,-0.0005551548749316689
326,0.0004027612083730523
327,-0.00118958737536495
328,-0.0008814579042316619
329,0.0013509356645951453
330,-2.5364457712385988e-05
331,-0.00032961243497322293
332,-6.755017575360452e-05
333,0.0006598457354863491
334,0.0002733038563128148
335,0.002767778445267663
336,3.30141494465671e-05
337,-5.043028400418168e-05
338,-0.00108622022527708
339,-0.003218628915906225
340,-0.0002324868005831815
341,-0.0003053926294388842
342,-0.0004054856229181555
343,-0.0005664552831276062
344,-0.00021803158314251736
345,0.0013300243049860017
346,-8.758639985884537e-05
347,0.002312137387845261
348,0.00014395300684024993
349,5.6010589090474745e-05
350,-0.0001644390171921855
351,-4.1695070690582145e-05
352,0.0001744648526678651
353,0.0001873104791232345
354,-1.2343496388665324e-05
355,0.0009144421059402835
356,0.0002667938416723563
357,-6.441296779487506e-05
358,-0.0005605927691423483
359,0.0007030284638565075
360,0.0065293198054592275
361,0.023979932589313996
362,-0.012239116905185804
363,0.05723377073876431
364,0.00028412199292930575
365,7.090850676071211e-05
366,-0.0004925539332407187
367,-0.00041491212846676796
368,-0.0068586592316132585
369,-0.00259593891070617
370,0.005106479489733275
371,-0.014694145396641144
372,-0.0003642529420928447
373,6.0398911939750866e-05
374,0.00010624168084566141
375,3.638968998089168e-05
376,-0.017477543292894044
377,0.002284281791452141
378,-0.0026903306468689095
379,-0.07855189119909967
380,-0.012956237936493854
381,-0.005550256696806015
382,0.01718478511474742
383,-0.014560632040627427
384,4.240412815245711e-05
385,-0.0005996367249523785
386,0.0002107974920050411
387,-5.518777891354946e-05
388,-3.810716610833643e-05
389,-0.0015656937393294897
390,0.0007208207780975929
391,-0.002576320023137199
392,-0.002430151759309312
393,0.0016812904958216643
394,0.0014284564872166653
395,0.003277712086695653
396,-0.00023454517400314554
397,0.00015475203156773413
398,3.28076712375837e-05
399,-0.00041795164630351695
400,-1.0276480611362143e-05
401,-0.00035528883547837603
402,0.00017747074186558125
403,-0.0018780315808251445
404,-0.0016329971262325767
405,0.00027537299784041443
406,-0.0005856631577803133
407,-0.00460445817862419
408,-0.0003116872874025258
409,0.0005089769609156577
410,0.0004579134970494109
411,0.0021057473399556338
412,5.222848924433884e-05
