,drop_co_virtual
330,0.00020314547532643116
331,-0.0002665306970235843
332,-0.0001411898805188891
333,2.132097961839273e-05
334,0.0007469719686857513
335,0.001736449136692705
336,-0.00025119002861369956
337,-8.286711328196607e-05
338,-0.0004056220353539287
339,-0.0027986832389367126
340,-5.0914733358750145e-06
341,0.00037092285203931165
342,-0.0001057883270708565
343,0.0009817235140867483
344,-0.00013808541625748942
345,-0.0005911396584202891
346,0.0001745959392910861
347,-0.0016871357505426408
348,0.00015378478971909195
349,0.00020580147569914336
350,-0.000720080497060137
351,-0.000421813130979704
352,-0.0003309767736914182
353,-0.0016132629469159524
354,0.0009894658597542113
355,-0.001740913978128028
356,6.154043242776383e-05
357,-0.0018479156384891792
358,0.0008175040050303253
359,-0.0014097766433661754
360,9.899243215902736e-05
361,-0.00011636308262216533
362,-3.4201463670959754e-05
363,-0.00010441650118969504
364,0.013892237044482414
365,-0.0012594814726550976
366,-0.008170652463103846
367,0.0184841052491088
368,0.0031310554946606672
369,0.004574108160354421
370,0.0009711721496682412
371,0.02712393885348317
372,0.009756136357924342
373,-0.003794678631728102
374,-0.001037309059436414
375,0.01848308324021883
376,0.004204492361215556
377,0.0010845064461321575
378,0.0036884020703720015
379,0.026950256924921895
380,0.0003387534393020152
381,-0.0003547463622312739
382,0.0005768222315236095
383,0.001813569175369695
384,-1.3041267952915291e-05
385,-0.00012973560325934527
386,0.0003296728943659817
387,0.00037931275743882106
388,0.0022225428853501184
389,0.00040278790961531606
390,0.00017891967123470696
391,0.002049281959186323
392,3.333171643428463e-05
393,-1.6853412985728097e-06
394,-1.125740028682329e-05
395,0.0004883320182613372
396,-3.555904038149312e-05
397,-4.598338687081294e-05
398,0.0005669844066099312
399,0.0014721399134895832
400,-0.0005334009972841959
401,1.5529112959664714e-05
402,-6.726585470944309e-06
403,0.0011448388782640032
404,-0.0004996309374023393
405,9.564668831794215e-05
406,1.1879702332037794e-05
407,-0.0010477429759405495
408,9.4992961091395e-05
409,-0.00012624393190365714
410,-0.0003769370614184176
411,-0.0012671759785917104
412,-0.0004255226177899928
413,6.442812362453585e-05
414,0.0010215597624631595
415,0.0019856207654927903
416,0.0003660391217794393
417,0.0001619987552036775
418,5.861076867044054e-06
419,0.0015707103525156182
420,-0.0021868971851999636
421,0.0020377973660727416
422,-0.001443565102675845
423,-0.005120363363096091
424,-0.0036523836081167557
425,-0.0031535040460797686
426,-0.002083097083645117
427,-0.027505735789636585
428,-0.00018496500927343121
429,0.0001880135233210671
430,9.411918596709178e-05
431,0.0004210836490495811
432,0.000906700058708191
433,-0.000666309743226208
434,-0.002569783382719114
435,-0.008636674651007014
436,-0.0002825826566112512
437,-0.0004737895455016322
438,-0.0010087990564019915
439,-0.00593469953755009
440,0.0001959841170705648
441,-0.001090961530160221
442,0.0003041353532840719
443,-0.0019017552675379876
444,0.000382120477014267
445,-0.0016960340054407203
446,-0.00011573114068716173
447,-0.005894195743760898
448,0.0002964977043371482
449,-0.0004948908270627131
450,-0.00019712248054405297
451,-0.000782065498037948
452,-0.000593349705748754
453,-0.0022041458314689295
454,0.0027104688502714567
455,-0.0036576638185924853
456,0.00016121160313285445
457,-0.0007588072899375276
458,2.5603881431705956e-05
459,-0.0017602105484806835
460,0.002223792020426246
461,-0.00045982702554564226
462,-0.0025594704008831902
463,-0.002419496580002421
464,-0.0008384150530655302
465,-0.0019195396880759834
466,-0.0020474557901933913
467,-0.014285433738174659
468,0.0035343880090371177
469,-0.00024694934794023586
470,0.0016398214237269989
471,0.01442742211049356
472,-0.0002885615533103495
473,-5.9726316902464655e-05
474,0.0011938854750396528
475,0.0030006935388929494
476,-0.0008887866672825461
477,0.00262072272206919
478,0.003391478379223143
479,0.015335261355202868
480,0.0013280435931682327
481,-0.00026800771272820866
482,0.0014031207049003999
483,0.007345418979522569
484,0.0011278400909113528
485,-0.0005117151033557924
486,0.002153385539734223
487,0.007898979188784164
488,2.1307328157991233e-05
489,-0.000431943568966729
490,0.0001421191849642402
491,-0.0006281232611220369
492,-0.0004806976808060092
493,0.00022214718475126183
494,0.0001840144877801871
495,0.0005368584020852919
496,-0.0004801282843540068
497,0.0007239710333190512
498,0.00038395715327477914
499,0.0021007843860605512
500,-8.290252524508306e-05
501,0.00042062620162799453
502,0.000991842084523745
503,0.0032933818900315044
504,-0.0008784648342496109
505,0.00041593681367604836
506,0.00026435108453561653
507,-0.0005702347624188606
508,0.0010245431243771762
509,0.0007265169869641608
510,7.35038200877434e-05
511,0.005575206578435134
512,0.00015053485688304148
513,0.0008236967577108178
514,-0.0008803325858963464
515,0.0006832114902069325
516,-0.0025958698883173804
517,-0.0013770429552192888
518,0.0018765096351956495
519,-0.0064295188883175
520,-0.001064173586730162
521,0.0006392323655673417
522,3.1773221713145306e-06
523,-0.0017911493981411046
524,-0.00015693856775521352
525,-1.1504979127993444e-06
526,-0.00017402146152746865
527,-0.0006776228746584311
528,-0.0006745848164728173
529,7.332028154372737e-05
530,-0.0010468279760461954
531,-0.006622020504131232
532,-0.0002578644726140816
533,-0.0012875464640706997
534,-0.0004216345966387137
535,-0.005434764188479649
536,-0.0005065034935010888
537,-0.002821147016330901
538,0.002660405544954526
539,-0.003372639840739899
540,-0.0036103567551527887
541,-0.006120595654940833
542,0.007616336307593531
543,-0.011356595887223816
544,0.0022593708467035078
545,0.0005837790929344329
546,0.000882147082374623
547,0.010458953683647056
548,0.00038293995283925997
549,0.00016723955726138977
550,0.0004055573092301935
551,0.0030327675863925986
552,0.002256948618808079
553,0.0003757434042527752
554,-0.0008655960654512806
555,0.004418053669221247
556,-0.000291001508491257
557,-0.00015199761154793042
558,-0.00011368910498251376
559,-0.0021518430414876246
560,-0.0009152377705108133
561,0.0002913585771848181
562,-0.001127867241771007
563,-0.005766932088701165
564,0.0010817041353987451
565,-0.00022063559451430406
566,-0.000525932717829511
567,0.0016362139862404054
568,-0.00034296609624709156
569,0.0023264965799604134
570,-0.003173753470283245
571,-0.0014602553590381566
572,0.00029129528275937625
573,-0.0008329246179027962
574,0.0003590494305923805
575,-0.00023049912676018658
576,-4.161538128116571e-05
577,0.0006960674083105005
578,-0.0013073955974735453
579,-0.0025249925136233363
580,-0.0002477548457447053
581,0.000399850496345591
582,-0.00035699960533513563
583,-7.576219654457986e-05
584,-0.0022340694174590833
585,0.00027973845908822726
586,0.0014674257395727527
587,-0.0016752756786515704
588,-0.002061529077925391
589,-0.001404743141590812
590,2.7078278082210288e-05
591,-0.010287085078436892
592,-0.00028297785398850926
593,0.000261767425667668
594,0.000781727701887865
595,0.0031316141987022313
596,0.0004230906534652704
597,-0.0005238348089806289
598,0.00012130643170229638
599,-0.00016369467146186824
600,-0.0002772965764082305
601,0.0012620385962481891
602,0.0002189153570922368
603,0.004544699879526163
604,0.00034690839097614826
605,-0.0012153377500640039
606,0.0006328519316539221
607,-0.00069685710791819
608,0.00030215588630153506
609,0.0010072424033312564
610,0.0003652712300986277
611,0.00526422760689017
612,0.0004306453525155527
613,5.447051254970063e-05
614,-0.0002287929095699201
615,-0.0006512892211405059
616,0.001990251905942186
617,-0.00030034594708182636
618,-0.0003253337526043232
619,0.0034117089311904362
620,0.0009986334052327045
621,0.0012148143288577885
622,-0.0010704718625050937
623,0.004109064095743467
624,0.00026095376883910536
625,-2.2471195772466684e-05
626,-0.00027221703772150956
627,-0.00016304014851215893
628,-0.0003657681758117609
629,0.0024938096345078885
630,-0.0017108769899717156
631,0.0014219362816791634
632,2.6708309509082715e-06
633,1.945201540115494e-06
634,0.00037887146376794063
635,0.0006936657769277071
636,4.287570426548201e-05
637,3.5311555647136275e-05
638,3.2321775965522385e-05
639,0.00034436893124614585
640,-0.0005218131905097182
641,-0.00014330057429451647
642,-0.0007389631364131838
643,-0.003756187445369352
644,0.00022412199675523158
645,0.00490575054715745
646,-0.0005133150791158344
647,0.002485295616350077
648,-8.407195286582533e-05
649,0.001231154986085669
650,-5.1834598329315535e-05
651,0.0020111685587626093
652,-9.35101394308107e-05
653,-4.63720424958648e-05
