,drop_black_virtual
530,-6.137595121917987e-05
531,-7.179651927729615e-05
532,-6.453873798287507e-05
533,-0.0004426314555052783
534,7.113220350762182e-05
535,-0.000804405746785774
536,-0.00016409542756744204
537,-0.0007550554219303691
538,0.0013135520392323205
539,-0.001244975950780129
540,-0.002266755306439486
541,-0.0025742390092762376
542,0.0023747417332450316
543,-0.004921183004295733
544,-0.000807917213331724
545,-0.00019718148548747566
546,-0.0001530011310663566
547,-0.0030367169441857973
548,-0.00010269295380546615
549,-1.4437530624740266e-05
550,5.429048440213384e-05
551,-0.00019011184942434306
552,1.8935391138623258e-05
553,7.75505536522205e-05
554,-0.00015760372343593705
555,0.0006212284486310181
556,0.0002601141107624074
557,0.00014828168601219445
558,0.0001006931483357135
559,0.0019635334407718127
560,0.00019843872443181833
561,-4.6708542895933355e-05
562,-0.0004623112952013479
563,-0.00023538487752351367
564,-0.0008335740879796429
565,-0.00015721404365035604
566,-0.0003170078609838119
567,0.00040821929999111737
568,-0.00014356150677229966
569,0.0017876201972168394
570,0.00020498427112079702
571,-0.0004464422303188458
572,-0.000158626399442407
573,0.00020807888504506856
574,-9.861132304487977e-05
575,7.753277363167714e-05
576,2.6738199895776273e-05
577,-0.0002646128646617607
578,0.00041383648324849997
579,0.0010895460545478045
580,-0.0002696293634930295
581,0.0007398950131239095
582,-0.00045709093356219224
583,-0.0001038628600709124
584,-0.003895605086334957
585,0.00048746064499549413
586,0.002552562287959795
587,-0.002918183610574287
588,-0.0026569021668986894
589,-0.0018099681478291295
590,3.741336019391026e-05
591,-0.013588293728467085
592,-0.0001453683035576053
593,0.00010044576240496465
594,0.0005660757268176553
595,0.0016373058411708718
596,0.0007903807148806892
597,-0.001093124440695324
598,0.0002288035052298032
599,-0.0003172968861729732
600,-4.0888251032721186e-05
601,0.00032824721005349965
602,6.112916554769924e-05
603,0.0010085059195839353
604,2.1733370154290144e-05
605,-6.366548000013456e-05
606,0.0001584719898071256
607,-8.573892803976319e-05
608,5.332205710086508e-05
609,-5.6058066999578775e-05
610,4.15109433767946e-05
611,0.00041840503645427683
612,-0.000159273292141829
613,1.8890319597342596e-05
614,-0.0005933860311973589
615,-0.00018140727771752069
616,-0.0009111781961285506
617,0.00018618994039925891
618,0.00022530855932247271
619,-0.0019860653814289028
620,-0.0007103846263375168
621,-0.0007492202830843839
622,0.0007188438405626584
623,-0.0027304809846789638
624,0.0002206600391346389
625,6.7123632314024995e-06
626,0.0002666938198959186
627,1.9757421036507082e-05
628,-0.00014082758149857116
629,0.000913774244488249
630,-0.0004798531466016424
631,0.000488364448261058
632,5.948982078896098e-06
633,1.7578452179053227e-06
634,-0.00026408839116786497
635,2.5806712287354424e-05
636,3.588742699281426e-05
637,2.2292541499490267e-06
638,-5.7497919789929885e-05
639,-9.224110614431542e-05
640,0.00022254821520715476
641,4.839849854723323e-05
642,0.00030805219021591817
643,0.0014651150392009738
644,0.00037215446628647864
645,-0.002191553102709698
646,0.00020679430767795223
647,-0.0013078092608510578
648,4.0550215456193823e-05
649,-0.0003494132178840548
650,5.528580264418501e-06
651,-0.0004968805836646406
652,-7.432117066355631e-05
653,5.372494469348255e-05
654,-6.712992652972275e-06
655,7.595315665518063e-05
656,0.00017768844180727193
657,-0.00010384731686973418
658,-0.00023672453347069953
659,-0.00020974880662921603
660,-0.00020674692255380145
661,-7.196208602438174e-05
662,1.8159257113719252e-06
663,-0.0007661474167701166
664,-0.0008947301654471125
665,1.1578808088198407e-05
666,-0.0008253337541148384
667,2.5343149538611767e-06
668,-1.719940833904851e-05
669,-8.338071576549921e-06
670,1.5808542606898955e-07
671,6.160720334352371e-06
672,-1.3746332937363448e-05
673,-7.131766304652123e-05
674,5.8893599832222554e-05
675,-0.00020183044135152473
676,1.4027892833964277e-05
677,7.489915923759416e-05
678,0.0006076953659827946
679,0.0009270962667508375
680,-4.208676795064854e-05
681,-0.000232653578729784
