,ed_elapass_hybridper_inf
235,7.192848720133885e-05
236,-9.966130559526888e-05
237,4.143310905966573e-05
238,-0.0005139771766305664
239,-0.000897368470166314
240,-0.00015274139046776806
241,9.070190701342563e-06
242,1.6731811986111312e-06
243,-0.00020813562384059428
244,7.851847769562018e-05
245,-0.00013302140297920796
246,0.0007233022604251783
247,0.0002881712222341797
248,-0.00018659333200230307
249,-3.636194401335235e-05
250,-3.1954019026887026e-05
251,-0.0006722704871159451
252,-7.401336915799757e-05
253,0.0002874672327982649
254,-0.00027417610656344145
255,-0.00047969205161782773
256,1.0619662827195051e-05
257,0.00012341039648121343
258,-0.00088197128709419
259,-0.002505642091540761
260,0.00043208475125562586
261,0.00012171804692005321
262,7.133178650719746e-05
263,0.0005540839817078451
264,-0.0003229312954648721
265,6.392813274669397e-05
266,-1.5592906288366947e-05
267,-0.000668346586301551
268,0.0018781575318532124
269,4.770483632547897e-05
270,0.00020712887372901142
271,0.0011593803976846764
272,3.2669169200423083e-05
273,-0.00020479232123468393
274,-0.00019819081305060395
275,-0.001436482030070207
276,0.00038998033129373724
277,0.00020326684718717045
278,-0.0005941756199395165
279,0.0011349455973519956
280,-0.0003921357194690583
281,0.00011004630424529998
282,7.63202964931858e-05
283,0.00012111189428240366
284,7.893093251481847e-05
285,1.0653975536259727e-05
286,-1.3933011422167733e-05
287,0.00015585984343549576
288,6.53117193011161e-05
289,1.8383278947188997e-05
290,2.21701785390654e-05
291,5.1377810799789416e-05
292,-0.0001661074729951673
293,4.5184508398239184e-05
294,-2.776242645388831e-05
295,0.00029523238947792765
296,-0.0022041319479195777
297,0.003309761543335343
298,-0.002083158741120379
299,-0.002776657176906356
300,-2.3066492426706225e-05
301,-0.00012321668029111844
302,-7.187368363799252e-05
303,-0.00012615318383261409
304,-1.1985944711690603e-05
305,3.190760125062224e-05
306,2.4089286253939483e-05
307,-0.00013637560943033667
308,-0.00026025294473004294
309,-0.0002331296473357748
310,0.0005661538074478226
311,-0.0006184403325977623
312,-0.0007764029034912487
313,-0.0001446334837546387
314,0.00023946307691444417
315,-0.0004770644568854674
316,0.00017037335680757015
317,8.713482054611936e-05
318,-0.00015796204223941313
319,-0.00013372565268272252
320,4.600009561320601e-05
321,-5.97209757079497e-05
322,-0.00010568661500849817
323,-0.0005306029538968555
324,4.371019685961822e-05
325,-5.816045468493398e-05
326,1.920860481495247e-05
327,-0.00022255163862576615
328,-0.0003135959800980292
329,2.651934757386646e-05
330,-0.00010441660451180374
331,-0.0010392278128727272
332,-6.507488858969365e-05
333,-9.751826851519394e-05
334,0.00024650885668896705
335,-0.0001792677313024813
336,0.0003739566518174751
337,0.00042509176027574053
338,0.0006805577073402685
339,0.004602091454914339
340,-3.583618139557747e-05
341,2.683873138661169e-06
342,-5.869757916065837e-05
343,-0.0007770976274747411
344,-0.00021375653489282605
345,-0.0012658588974807418
346,-0.00043519558242366684
347,-0.005720737255617669
348,0.00024007741690747626
349,-0.00044575187004908696
350,-7.696674323962124e-05
351,-0.0005809006147185417
352,0.0012149558432387713
353,-0.0017201940542703926
354,-0.0008033143460834151
