,drop_ga_hybrid
547,-0.013861327176744875
548,-0.000514904712990915
549,-0.00018753153618944438
550,-0.0004118582409635763
551,-0.003485086686278402
552,-0.00032656923255995694
553,2.1994999499840796e-05
554,7.159634634941296e-05
555,-0.0002502275283079723
556,7.017446573932627e-05
557,1.9161565159486208e-05
558,9.55108594940729e-06
559,0.00031198345026485144
560,-0.00041897883109148293
561,8.230454502034688e-05
562,-0.0005407745611681148
563,-0.002376316044927682
564,-0.0013396093081390603
565,0.000222784780623381
566,0.0003641323795985036
567,-0.0015408815547751098
568,0.0002718265284842116
569,-0.0007954610159754138
570,0.0012167790677786218
571,0.0006849581904493163
572,9.720844111567599e-05
573,-0.00037788180174771
574,9.722862786348836e-05
575,-8.149254892990519e-05
576,-8.001177278270184e-06
577,-4.614235556229894e-06
578,0.00018271099110877395
579,-6.392073692906988e-06
580,-6.399535858696833e-06
581,-0.00016690544822664288
582,4.3076515646621026e-07
583,8.046925208086404e-06
584,0.0006858411361692814
585,-8.76493941080369e-05
586,-0.0004741980307536994
587,0.000526944548790467
588,0.0006678028106695194
589,0.0004622157891833171
590,-1.0983692762081876e-05
591,0.003640813135129548
592,9.515958975576954e-05
593,-0.0002401605922331427
594,-0.0011202181297017403
595,-0.002476897173225871
596,-0.00015464265482455764
597,0.0002511528282365507
598,-2.3980380034389426e-05
599,5.524945679719588e-05
600,0.0001767818374934084
601,-0.001955806336809737
602,-0.00023027368183011333
603,-0.004671106605571766
604,-0.0004195610454265696
605,0.0014449417811785048
606,-0.0006783070285127059
607,0.0008054090642389949
608,-0.0005428237073389459
609,-0.0017128694079035734
610,-0.00043688963328781345
611,-0.008051783035077949
612,-0.0002462888659730692
613,-9.275289395740671e-05
614,0.0008191512798087653
615,0.0008905644014962837
616,-0.00013935629051609917
617,4.829669803453881e-05
618,5.2266549736567294e-05
619,-0.00043222341407687736
620,-7.758903916193451e-05
621,-0.00013948384159224596
622,0.00011072695267171938
623,-0.0004101176074166706
624,3.89169936014486e-05
625,1.8390733138313606e-05
626,0.00034020365047107975
627,0.00010110635915118265
628,1.2692438700458014e-05
629,3.992746058237348e-05
630,7.410607022029082e-05
631,-2.898507535636426e-05
632,0.0001051893315881508
633,1.4432862841727102e-05
634,0.0014831834111813551
635,0.0050432668280069645
636,0.0005494215895332851
637,0.0002193848924517998
638,0.00033973546062011705
639,0.0031993072125368104
640,-0.0005741582604895229
641,-0.00021098387994563132
642,-0.0011111859838776256
643,-0.005132484769193816
644,-0.001877176438167227
645,0.0053897830510794996
646,-0.0005646795418473737
647,0.0038570780365980144
648,-0.0001702805766247569
649,0.0010491947890873812
650,-5.548073194212707e-05
651,0.0022539311906160818
652,-0.0005021601439972842
653,0.00017946527684634795
654,0.0004138452943448471
655,0.0005611016038995608
656,-0.0005102270363110373
657,0.0002248312065233879
658,0.00023459676421887248
659,0.00037606249316467016
660,-0.0015170215887646006
661,-0.0005066974820737319
662,-0.0004888275586387231
663,-0.007848566211227103
664,0.0006954880103105317
665,-8.170003622375523e-06
666,-0.0016667343509165983
667,-0.0008953015326356823
668,0.0002859299038448037
669,-0.00035687827816471905
670,-3.329450960200248e-05
671,-0.00041417703834941105
672,-3.574326478181964e-05
673,-0.0001595198554485335
674,5.902658294411348e-05
675,-0.0003344043318424107
676,0.0002737898173281428
677,-0.0005999732808632818
678,-0.0002002312139315375
679,-0.0036894496937146253
680,-0.0003222891205651543
681,-0.0014693628976253277
682,0.0011818418078134395
683,-0.001749012835077591
684,-0.0005528924449302759
685,0.00016102841791989993
686,0.00022412791188170094
687,-0.00029738736834858143
688,0.0007811511400893264
689,0.0013752628035322153
690,1.3434119913901387e-05
691,0.006590602193795027
692,-0.0001974035934035306
693,-8.527386454611446e-05
694,0.0005285580069385835
695,0.00039236456156679206
696,-0.0006979853159743645
697,-6.745341274807123e-05
698,-0.00010479159298935576
699,-0.0024352932326750874
700,0.001123546759744209
701,-0.0017923058800149519
702,-0.00017651744634781746
703,-0.002990287659103234
704,-0.0002560200049392162
705,0.000640336687550335
706,0.0004056361301939397
707,0.0023490856816005923
708,0.0025403726488445817
