,mathpass_wi_virtualper_inf
315,0.0004891632998843369
316,-0.00011553339649697458
317,-0.000152200310100274
318,-0.00011235922334658768
319,-4.507122891614832e-05
320,1.8861987020498154e-05
321,4.516562742123008e-05
322,4.8588131877395434e-05
323,0.00016734366483836608
324,0.00027200686940511494
325,0.00033392943523938187
326,0.0002017500619666711
327,0.00046200817068730763
328,0.0010110758581902406
329,0.00014291319722293478
330,4.3458439822770806e-07
331,6.965453875541426e-05
332,-2.6436238095070527e-05
333,-8.550057336041205e-06
334,0.0007237825616788627
335,0.0020127675678050946
336,-2.7158907342896058e-05
337,-2.2082355859292194e-06
338,-0.0002583099977903336
339,0.00013192170951466757
340,-0.00010877605117654445
341,2.371656640228415e-05
342,-4.12198716563905e-05
343,0.00012693433472121918
344,3.4124074115338325e-05
345,0.00011904032711485537
346,-3.910343300190897e-05
347,0.0003613833386034934
348,-0.00010585084856043058
349,0.00040181407696212706
350,-0.00024932116191457956
351,0.00037250712984620627
352,5.5002845675851e-05
353,4.86906238594498e-05
354,-1.5464138509385608e-05
355,0.00042134899553250674
356,0.00022876327716391787
357,-9.061659155409697e-05
358,8.684062049132321e-05
359,0.00018175120962686547
360,0.00010814671245072184
361,-0.0003202756076077091
362,0.00044200763102970306
363,-0.0006452614342968086
364,-0.00017081469959964333
365,-0.00014296377146268426
366,0.0006323116186505911
367,0.0004684117999895038
368,0.0010844121592555505
369,0.0003650606870407412
370,-0.0007271656713896043
371,0.0021538212144129073
372,0.00046473355631401243
373,-0.00014089962159209618
374,-0.00013341765767567554
375,-5.356576962099147e-05
376,0.002817068125624097
377,-0.00028813416061371287
378,0.00037784594578136184
379,0.011169721313999214
380,0.0018140523555156614
381,0.0004127781982316606
382,-0.0016347820420936916
383,0.0014672517291373756
384,-2.1355665978347022e-05
385,7.49158877121665e-05
386,0.000159257853828867
387,4.1355977290819706e-07
388,2.2285275865736017e-05
389,0.00015030911741397055
390,0.00011720217220043202
391,0.00017513065742221903
392,0.0003449334862041071
393,-0.0004526244723953638
394,-0.00012565667775382618
395,-0.0005378531084877552
396,-0.0002936447265556652
397,5.000045751753148e-05
398,5.3095634057187e-05
399,-0.000384604299101569
400,2.4121169573762362e-05
401,0.00010868943114769807
402,1.601272131919379e-05
403,0.00014032377252082187
404,0.001273998050453413
405,-0.00018286938026144148
406,0.0008581037681886503
407,0.004302440405754184
408,-0.00037229212416236244
409,-6.547943774973148e-05
410,5.761431959131402e-05
411,0.0007845697707315334
412,-2.016779417760595e-05
413,-0.00012190852980658063
414,1.2001753203294685e-06
415,-3.2409854729206026e-05
416,-0.00026503287898049983
417,0.0001678579361398919
418,1.2984069772179736e-05
419,0.0004776596970185841
420,-7.687490411019172e-05
421,-0.0001396986650496842
422,7.580963166172109e-05
423,0.0004885440212915857
424,0.00028236580101392
425,-0.0003669095714406465
426,5.200321113995181e-05
427,0.0009232497563978448
428,0.0001279916190647679
429,-0.0002211209226230764
430,-8.650801204441156e-05
431,0.0002608289791055421
432,0.00020048054660057706
433,0.0008453516867647035
434,0.00048827816794615273
435,0.0006852681342913741
436,1.816609621201602e-05
437,-7.252887484493206e-06
438,1.2326201445437466e-05
439,0.00012972529628984408
440,-6.890311070260065e-06
441,-0.0003142779946164152
442,0.00024191967527800634
443,4.889830760488728e-05
