LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total,
"Academy Del Sol, Inc.",90199,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
"Academy Del Sol, Inc.",90199,,,           _,Students With Disabilities,*,*,*,28,13,*,*,44,
"Academy Del Sol, Inc.",90199,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,108734001,All Students,*,*,*,61,25,*,*,99,
"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,108734001,English Learners,*,*,*,*,*,*,*,*,
"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,108734001,Free Lunch,*,*,*,*,*,*,*,*,
"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,108734001,Students With Disabilities,*,*,*,*,*,*,*,13,
"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,108734001,Reduced Lunch,*,*,*,*,*,*,*,*,
"Academy Del Sol, Inc.",90199,Academy Del Sol - Hope,90770,108734002,All Students,*,11,*,428,78,*,*,531,
"Academy Del Sol, Inc.",90199,Academy Del Sol - Hope,90770,108734002,English Learners,*,*,*,20,*,*,*,22,
"Academy Del Sol, Inc.",90199,Academy Del Sol - Hope,90770,108734002,Free Lunch,*,*,*,*,*,*,*,*,
"Academy Del Sol, Inc.",90199,Academy Del Sol - Hope,90770,108734002,Students With Disabilities,*,*,*,23,*,*,*,31,
"Academy Del Sol, Inc.",90199,Academy Del Sol - Hope,90770,108734002,Reduced Lunch,*,*,*,*,*,*,*,*,
"Academy Of Excellence, Inc.",4296,,,           _,All Students,*,*,35,38,*,*,*,92,
"Academy Of Excellence, Inc.",4296,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Academy Of Excellence, Inc.",4296,,,           _,Free Lunch,*,*,79,64,13,*,*,165,
"Academy Of Excellence, Inc.",4296,,,           _,Students With Disabilities,*,*,*,*,*,*,*,14,
"Academy Of Excellence, Inc.",4296,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
"Academy Of Excellence, Inc.",4296,Academy Of Excellence,5461,078604101,All Students,*,*,35,38,*,*,*,92,
"Academy Of Excellence, Inc.",4296,Academy Of Excellence,5461,078604101,English Learners,*,*,*,*,*,*,*,*,
"Academy Of Excellence, Inc.",4296,Academy Of Excellence,5461,078604101,Free Lunch,*,*,79,64,13,*,*,165,
"Academy Of Excellence, Inc.",4296,Academy Of Excellence,5461,078604101,Students With Disabilities,*,*,*,*,*,*,*,14,
"Academy Of Excellence, Inc.",4296,Academy Of Excellence,5461,078604101,Reduced Lunch,*,*,*,*,*,*,*,*,
"Academy of Building Industries, Inc.",85540,,,           _,All Students,*,*,*,22,90,*,*,121,
"Academy of Building Industries, Inc.",85540,,,           _,English Learners,*,*,*,*,*,*,*,*,
