Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Multi_race_non_Hispanic,Total
2018,ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,Reduced Lunch,*,*,*,12,12,*,*,*,25
2018,ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,Free and Reduced Lunch,*,*,*,17,23,*,*,*,46
2018,ASU Preparatory Academy,92325,,,All Students,*,*,34,259,31,*,*,*,346
2018,ASU Preparatory Academy,92325,,,English Language Learner,*,*,*,22,*,*,*,*,22
2018,ASU Preparatory Academy,92325,,,Free Lunch,*,*,19,165,*,*,*,*,199
2018,ASU Preparatory Academy,92325,,,Students with Disabilities,*,*,*,33,*,*,*,*,43
2018,ASU Preparatory Academy,92325,,,Reduced Lunch,*,*,*,35,*,*,*,*,46
2018,ASU Preparatory Academy,92325,,,Free and Reduced Lunch,*,*,22,197,*,*,*,*,241
2018,ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,All Students,*,*,34,259,31,*,*,*,346
2018,ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,English Language Learner,*,*,*,22,*,*,*,*,22
2018,ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,Free Lunch,*,*,19,165,*,*,*,*,199
2018,ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,Students with Disabilities,*,*,*,33,*,*,*,*,43
2018,ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,Reduced Lunch,*,*,*,35,*,*,*,*,46
2018,ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,Free and Reduced Lunch,*,*,22,197,*,*,*,*,241
2018,ASU Preparatory Academy,92327,,,All Students,14,*,13,89,155,*,*,21,295
2018,ASU Preparatory Academy,92327,,,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,92327,,,Free Lunch,*,*,*,12,16,*,*,*,34
2018,ASU Preparatory Academy,92327,,,Students with Disabilities,*,*,*,15,17,*,*,*,34
2018,ASU Preparatory Academy,92327,,,Reduced Lunch,*,*,*,12,21,*,*,*,39
2018,ASU Preparatory Academy,92327,,,Free and Reduced Lunch,*,*,*,24,37,*,*,*,73
2018,ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,All Students,14,*,13,89,155,*,*,21,295
2018,ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,Free Lunch,*,*,*,12,16,*,*,*,34
2018,ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,Students with Disabilities,*,*,*,15,17,*,*,*,34
2018,ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,Reduced Lunch,*,*,*,12,21,*,*,*,39
2018,ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,Free and Reduced Lunch,*,*,*,24,37,*,*,*,73
2018,ASU Preparatory Academy,92716,,,All Students,*,*,19,164,*,*,*,*,196
2018,ASU Preparatory Academy,92716,,,English Language Learner,*,*,*,65,*,*,*,*,65
2018,ASU Preparatory Academy,92716,,,Free Lunch,*,*,18,151,*,*,*,*,180
2018,ASU Preparatory Academy,92716,,,Students with Disabilities,*,*,*,18,*,*,*,*,21
2018,ASU Preparatory Academy,92716,,,Reduced Lunch,*,*,*,13,*,*,*,*,15
2018,ASU Preparatory Academy,92716,,,Free and Reduced Lunch,*,*,18,163,*,*,*,*,194
2018,ASU Preparatory Academy,92716,ASU Preparatory Academy - South Phoenix Primary,70692,All Students,*,*,19,164,*,*,*,*,196
2018,ASU Preparatory Academy,92716,ASU Preparatory Academy - South Phoenix Primary,70692,English Language Learner,*,*,*,65,*,*,*,*,65
2018,ASU Preparatory Academy,92716,ASU Preparatory Academy - South Phoenix Primary,70692,Free Lunch,*,*,18,151,*,*,*,*,180
2018,ASU Preparatory Academy,92716,ASU Preparatory Academy - South Phoenix Primary,70692,Students with Disabilities,*,*,*,18,*,*,*,*,21
2018,ASU Preparatory Academy,92716,ASU Preparatory Academy - South Phoenix Primary,70692,Reduced Lunch,*,*,*,13,*,*,*,*,15
2018,ASU Preparatory Academy,92716,ASU Preparatory Academy - South Phoenix Primary,70692,Free and Reduced Lunch,*,*,18,163,*,*,*,*,194
2018,ASU Preparatory Academy,346763,,,All Students,*,*,11,127,*,*,*,*,142
2018,ASU Preparatory Academy,346763,,,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,346763,,,Free Lunch,*,*,*,110,*,*,*,*,121
2018,ASU Preparatory Academy,346763,,,Students with Disabilities,*,*,*,23,*,*,*,*,26
2018,ASU Preparatory Academy,346763,,,Reduced Lunch,*,*,*,11,*,*,*,*,13
2018,ASU Preparatory Academy,346763,,,Free and Reduced Lunch,*,*,*,121,*,*,*,*,134
2018,ASU Preparatory Academy,346763,ASU Preparatory Academy - South Phoenix High School,92248,All Students,*,*,11,127,*,*,*,*,142
2018,ASU Preparatory Academy,346763,ASU Preparatory Academy - South Phoenix High School,92248,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,346763,ASU Preparatory Academy - South Phoenix High School,92248,Free Lunch,*,*,*,110,*,*,*,*,121
2018,ASU Preparatory Academy,346763,ASU Preparatory Academy - South Phoenix High School,92248,Students with Disabilities,*,*,*,23,*,*,*,*,26
2018,ASU Preparatory Academy,346763,ASU Preparatory Academy - South Phoenix High School,92248,Reduced Lunch,*,*,*,11,*,*,*,*,13
2018,ASU Preparatory Academy,346763,ASU Preparatory Academy - South Phoenix High School,92248,Free and Reduced Lunch,*,*,*,121,*,*,*,*,134
2018,ASU Preparatory Academy,631426,,,All Students,*,*,*,*,*,*,*,*,17
2018,ASU Preparatory Academy,631426,,,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,631426,,,Free Lunch,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,631426,,,Students with Disabilities,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,631426,,,Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,631426,,,Free and Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,631426,ASU Preparatory Academy - Tempe,338609,All Students,*,*,*,*,*,*,*,*,17
2018,ASU Preparatory Academy,631426,ASU Preparatory Academy - Tempe,338609,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,631426,ASU Preparatory Academy - Tempe,338609,Free Lunch,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,631426,ASU Preparatory Academy - Tempe,338609,Students with Disabilities,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,631426,ASU Preparatory Academy - Tempe,338609,Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy,631426,ASU Preparatory Academy - Tempe,338609,Free and Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy - Casa Grande,92987,,,All Students,*,*,*,69,50,*,*,*,149
2018,ASU Preparatory Academy - Casa Grande,92987,,,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy - Casa Grande,92987,,,Free Lunch,*,*,*,21,*,*,*,*,28
2018,ASU Preparatory Academy - Casa Grande,92987,,,Students with Disabilities,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy - Casa Grande,92987,,,Reduced Lunch,*,*,*,*,*,*,*,*,11
2018,ASU Preparatory Academy - Casa Grande,92987,,,Free and Reduced Lunch,*,*,*,24,*,*,*,*,39
2018,ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,All Students,*,*,*,69,50,*,*,*,149
2018,ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,English Language Learner,*,*,*,*,*,*,*,*,*
