year,mergecode,lowincome
17,6369-5872,98.0
17,80066-80069,80.0
17,4371-5570,82.0
17,90906-91818,52.0
17,79081-79095,14.0
17,79501-79513,74.0
17,79501-92523,76.0
17,79501-90277,88.0
17,88454-80466,95.0
17,4212-4870,85.0
17,4392-5623,57.0
17,4392-5625,47.0
17,4392-6053,62.0
17,81076-89624,82.0
17,81076-81077,74.0
17,81076-78811,87.0
17,81076-91204,82.0
17,4248-93009,8.0
17,4248-90315,17.0
17,4248-89580,18.0
17,4248-92259,21.0
17,4248-79227,14.0
17,4248-88422,13.0
17,4248-92252,10.0
17,4248-87487,35.0
17,4248-79374,14.0
17,4248-5168,18.0
17,4248-80316,25.0
17,4248-79375,23.0
17,4248-92260,14.0
17,4248-92264,4.0
17,4248-89581,17.0
17,91275-92223,98.0
17,4389-5610,68.0
17,4389-5609,72.0
17,4389-5607,84.0
17,4389-79377,99.0
17,4389-5608,81.0
17,88447-80287,77.0
17,88449-87950,88.0
17,88453-79662,95.0
17,4469-6097,51.0
17,4469-6091,64.0
17,4469-6095,55.0
17,4469-6092,57.0
17,4469-87535,48.0
17,4469-6093,61.0
17,4469-6090,79.0
17,4469-6096,50.0
17,4469-6094,79.0
17,80370-80444,96.0
17,4502-6180,87.0
17,89784-89785,78.0
17,90162-90163,72.0
17,89561-89562,87.0
17,88365-88366,85.0
17,88367-88368,92.0
17,89786-89787,82.0
17,89563-89564,92.0
17,88374-88375,72.0
17,88369-88370,52.0
17,88372-88373,33.0
17,90034-90035,60.0
17,89788-89789,52.0
17,89790-89791,32.0
17,90160-90161,62.0
17,80085-80086,59.0
17,91326-92230,48.0
17,92499-92500,82.0
17,90876-91782,87.0
17,5174-10811,72.0
17,91899-91900,32.0
17,4259-5236,95.0
17,4259-5240,90.0
17,4259-5234,93.0
17,4259-5235,95.0
17,4259-5238,98.0
17,4259-5239,99.0
17,4259-78934,89.0
17,4259-79821,97.0
17,4259-5237,97.0
17,4259-5243,99.0
17,4445-89859,39.0
17,4445-90807,31.0
17,4445-89569,53.0
17,4445-5928,51.0
17,4445-87489,55.0
17,4445-79831,50.0
17,4445-89860,40.0
17,79475-79476,95.0
17,91248-91249,95.0
17,80089-80090,98.0
17,4388-5605,44.0
17,4388-5606,32.0
17,79064-79112,49.0
17,80092-80093,90.0
17,91329-92225,82.0
17,91328-92224,56.0
17,4342-92246,84.0
17,4342-78899,62.0
17,90333-89866,57.0
17,90535-91157,52.0
17,90334-89868,70.0
17,79882-10748,86.0
17,90548-91158,39.0
17,79880-6350,52.0
