LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total
"Accelerated Learning Center, Inc.",4297,,,           _,All Students,*,*,*,20,174,*,*,198
"Accelerated Learning Center, Inc.",4297,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Accelerated Learning Center, Inc.",4297,,,           _,Free Lunch Students,*,*,*,*,*,*,*,*
"Accelerated Learning Center, Inc.",4297,,,           _,Sped Students,*,*,*,*,16,*,*,17
"Accelerated Learning Center, Inc.",4297,Accelerated Learning Center,5462,078979201,All Students,*,*,*,20,174,*,*,198
"Accelerated Learning Center, Inc.",4297,Accelerated Learning Center,5462,078979201,ELL Students,*,*,*,*,*,*,*,*
"Accelerated Learning Center, Inc.",4297,Accelerated Learning Center,5462,078979201,Free Lunch Students,*,*,*,*,*,*,*,*
"Accelerated Learning Center, Inc.",4297,Accelerated Learning Center,5462,078979201,Sped Students,*,*,*,*,16,*,*,17
"Accelerated Learning Charter School, Inc.",78830,,,           _,All Students,*,*,*,23,34,*,*,62
"Accelerated Learning Charter School, Inc.",78830,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Accelerated Learning Charter School, Inc.",78830,,,           _,Free Lunch Students,*,*,*,22,26,*,*,53
"Accelerated Learning Charter School, Inc.",78830,,,           _,Sped Students,*,*,*,*,*,*,*,*
"Accelerated Learning Charter School, Inc.",78830,Accelerated Learning Charter School,78832,138763101,All Students,*,*,*,23,34,*,*,62
"Accelerated Learning Charter School, Inc.",78830,Accelerated Learning Charter School,78832,138763101,ELL Students,*,*,*,*,*,*,*,*
"Accelerated Learning Charter School, Inc.",78830,Accelerated Learning Charter School,78832,138763101,Free Lunch Students,*,*,*,22,26,*,*,53
"Accelerated Learning Charter School, Inc.",78830,Accelerated Learning Charter School,78832,138763101,Sped Students,*,*,*,*,*,*,*,*
Acclaim Charter School,4325,,,           _,All Students,*,*,*,388,*,*,*,396
Acclaim Charter School,4325,,,           _,ELL Students,*,*,*,*,*,*,*,104
Acclaim Charter School,4325,,,           _,Free Lunch Students,*,*,*,337,*,*,*,340
Acclaim Charter School,4325,,,           _,Sped Students,*,*,*,25,*,*,*,26
Acclaim Charter School,4325,ACCLAIM Academy,5496,078701101,All Students,*,*,*,388,*,*,*,396
Acclaim Charter School,4325,ACCLAIM Academy,5496,078701101,ELL Students,*,*,*,*,*,*,*,104
Acclaim Charter School,4325,ACCLAIM Academy,5496,078701101,Free Lunch Students,*,*,*,337,*,*,*,340
Acclaim Charter School,4325,ACCLAIM Academy,5496,078701101,Sped Students,*,*,*,25,*,*,*,26
Acorn Montessori Charter School,79437,,,           _,All Students,*,*,*,104,277,*,*,407
Acorn Montessori Charter School,79437,,,           _,ELL Students,*,*,*,*,*,*,*,*
Acorn Montessori Charter School,79437,,,           _,Free Lunch Students,*,*,*,72,163,*,*,248
Acorn Montessori Charter School,79437,,,           _,Sped Students,*,*,*,13,33,*,*,52
Acorn Montessori Charter School,79437,Acorn Montessori Charter School,79438,138760101,All Students,*,*,*,65,201,*,*,284
Acorn Montessori Charter School,79437,Acorn Montessori Charter School,79438,138760101,ELL Students,*,*,*,*,*,*,*,*
Acorn Montessori Charter School,79437,Acorn Montessori Charter School,79438,138760101,Free Lunch Students,*,*,*,49,125,*,*,184
Acorn Montessori Charter School,79437,Acorn Montessori Charter School,79438,138760101,Sped Students,*,*,*,*,29,*,*,42
Acorn Montessori Charter School,79437,"Acorn Montessori Charter School, Inc. - West",88180,138760102,All Students,*,*,*,39,76,*,*,123
Acorn Montessori Charter School,79437,"Acorn Montessori Charter School, Inc. - West",88180,138760102,ELL Students,*,*,*,*,*,*,*,*
Acorn Montessori Charter School,79437,"Acorn Montessori Charter School, Inc. - West",88180,138760102,Free Lunch Students,*,*,*,23,38,*,*,64
Acorn Montessori Charter School,79437,"Acorn Montessori Charter School, Inc. - West",88180,138760102,Sped Students,*,*,*,*,*,*,*,*
Agua Fria Union High School District,4289,,,           _,All Students,266,74,755,3415,2741,34,250,7535
Agua Fria Union High School District,4289,,,           _,ELL Students,*,*,*,47,*,*,*,53
Agua Fria Union High School District,4289,,,           _,Free Lunch Students,56,*,412,1801,556,*,79,2939
Agua Fria Union High School District,4289,,,           _,Sped Students,11,*,118,328,271,*,17,756
Agua Fria Union High School District,4289,Agua Fria High School,5454,070516201,All Students,31,*,219,1072,341,*,38,1725
Agua Fria Union High School District,4289,Agua Fria High School,5454,070516201,ELL Students,*,*,*,20,*,*,*,22
Agua Fria Union High School District,4289,Agua Fria High School,5454,070516201,Free Lunch Students,13,*,161,752,112,*,20,1072
Agua Fria Union High School District,4289,Agua Fria High School,5454,070516201,Sped Students,*,*,35,117,47,*,*,207
Agua Fria Union High School District,4289,Desert Edge High School,79799,070516203,All Students,47,*,213,882,527,*,44,1747
Agua Fria Union High School District,4289,Desert Edge High School,79799,070516203,ELL Students,*,*,*,16,*,*,*,17
Agua Fria Union High School District,4289,Desert Edge High School,79799,070516203,Free Lunch Students,14,*,129,530,177,*,19,881
Agua Fria Union High School District,4289,Desert Edge High School,79799,070516203,Sped Students,*,*,41,72,66,*,*,190
Agua Fria Union High School District,4289,Millennium High School,78926,070516202,All Students,146,18,213,800,912,19,96,2204
Agua Fria Union High School District,4289,Millennium High School,78926,070516202,ELL Students,*,*,*,*,*,*,*,*
Agua Fria Union High School District,4289,Millennium High School,78926,070516202,Free Lunch Students,22,*,92,274,133,*,29,555
Agua Fria Union High School District,4289,Millennium High School,78926,070516202,Sped Students,*,*,34,82,86,*,*,213
Agua Fria Union High School District,4289,Verrado High School,87903,070516204,All Students,42,*,110,661,961,*,72,1859
Agua Fria Union High School District,4289,Verrado High School,87903,070516204,ELL Students,*,*,*,*,*,*,*,*
Agua Fria Union High School District,4289,Verrado High School,87903,070516204,Free Lunch Students,*,*,30,245,134,*,11,431
Agua Fria Union High School District,4289,Verrado High School,87903,070516204,Sped Students,*,*,*,57,72,*,*,146
Aguila Elementary District,4249,,,           _,All Students,*,*,*,208,*,*,*,219
Aguila Elementary District,4249,,,           _,ELL Students,*,*,*,44,*,*,*,45
Aguila Elementary District,4249,,,           _,Free Lunch Students,*,*,*,181,*,*,*,188
Aguila Elementary District,4249,,,           _,Sped Students,*,*,*,21,*,*,*,22
Aguila Elementary District,4249,Aguila Elementary School,5187,070363101,All Students,*,*,*,148,*,*,*,157
Aguila Elementary District,4249,Aguila Elementary School,5187,070363101,ELL Students,*,*,*,40,*,*,*,41
Aguila Elementary District,4249,Aguila Elementary School,5187,070363101,Free Lunch Students,*,*,*,133,*,*,*,140
Aguila Elementary District,4249,Aguila Elementary School,5187,070363101,Sped Students,*,*,*,13,*,*,*,14
Aguila Elementary District,4249,Salome High School,6203,150576201,All Students,*,*,*,*,*,*,*,*
Aguila Elementary District,4249,Salome High School,6203,150576201,ELL Students,*,*,*,*,*,*,*,*
Aguila Elementary District,4249,Salome High School,6203,150576201,Free Lunch Students,*,*,*,*,*,*,*,*
Aguila Elementary District,4249,Salome High School,6203,150576201,Sped Students,*,*,*,*,*,*,*,*
Aguila Elementary District,4249,Wickenburg High School,4987,070209201,All Students,*,*,*,52,*,*,*,54
Aguila Elementary District,4249,Wickenburg High School,4987,070209201,ELL Students,*,*,*,*,*,*,*,*
Aguila Elementary District,4249,Wickenburg High School,4987,070209201,Free Lunch Students,*,*,*,*,*,*,*,41
Aguila Elementary District,4249,Wickenburg High School,4987,070209201,Sped Students,*,*,*,*,*,*,*,*
Aguila Elementary District,4249,Wickenburg Virtual Academy,91264,070209004,All Students,*,*,*,*,*,*,*,*
Aguila Elementary District,4249,Wickenburg Virtual Academy,91264,070209004,ELL Students,*,*,*,*,*,*,*,*
Aguila Elementary District,4249,Wickenburg Virtual Academy,91264,070209004,Free Lunch Students,*,*,*,*,*,*,*,*
Aguila Elementary District,4249,Wickenburg Virtual Academy,91264,070209004,Sped Students,*,*,*,*,*,*,*,*
"Ahwatukee Foothills Prep Early College High School, Inc.",90758,,,           _,All Students,*,*,*,11,*,*,*,26
"Ahwatukee Foothills Prep Early College High School, Inc.",90758,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Ahwatukee Foothills Prep Early College High School, Inc.",90758,,,           _,Free Lunch Students,*,*,*,*,*,*,*,12
"Ahwatukee Foothills Prep Early College High School, Inc.",90758,,,           _,Sped Students,*,*,*,*,*,*,*,*
"Ahwatukee Foothills Prep Early College High School, Inc.",90758,Mosaica Online High School of Arizona,91246,078582002,All Students,*,*,*,11,*,*,*,26
"Ahwatukee Foothills Prep Early College High School, Inc.",90758,Mosaica Online High School of Arizona,91246,078582002,ELL Students,*,*,*,*,*,*,*,*
"Ahwatukee Foothills Prep Early College High School, Inc.",90758,Mosaica Online High School of Arizona,91246,078582002,Free Lunch Students,*,*,*,*,*,*,*,12
