year,mergecode,districtcode,black,hispanic,white,totalenroll,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,state,year_21
18,4467-6085arizona,4467arizona,0.0,42.76,47.59,435,37.0,4.06,40973301040,0.0,0.0,1.0,0.0,0,arizona,0
19,4467-6085arizona,4467arizona,0.0,48.61,40.28,144,45.0,2.03,40973301040,0.0,0.0,1.0,0.0,0,arizona,0
21,4467-6085arizona,4467arizona,0.0,53.16,38.88,427,48.0,3.62,40973301040,1.0,0.0,0.0,0.5,0,arizona,1
17,4393-5632arizona,4393arizona,0.0,16.64,75.31,721,46.0,3.85,40770000673,0.0,0.0,1.0,0.0,0,arizona,0
18,4393-5632arizona,4393arizona,0.0,15.09,79.29,729,44.0,2.87,40770000673,0.0,0.0,1.0,0.0,0,arizona,0
19,4393-5632arizona,4393arizona,0.0,15.78,78.62,767,41.0,1.52,40770000673,0.0,0.0,1.0,0.0,0,arizona,0
21,4393-5632arizona,4393arizona,0.0,14.75,76.62,800,31.0,3.15,40770000673,1.0,0.0,0.0,0.5,0,arizona,1
17,4175-4783arizona,4175arizona,8.23,33.97,45.14,1872,33.0,1.29,40146000081,0.0,0.0,1.0,0.0,0,arizona,0
18,4175-4783arizona,4175arizona,7.59,36.45,44.65,2148,31.0,2.08,40146000081,0.0,0.0,1.0,0.0,0,arizona,0
19,4175-4783arizona,4175arizona,7.42,36.51,43.45,2076,30.0,1.76,40146000081,0.0,0.0,1.0,0.0,0,arizona,0
21,4175-4783arizona,4175arizona,6.7,36.47,42.85,1881,30.0,3.16,40146000081,1.0,0.0,0.0,0.5,0,arizona,1
17,79084-79092arizona,79084arizona,28.47,48.18,13.14,137,77.0,3.06,40024302030,0.0,0.0,1.0,0.0,1,arizona,0
18,79084-79092arizona,79084arizona,31.29,49.66,10.2,147,77.0,1.82,40024302030,0.0,0.0,1.0,0.0,1,arizona,0
19,79084-79092arizona,79084arizona,33.33,44.9,12.24,147,79.0,2.65,40024302030,0.0,0.0,1.0,0.0,1,arizona,0
21,79084-79092arizona,79084arizona,27.81,13.02,39.05,169,79.0,9.13,40024302030,0.4,0.6,0.0,0.8,1,arizona,1
17,4391-5618arizona,4391arizona,0.0,10.09,82.18,763,32.0,0.84,40782000694,0.0,0.0,1.0,0.0,0,arizona,0
18,4391-5618arizona,4391arizona,0.0,10.18,81.29,727,30.0,1.61,40782000694,0.0,0.0,1.0,0.0,0,arizona,0
