DistrictofResidenceEntityName,DistrictofResidenceEntityID,SchoolEntityName,SchoolEntityID,SchoolCTDS,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total,
American Charter Schools Foundation d.b.a. Desert Hills High School,79872,Desert Hills High School,78901,078947001,*,*,*,*,*,*,*,*,*,*,18,37,46,94,195,
American Charter Schools Foundation d.b.a. Desert Hills High School,79872,Peoria Accelerated High School,78817,078951001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
American Charter Schools Foundation d.b.a. Estrella High School,79873,,,           _,*,*,*,*,*,*,*,*,*,*,15,39,65,160,279,
American Charter Schools Foundation d.b.a. Estrella High School,79873,Estrella High School,78900,078948001,*,*,*,*,*,*,*,*,*,*,15,39,65,160,279,
American Charter Schools Foundation d.b.a. Peoria Accelerated High School,79875,,,           _,*,*,*,*,*,*,*,*,*,*,26,70,120,295,511,
American Charter Schools Foundation d.b.a. Peoria Accelerated High School,79875,Canyon State Academy,79303,072107001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
American Charter Schools Foundation d.b.a. Peoria Accelerated High School,79875,Peoria Accelerated High School,78817,078951001,*,*,*,*,*,*,*,*,*,*,26,69,120,294,509,
American Charter Schools Foundation d.b.a. Peoria Accelerated High School,79875,Skyview High School,6350,108706001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
American Charter Schools Foundation d.b.a. Peoria Accelerated High School,79875,South Ridge High School,88335,078517201,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
American Charter Schools Foundation d.b.a. South Pointe High School,80989,,,           _,*,*,*,*,*,*,*,*,*,*,87,108,108,137,440,
American Charter Schools Foundation d.b.a. South Pointe High School,80989,Kaizen Education Foundation dba Maya High School,10748,078949001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
American Charter Schools Foundation d.b.a. South Pointe High School,80989,South Pointe High School,80990,078983201,*,*,*,*,*,*,*,*,*,*,87,108,108,137,440,
American Charter Schools Foundation d.b.a. South Ridge High School,88334,,,           _,*,*,*,*,*,*,*,*,*,*,121,117,97,97,432,
American Charter Schools Foundation d.b.a. South Ridge High School,88334,South Ridge High School,88335,078517201,*,*,*,*,*,*,*,*,*,*,121,117,97,97,432,
American Charter Schools Foundation d.b.a. Sun Valley High School,79877,,,           _,*,*,*,*,*,*,*,*,*,*,26,63,86,286,461,
American Charter Schools Foundation d.b.a. Sun Valley High School,79877,Mingus Mountain Academy,90049,132116001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
American Charter Schools Foundation d.b.a. Sun Valley High School,79877,Sun Valley High School,6347,078953001,*,*,*,*,*,*,*,*,*,*,26,62,86,286,460,
American Charter Schools Foundation d.b.a. West Phoenix High School,79879,,,           _,*,*,*,*,*,*,*,*,*,*,51,77,105,198,431,
American Charter Schools Foundation d.b.a. West Phoenix High School,79879,West Phoenix High School,6348,078956001,*,*,*,*,*,*,*,*,*,*,51,77,105,198,431,
American Heritage Academy,6365,,,           _,*,33,40,41,42,33,41,37,48,46,*,25,22,*,431,
American Heritage Academy,6365,American Heritage Academy - Camp Verde,88201,138754003,*,15,19,18,17,13,19,15,19,20,*,*,*,*,155,
American Heritage Academy,6365,American Heritage Academy - Cottonwood,6366,138754001,*,18,21,23,25,20,22,22,29,26,*,25,22,*,276,
"American Leadership Academy, Inc.",4348,,,           _,*,546,553,532,541,467,515,445,541,522,445,380,336,223,6046,
"American Leadership Academy, Inc.",4348,ACCEL East Campus,7360,072164005,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
"American Leadership Academy, Inc.",4348,ALA Mesa,91778,078725004,*,91,85,62,72,62,54,47,*,*,*,*,*,*,473,
"American Leadership Academy, Inc.",4348,ALA QC  Elem,91793,078725005,*,96,93,104,108,116,121,122,*,*,*,*,*,*,760,
"American Leadership Academy, Inc.",4348,ALA San Tan,91173,078725003,*,95,106,112,112,85,90,59,*,*,*,*,*,*,659,
"American Leadership Academy, Inc.",4348,AZ Aspire Academy,92933,072142001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
"American Leadership Academy, Inc.",4348,American Leadership Academy,5522,078725001,*,108,110,93,99,61,86,57,*,*,*,*,*,*,614,
"American Leadership Academy, Inc.",4348,American Leadership Academy - Ironwood,92885,078725007,*,86,101,82,95,85,120,115,272,239,190,138,108,73,1704,
"American Leadership Academy, Inc.",4348,American Leadership Academy - Queen Creek,90769,078725002,*,*,*,*,*,*,*,*,268,282,253,240,226,148,1417,
"American Leadership Academy, Inc.",4348,American Leadership Academy Anthem South Campus,92348,078725006,*,70,58,79,55,57,42,45,*,*,*,*,*,*,406,
"American Leadership Academy, Inc.",4348,"Herzberg Educational Services, dba The Jones-Gordon School",92298,072129001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
"American Leadership Academy, Inc.",4348,Lexington Life Academy Ellsworth,92718,072138001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
"American Leadership Academy, Inc.",4348,Prestige School at Rite of Passage,90438,072107003,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
"American Leadership Academy, Inc.",4348,Southwest Education Center - Casa Grande,7349,072146002,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
American Virtual Academy,79461,,,           _,*,*,*,*,*,*,*,48,140,218,281,656,928,2088,4359,
American Virtual Academy,79461,Primavera - Online,81178,078926202,*,*,*,*,*,*,*,48,140,218,281,656,928,2088,4359,
Amphitheater Unified District,4406,,,           _,117,884,1034,1007,1007,1063,1100,959,1033,1013,1107,1182,1109,1155,13770,
Amphitheater Unified District,4406,AMPHI HEAD START,7928,102601010,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Amphitheater Unified District,4406,Amphi Academy at Donaldson,91756,100210185,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Amphitheater Unified District,4406,Amphi Academy at El Hogar,91755,100210285,*,*,*,*,*,*,*,*,*,*,*,*,*,13,32,
Amphitheater Unified District,4406,Amphitheater High School,6055,100210281,*,*,*,*,*,*,*,*,*,*,315,338,321,280,1254,
Amphitheater Unified District,4406,Amphitheater Middle School,5805,100210166,*,*,*,*,*,*,*,238,244,231,*,*,*,*,713,
Amphitheater Unified District,4406,Canyon Del Oro High School,5808,100210282,*,*,*,*,*,*,*,*,*,*,342,353,364,414,1473,
Amphitheater Unified District,4406,Copper Creek Elementary School,5802,100210118,35,76,83,87,73,86,75,*,*,*,*,*,*,*,515,
Amphitheater Unified District,4406,Coronado Head Start,80551,102601038,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Amphitheater Unified District,4406,Coronado K-8 School,5799,100210115,*,67,65,70,69,85,76,142,169,152,*,*,*,*,895,
Amphitheater Unified District,4406,E C Nash School,5796,100210110,*,71,97,67,69,54,66,*,*,*,*,*,*,*,424,
Amphitheater Unified District,4406,Frances Owen Holaway Elementary School,5794,100210108,15,68,61,66,62,68,58,*,*,*,*,*,*,*,398,
Amphitheater Unified District,4406,Harold Steele Elementary School,5723,100201413,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Amphitheater Unified District,4406,Helen Keeling Elementary School,5795,100210109,*,64,73,64,70,61,85,*,*,*,*,*,*,*,417,
Amphitheater Unified District,4406,Ironwood Ridge High School,79378,100210280,*,*,*,*,*,*,*,*,*,*,446,484,412,428,1770,
Amphitheater Unified District,4406,Jacinto Park Headstart,9839,102601017,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Amphitheater Unified District,4406,KEELING HEADSTART,7934,102601065,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Amphitheater Unified District,4406,L M Prince School,5797,100210111,15,105,115,98,110,114,107,*,*,*,*,*,*,*,664,
Amphitheater Unified District,4406,La Cima Middle School,5804,100210165,*,*,*,*,*,*,*,156,153,140,*,*,*,*,449,
Amphitheater Unified District,4406,Lawrence W Cross Middle School,5806,100210167,*,*,*,*,*,*,*,155,225,262,*,*,*,*,642,
Amphitheater Unified District,4406,Lulu Walker School,5798,100210112,12,68,88,80,71,81,86,*,*,*,*,*,*,*,486,
Amphitheater Unified District,4406,Marion Donaldson Elementary School,5792,100210106,29,43,43,48,56,51,38,*,*,*,*,*,*,*,308,
Amphitheater Unified District,4406,Mesa Verde Elementary School,5800,100210116,*,*,69,62,66,68,78,*,*,*,*,*,*,*,392,
Amphitheater Unified District,4406,Painted Sky Elementary School,79282,100210114,*,*,91,93,79,74,120,*,*,*,*,*,*,*,520,
Amphitheater Unified District,4406,Prince Head Start,10371,102601036,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Amphitheater Unified District,4406,Richard B Wilson Jr School,5807,100210168,*,*,97,103,120,163,129,209,238,219,*,*,*,*,1349,
Amphitheater Unified District,4406,Rillito Center,5803,100210125,*,*,*,*,*,*,*,*,*,*,*,*,*,20,65,
Amphitheater Unified District,4406,Rio Vista Elementary School,5801,100210117,*,*,73,92,73,81,90,*,*,*,*,*,*,*,481,
Amphitheater Unified District,4406,Winifred Harelson Elementary School,5793,100210107,*,66,75,69,85,72,89,*,*,*,*,*,*,*,513,
Antelope Union High School District,4506,,,           _,*,*,*,*,*,*,*,*,*,*,63,53,51,79,246,
Antelope Union High School District,4506,AUHS Online Acadamy,92739,140550101,*,*,*,*,*,*,*,*,*,*,*,*,*,13,16,
Antelope Union High School District,4506,Antelope Union High School,6188,140550201,*,*,*,*,*,*,*,*,*,*,63,52,49,66,230,
Anthem Preparatory Academy,90532,,,           _,*,59,59,60,60,60,59,76,76,76,68,45,58,40,796,
Anthem Preparatory Academy,90532,Great Hearts Academies - Anthem Prep,90635,078525001,*,59,59,60,60,60,59,76,76,76,68,45,58,40,796,
Apache Elementary District,4178,,,           _,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
Apache Elementary District,4178,Apache Elementary School,4786,020342101,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
