year,districtcode,schoolcode,elapass,mathpass,totaltest,mergecode
17,3962,60,48.73,48.73,236,3962-60
17,3969,40,30.3,21.21,33,3969-40
17,3983,60,23.53,27.45,102,3983-60
17,3990,20,26.79,30.36,56,3990-20
17,4018,140,42.97,35.14,498,4018-140
17,4025,60,42.5,45.0,40,4025-60
17,4060,130,45.45,42.26,407,4060-130
17,4067,100,36.23,33.33,69,4067-100
17,4074,200,44.0,53.0,100,4074-200
17,4088,60,38.04,30.43,92,4088-60
17,4095,40,47.96,55.66,221,4095-40
17,4137,80,60.0,57.33,75,4137-80
17,4144,60,50.71,51.79,280,4144-60
17,4151,100,26.0,24.0,50,4151-100
17,4165,60,45.32,49.64,139,4165-60
17,4179,290,32.41,38.34,253,4179-290
17,4179,300,39.86,43.91,419,4179-300
17,4186,80,32.31,26.15,65,4186-80
17,4207,60,13.16,13.16,38,4207-60
17,4221,15,30.49,28.05,82,4221-15
17,4228,80,39.34,47.54,61,4228-80
17,4263,60,42.11,57.89,19,4263-60
17,4270,40,55.56,44.44,9,4270-40
17,4305,100,31.91,28.72,94,4305-100
17,4312,80,59.81,51.67,209,4312-80
17,4330,20,21.43,35.71,14,4330-20
17,4347,120,61.4,50.88,57,4347-120
17,4368,40,51.06,48.94,47,4368-40
17,4375,60,31.91,29.79,47,4375-60
17,4389,60,59.0,67.0,100,4389-60
17,4459,40,31.82,22.73,22,4459-40
17,4473,100,42.5,45.5,200,4473-100
17,4501,180,40.0,40.51,195,4501-180
17,4508,40,40.62,31.25,32,4508-40
17,4515,100,56.19,47.94,194,4515-100
17,4522,100,30.0,60.0,10,4522-100
17,4529,40,45.45,36.36,33,4529-40
17,4536,80,32.91,31.65,79,4536-80
17,4543,60,39.44,30.99,71,4543-60
17,4557,40,28.57,17.86,28,4557-40
17,4571,60,32.43,21.62,37,4571-60
17,4578,60,51.52,40.4,99,4578-60
17,4606,40,44.44,29.63,27,4606-40
17,4613,100,39.11,47.18,248,4613-100
17,4620,491,30.64,18.76,421,4620-491
17,4620,492,17.51,10.55,417,4620-492
17,4620,494,12.64,9.77,348,4620-494
17,4620,499,46.05,42.11,76,4620-499
17,4620,800,39.53,20.93,43,4620-800
17,4634,40,35.9,41.03,39,4634-40
17,4641,80,60.56,36.62,71,4641-80
17,4753,80,37.14,31.43,210,4753-80
17,4760,40,36.73,36.73,49,4760-40
17,4781,180,35.33,22.83,184,4781-180
17,4781,420,,18.18,11,4781-420
17,4795,60,36.17,29.79,47,4795-60
17,4802,180,44.91,39.52,167,4802-180
17,4802,450,50.0,25.0,8,4802-450
17,4851,320,20.93,32.56,86,4851-320
17,4865,40,34.21,31.58,38,4865-40
17,4872,120,45.3,47.01,117,4872-120
17,4872,440,57.14,33.33,21,4872-440
17,4893,80,63.43,52.78,216,4893-80
17,4893,410,14.29,,7,4893-410
17,4904,80,37.14,40.0,35,4904-80
17,4956,50,44.64,48.21,56,4956-50
17,4963,40,33.33,35.56,45,4963-40
17,4970,35,46.12,40.78,412,4970-35
17,4970,400,14.29,42.86,7,4970-400
17,5019,80,51.43,44.29,70,5019-80
17,5026,40,23.45,17.93,145,5026-40
17,5054,20,50.57,39.46,261,5054-20
17,5100,120,42.65,43.6,211,5100-120
17,5124,80,20.83,25.0,24,5124-80
17,5130,40,59.46,54.05,37,5130-40
17,5138,100,31.98,26.74,172,5138-100
17,5264,280,35.64,28.72,188,5264-280
17,5271,280,39.64,40.83,338,5271-280
17,5271,340,28.12,25.45,224,5271-340
17,5271,440,18.52,22.22,27,5271-440
17,5271,450,3.57,,56,5271-450
17,5271,451,19.51,7.32,41,5271-451
17,5278,40,38.35,42.11,133,5278-40
17,5306,40,38.89,13.89,36,5306-40
17,5348,40,24.56,24.56,57,5348-40
17,5355,80,57.42,53.55,155,5355-80
17,5362,80,35.71,21.43,14,5362-80
17,5376,40,20.69,27.59,29,5376-40
17,5390,80,60.62,60.18,226,5390-80
17,5397,800,38.46,30.77,13,5397-800
17,5432,40,43.75,32.81,128,5432-40
17,5439,120,25.89,27.51,309,5439-120
17,5457,220,40.66,40.66,91,5457-220
17,5460,160,34.29,33.71,175,5460-160
17,5460,800,,10.0,10,5460-800
17,5467,40,51.85,40.74,54,5467-40
17,5474,80,36.36,24.68,77,5474-80
17,5523,110,56.57,55.56,99,5523-110
17,5586,80,33.33,41.67,48,5586-80
17,5593,80,49.32,54.79,73,5593-80
17,5607,270,42.74,39.32,468,5607-270
17,5607,310,16.67,8.33,12,5607-310
17,5614,40,56.25,37.5,16,5614-40
17,5621,140,42.55,42.55,235,5621-140
17,5628,40,47.44,39.74,78,5628-40
17,5642,10,49.45,48.35,91,5642-10
17,5656,100,55.34,52.96,506,5656-100
17,5656,410,3.33,,30,5656-410
17,5663,280,38.72,33.67,297,5663-280
17,5670,80,22.22,14.81,27,5670-80
17,5726,40,37.5,31.25,48,5726-40
17,5733,80,42.86,31.43,35,5733-80
17,5740,40,13.33,20.0,15,5740-40
17,5747,180,31.63,31.16,215,5747-180
17,5747,800,14.29,,7,5747-800
17,5754,200,41.67,37.04,108,5754-200
17,5757,40,23.81,23.81,42,5757-40
17,5810,40,42.31,46.15,26,5810-40
17,5824,80,39.05,27.62,105,5824-80
17,5824,810,50.0,,6,5824-810
17,5852,20,37.39,33.19,238,5852-20
17,5866,60,50.0,48.81,84,5866-60
17,5901,100,58.56,50.28,362,5901-100
17,5901,410,50.0,31.25,16,5901-410
17,5960,20,36.84,31.58,38,5960-20
17,5985,220,42.86,44.29,70,5985-220
17,5985,410,76.92,69.23,13,5985-410
17,5992,80,25.0,16.67,24,5992-80
17,6013,20,40.5,33.06,121,6013-20
17,6027,40,56.1,31.71,41,6027-40
17,6069,40,28.57,14.29,7,6069-40
17,6083,20,52.57,52.21,272,6083-20
17,6118,40,40.0,26.67,60,6118-40
17,6125,140,41.88,31.77,277,6125-140
17,6125,430,28.57,14.29,7,6125-430
17,6174,290,35.13,32.26,279,6174-290
17,6174,430,75.0,75.0,44,6174-430
17,6174,450,68.42,57.89,19,6174-450
17,6174,460,29.03,27.6,279,6174-460
17,6174,470,38.14,21.65,97,6174-470
17,6174,560,57.5,48.93,280,6174-560
17,6181,40,62.54,72.06,315,6181-40
17,6195,140,33.73,39.16,166,6195-140
17,6216,200,36.18,28.95,152,6216-200
17,6223,360,46.38,31.88,207,6223-360
17,6223,380,46.95,42.12,311,6223-380
17,6223,400,15.79,21.05,19,6223-400
17,6223,410,57.14,57.14,21,6223-410
17,6230,100,35.71,33.33,42,6230-100
17,6237,140,32.99,23.71,97,6237-140
17,6244,20,61.65,54.48,279,6244-20
17,6244,280,51.95,47.66,256,6244-280
17,6244,430,10.53,5.26,19,6244-430
17,6251,40,24.14,31.03,29,6251-40
17,6293,80,24.53,39.62,53,6293-80
17,6300,20,13.82,14.18,275,6300-20
17,6300,340,36.06,28.9,391,6300-340
17,6307,50,36.13,45.26,274,6307-50
17,6307,200,45.07,51.76,284,6307-200
17,6307,430,25.0,25.0,8,6307-430
17,6321,200,40.7,29.07,86,6321-200
17,6328,120,44.98,44.98,209,6328-120
