year,districtcode,schoolcode,droprate,totalenroll,mergecode
19,5747,180,0.79,884,5747-180
19,5754,200,0.54,368,5754-200
19,126,60,0.31,327,126-60
19,4375,60,0.00,165,4375-60
19,5810,9410,0.00,6,5810-9410
19,5810,40,0.88,113,5810-40
19,5824,80,1.27,474,5824-80
19,5852,20,0.00,980,5852-20
19,238,100,1.81,276,238-100
19,5866,60,0.58,346,5866-60
19,5901,410,3.85,52,5901-410
19,5901,100,1.42,1615,5901-100
19,5985,410,0.00,43,5985-410
19,5985,9407,0.00,10,5985-9407
19,5985,220,0.00,305,5985-220
19,5992,80,0.00,176,5992-80
19,6027,40,0.00,181,6027-40
19,6069,40,4.17,24,6069-40
19,6083,20,0.94,1064,6083-20
19,6118,40,0.00,250,6118-40
19,6125,430,1.75,57,6125-430
19,6125,140,0.96,1252,6125-140
19,6174,470,6.00,683,6174-470
19,6174,290,0.79,1144,6174-290
19,6174,460,2.05,929,6174-460
19,6174,450,0.00,168,6174-450
19,6174,490,19.47,113,6174-490
19,6174,430,0.00,192,6174-430
19,6174,415,0.00,40,6174-415
19,6174,560,0.43,1174,6174-560
19,6181,40,0.08,1322,6181-40
19,6195,140,0.77,646,6195-140
19,6216,200,1.47,544,6216-200
19,6223,360,0.94,959,6223-360
19,6223,400,5.26,76,6223-400
19,6223,800,16.00,25,6223-800
19,6223,410,0.00,27,6223-410
19,6223,380,0.96,1350,6223-380
19,6230,100,0.68,147,6230-100
19,6237,140,2.03,394,6237-140
19,6244,20,0.26,1176,6244-20
19,6244,430,17.24,203,6244-430
19,6244,280,0.83,1079,6244-280
19,6251,40,0.00,97,6251-40
19,6293,80,2.06,194,6293-80
19,6300,20,3.02,1028,6300-20
19,6300,490,10.11,267,6300-490
19,6300,340,1.06,1320,6300-340
19,6300,410,0.00,8,6300-410
19,6307,50,1.05,1048,6307-50
19,6307,430,0.00,39,6307-430
19,6307,200,1.40,1210,6307-200
19,6328,400,0.00,28,6328-400
19,6328,120,0.10,976,6328-120
19,6370,80,0.00,495,6370-80
19,6321,9407,0.00,7,6321-9407
19,6321,200,0.62,323,6321-200
19,6335,100,3.62,276,6335-100
19,6354,100,3.49,86,6354-100
19,6384,100,0.71,282,6384-100
19,6440,40,0.00,63,6440-40
19,6419,100,0.31,973,6419-100
19,6426,120,0.58,344,6426-120
19,6461,140,1.33,600,6461-140
19,6470,100,0.47,845,6470-100
19,6475,60,0.00,258,6475-60
19,6482,40,0.48,209,6482-40
19,6545,20,0.98,1017,6545-20
19,6608,60,0.00,513,6608-60
19,6615,80,1.30,77,6615-80
19,6678,100,2.87,487,6678-100
19,469,60,0.00,228,469-60
19,6685,160,1.01,1391,6685-160
19,6685,430,10.20,147,6685-430
19,6692,140,0.31,327,6692-140
19,6713,80,0.00,116,6713-80
19,6734,40,0.21,481,6734-40
