schoolcode,totalenrolled,white,black,hispanic,lowincome,dropout
060161050022002,168,18.5,0.6,80.4,81,     
060161050022003,330,26.1,5.5,62.4,66.4,     
060161050022004,238,66,3.8,23.9,20.6,     
060161050022005,336,79.5,1.8,10.7,6.5,     
060161060021003,403,83.1,0.7,11.2,6.2,     
060161060022001,470,81.1,0.6,12.8,6.2,     
060161070021001,385,69.6,0.8,15.6,13,     
060161070022002,463,74.5,1.1,13.2,11.2,     
060162000130001,3294,53.9,22.5,11.3,19.2,0.1
060162010170001,3456,1.5,1.7,96.2,92.3,8
060162010170002,3518,10.1,6.8,80.6,82.6,3
060162010170003,1209,1.6,1.6,96.3,95,0.2
060162040170001,3980,72.8,4,19.1,14.2,0.1
060162080170001,1619,55.5,5.7,34.2,20,0.7
060162090170001,1622,1.8,44,52.2,62.8,1.8
060162090170002,1850,2.6,47.1,44.3,24.6,1.4
060162090170003,742,5.3,28.7,61.2,38.7,0
060162120160001,1781,40.2,1.4,52.5,53.2,0.7
060162120160002,1513,15.4,1.9,78.6,58.2,1.1
060162340160001,846,70.3,0.4,22.2,32.4,0.5
060164010260001,890,45.7,2.7,48,48.1,1.2
060164010261001,458,42.1,2.6,50.2,48.7,     
060164010262003,569,44.1,3,48.9,54.8,     
060164010262004,605,44.6,1.2,50.1,59.3,     
060164010262005,228,46.1,1.3,45.6,42.1,     
070161040021001,572,8.7,4.7,81.1,88.3,     
070161040022001,183,10.4,4.9,79.8,91.3,     
070161040022003,510,1.8,2.7,93.3,78,     
070161040022004,239,23,11.3,58.6,82.4,     
070161040022005,323,9.3,5.3,78.6,85.8,     
070161080022001,365,60.3,4.4,32.1,61.4,     
070161090021006,597,54.1,19.8,23.8,63,     
070161090022001,409,59.7,9.3,26.9,64.8,     
070161090022002,694,60.1,15.3,20.2,57.5,     
070161090022004,458,65.7,12,20.5,61.6,     
070161090022006,575,61.2,23.3,13.7,74.8,     
070161100022002,400,18,0.8,70.5,71.8,     
070161110021001,811,51.8,2.1,41.9,59.1,     
070161110022001,559,43.1,0.7,52.2,50.1,     
070161110022002,352,34.9,0.9,59.9,66.5,     
070161110022005,372,31.2,0.5,65.9,50,     
070161110022006,413,64.2,1.9,32.7,42.9,     
070161110022007,258,62,0.4,32.6,51.6,     
070161110022010,338,52.7,2.7,41.7,50.6,     
070161110022011,438,47.7,3,46.3,62.8,     
07016113A021002,840,81.2,0.8,11,11.5,     
07016113A022002,632,83.7,1.6,6.3,16,     
07016113A022004,677,83.2,0.9,7.7,15.5,     
070161170021001,1030,72.9,5.2,15.9,57.2,     
070161170022002,443,77.9,3.2,12.6,66.6,     
070161170022003,686,78.3,3.2,14.9,63.3,     
070161170022004,742,77.2,6.3,12.1,55.4,     
070161170022005,421,79.8,7.4,4,58.2,     
070161180041004,695,82.2,0.9,10.4,20.9,     
070161180042002,670,80,1.2,12.8,34.5,     
070161180042003,623,76.9,1.4,15.1,22.6,     
070161220021005,715,66.4,4.8,25.7,67.4,     
070161220022001,367,65.4,3.3,30,65.1,     
070161220022002,313,70.9,10.5,15,81.2,     
070161220022003,576,68.9,2.4,25.5,67.4,     
070161220022004,399,68.9,2.3,24.3,67.7,     
070161230021001,1078,54.8,6,34.9,43.7,     
070161230022003,436,53.2,5.3,37.4,48.2,     
070161230022006,411,45,13.4,32.8,49.9,     
070161230022007,350,53.7,5.1,37.7,62,     
070161230022008,456,60.7,5,29.2,38.6,     
070161230022010,449,63.3,4,27.8,36.3,     
070161240021001,574,41.3,31.2,23.9,46.7,     
070161240022002,302,14.9,40.7,39.4,61.3,     
070161240022003,306,49.3,20.6,24.2,42.8,     
070161240022004,312,41.7,26.9,28.2,46.8,     
070161240022005,319,77.4,7.8,11,19.1,     
070161250021001,229,34.1,16.2,44.5,46.7,     
070161250022003,233,39.1,14.2,41.6,45.5,     
070161250022004,199,37.7,13.1,43.2,40.7,     
070161260021005,366,39.9,16.1,39.6,54.4,     
070161260022001,320,49.4,9.7,36.6,63.4,     
070161260022002,271,36.9,20.7,39.1,67.2,     
070161260022004,657,48.9,11.3,35.9,55.3,     
070161270021005,375,72.3,2.1,16.5,52,     
070161270022001,426,67.4,3.8,14.8,50.5,     
070161270022004,294,71.4,4.1,13.3,65,     
070161275021001,428,69.6,9.6,18,71.5,     
070161275022003,497,65.4,5.6,26.2,52.9,     
070161275022004,525,73,9.1,14.5,58.5,     
070161280021003,229,83.8,1.7,14,15.7,     
070161280022002,197,82.7,1.5,14.7,12.2,     
070161280022005,144,84,1.4,12.5,9.7,     
070161280022006,117,82.1,1.7,13.7,5.1,     
070161300021001,346,4.3,18.2,76.6,87.3,     
070161300021002,403,30.8,27.8,39.7,61.8,     
070161300021003,377,4,21.2,74.3,80.4,     
070161300022004,244,35.7,20.5,40.2,63.5,     
070161300022008,225,5.3,24.4,68.4,80,     
070161300022010,209,4.8,15.8,78,79.9,     
070161300022011,396,7.8,17.9,73.5,67.2,     
070161300022012,518,34.6,18.3,43.6,59.1,     
070161300022018,408,4.7,23,71.1,64.5,     
070161300022019,282,12.4,41.5,43.3,63.1,     
070161320022001,347,1.4,76.9,17,84.1,     
070161320022002,376,0.5,79.8,17.6,88.3,     
070161320022003,359,0,76.9,21.2,74.1,     
070161330022001,233,0,95.7,3,59.7,     
070161350021004,530,74.7,3.2,14.2,13.8,     
070161350021005,540,75.2,2.2,16.7,17.4,     
070161350021006,695,71.2,7.3,9.6,13.7,     
070161350022001,457,71.8,3.9,17.9,19.9,     
070161350022002,398,68.1,4.3,20.9,21.1,     
070161350022007,497,76.9,2,15.3,17.7,     
070161350022008,489,71.8,2.5,18.2,22.3,     
070161350022010,342,68.4,9.4,12.9,13.7,     
070161350022012,476,79.6,1.9,9.5,13,     
070161350022013,587,67.5,8,11.8,17.2,     
070161400021003,596,77.3,3.4,9.2,13.6,     
070161400021004,625,81.1,1.8,6.7,10.7,     
070161400022001,471,79,2.3,10.2,20.2,     
070161400022004,395,75.2,4.1,10.9,17,     
070161400022005,426,82.4,1.6,9.6,12.9,     
070161400022006,519,83.8,2.3,7.1,15.8,     
070161400022007,565,75.2,5.3,7.1,8.1,     
070161420021001,564,66.5,5.9,21.1,36.2,     
070161420022002,233,63.1,9.4,21.9,40.8,     
070161420022003,380,64.7,5.5,22.4,41.8,     
070161420022004,472,67.2,12.9,15.9,37.7,     
070161430022001,704,22.3,30.8,43.5,82.2,     
070161430022002,603,35.7,23.5,35,64,     
070161430022004,361,40.7,22.2,31.9,80.6,     
070161430022005,112,31.3,23.2,42.9,62.5,     
070161435021003,501,1.2,31.7,65.1,92.4,     
070161435022001,173,1.2,75.1,17.3,89,     
070161435022006,358,2,34.1,61.7,93.9,     
070161435022007,171,2.3,40.4,57.3,95.9,     
070161435022010,378,4,16.9,77.5,89.7,     
070161440021002,883,1.2,86.7,11.3,95,     
070161440022003,248,17.7,37.1,36.3,89.5,     
070161440022004,296,0.3,93.6,5.7,97.6,     
070161440022005,262,0.8,83.6,13.7,92.4,     
070161440022007,159,0.6,91.2,6.9,94.3,     
070161440022009,293,1,93.5,4.4,91.8,     
070161440022010,433,1.6,88,7.6,95.6,     
070161450021001,669,51.4,15.7,19.1,39.9,     
070161450022002,160,48.1,10,25,33.1,     
070161450022003,286,50,14,21.7,44.1,     
070161450022004,269,48.3,12.3,24.2,41.6,     
070161460041001,774,70.2,5.8,15.4,40.3,     
070161460042002,484,66.9,5.8,21.9,42.4,     
070161460042003,417,70.3,4.1,19.2,25.9,     
070161460042005,345,72.5,1.2,18.8,26.1,     
070161460042006,377,68.4,6.1,11.9,38.2,     
070161470021001,332,2.1,62.7,34.9,98.2,     
070161470022004,304,2,33.9,64.1,98,     
070161470022006,248,0.4,89.5,10.1,99.2,     
070161470022007,233,1.3,70.8,27.5,95.7,     
070161480021002,146,0,98.6,0.7,91.8,     
070161480021003,147,0,98,0.7,91.8,     
070161480021004,95,0,98.9,0,91.6,     
070161480022002,173,0,97.7,1.7,94.2,     
070161480022003,343,0.6,92.7,5.2,95.9,     
070161480022005,280,0,96.4,1.4,93.2,     
070161480022006,250,0,99.2,0,92.8,     
070161480022007,247,0.4,93.1,4.5,97.6,     
070161480022010,241,0,94.6,4.6,98.3,     
070161490021004,206,0.5,95.6,3.9,99.5,     
070161490021005,207,0,96.1,3.9,99,     
070161490021006,204,0,96.6,2,100,     
070161490022002,360,0.8,95.6,3.1,98.9,     
070161490022005,655,1.2,94,4,99.2,     
070161490022006,353,0.6,97.7,0.8,99.7,     
070161490022009,325,1.2,96.6,1.8,99.7,     
070161490022010,361,0.8,97,1.9,99.7,     
070161500021005,307,0.7,91.5,5.9,73.6,     
070161500022001,396,0.5,87.9,8.8,63.1,     
070161500022002,220,0,90.5,7.7,68.6,     
070161510021001,511,1.8,65.8,29.7,98.2,     
070161510022002,311,1.3,61.7,34.1,98.1,     
070161510022004,348,0.9,62.1,35.1,98.6,     
070161510022006,403,1.5,51.9,44.2,98,     
070161520021001,419,0.2,69.7,27.7,99.8,     
070161520022001,397,0.3,80.1,15.6,99.7,     
070161520022002,234,0,84.2,11.1,99.1,     
070161520022004,347,0,22.8,76.7,100,     
070161520022005,170,0.6,84.7,11.8,98.8,     
070161520022007,146,2.1,85.6,10.3,100,     
070161520022008,188,0,73.9,17,99.5,     
070161525022001,477,1,83.2,15.5,91.4,     
070161525022005,503,0.6,89.7,9.7,89.5,     
070161530021003,761,29.7,53,11.2,38.5,     
070161530022002,584,31.2,49,12.5,34.6,     
070161530022005,593,33.9,42,15.7,39.3,     
070161540022002,237,44.3,22.4,28.7,34.2,     
070161545022001,197,4.1,39.1,55.3,96.4,     
070161550021001,330,0.9,61.8,33.6,95.2,     
070161550022002,417,2.4,52.5,43.4,55.2,     
070161550022004,346,1.2,57.2,40.8,59.2,     
070161560022001,1023,1.2,54.8,42.5,88.6,     
070161570021001,291,0.7,75.9,22,85.6,     
070161570022001,584,1.7,72.9,22.6,77.1,     
070161580021004,872,18,51.6,26.8,73.3,     
070161580022001,548,17.9,39.4,36.7,72.6,     
070161580022005,519,14.5,57,21,78.8,     
070161580022006,426,9.4,62,24.9,83.3,     
070161590021001,655,1.2,86,7.3,75.3,     
070161590022002,244,5.7,52,39.8,82.4,     
070161590022004,299,0.7,93,0.3,77.9,     
070161590022005,328,1.5,85.7,6.7,70.4,     
070161590022006,363,3,92,1.4,66.7,     
070161600021001,297,1.7,93.6,2.4,76.8,     
070161600022003,490,1.6,95.1,2.4,70.2,     
070161600022004,407,1.7,94.3,2.5,75.4,     
070161610021003,918,16.3,67.2,11.5,44.6,     
070161610022001,313,3.8,84.7,8,53,     
070161610022002,262,6.1,82.1,6.9,46.2,     
070161610022006,335,12.2,46.3,36.1,74,     
070161610022007,473,33.2,50.1,10.4,28.8,     
070161620021004,554,1.6,93.5,4.5,76.4,     
070161620022001,428,2.1,92.1,4.9,71.3,     
070161620022003,366,1.1,92.9,4.4,73.5,     
070161620022005,456,3.5,90.4,2.6,88.6,     
070161620022008,360,3.3,89.7,4.7,87.5,     
070161620022009,372,3.8,90.1,4.6,72.3,     
070161630021010,602,2.8,84.7,7.6,88,     
070161630022002,415,2.9,81.2,9.6,85.5,     
070161630022003,235,4.3,83,6,88.1,     
070161630022007,307,1,86.3,9.4,88.3,     
070161630022008,185,1.6,88.6,5.9,90.3,     
070161670021002,259,3.1,79.5,13.9,36.3,     
070161670022001,258,5.4,74.4,18.2,35.7,     
070161670022003,362,7.7,69.1,20.4,41.4,     
070161670022004,282,4.3,79.1,12.4,34,     
070161680041003,415,3.9,76.9,14.5,54,     
070161680042001,427,6.1,74.9,13.8,58.5,     
070161680042002,532,3.9,74.4,16.4,66,     
070161690021001,162,0.6,92.6,6.8,99.4,     
070161690022002,257,0,93.4,6.6,96.5,     
070161700022001,625,2.1,31.7,65.4,95.4,     
070161700022002,528,4.7,19.5,73.1,99.6,     
070161700022005,294,0.7,63.9,34,98.3,     
070161700022007,332,2.4,5.1,89.8,100,     
070161700022008,296,7.8,16.6,74.7,99.7,     
070161700022009,284,10.2,18.7,69.4,99.3,     
070161700022011,281,1.8,42.7,52.3,99.3,     
070161700022012,247,1.2,72.5,24.7,100,     
070161700022013,108,0.9,91.7,6.5,98.1,     
070161710021001,469,3.8,74,17.1,4.3,     
070161710022001,506,3.6,72.9,16.2,4.5,     
070161720022001,355,18.9,55.2,17.5,55.5,     
070161940021001,617,34.8,27.1,27.7,74.4,     
070161940022002,493,32,26,28.2,78.3,     
070161940022005,342,31.6,29.8,30.7,81,     
070162050170001,1848,0.5,78.7,19.5,9.6,1.1
070162050170002,1208,0.6,96.8,2.1,7.1,1
070162050170003,1796,2.7,83.4,11.5,8.5,0.3
070162060170001,1654,4.1,44.5,47.5,85.7,0.6
070162060170002,1295,17.6,58.1,17.8,74.6,2.3
070162100170001,1360,81.7,1.3,10.5,12.6,0.3
070162150170001,1358,2.2,64.4,32,85.1,0.3
070162150170002,1740,11.8,64.5,18.5,66.4,0.5
070162170160001,1831,38.4,13.3,40.8,41.6,1.1
070162180160001,1792,8.1,31.9,57.7,99.6,0.6
070162180160004,1575,46.2,27.9,20.9,99.4,0.2
070162180160007,1723,49.3,24.3,23,99.5,0.2
070162200170001,1779,64.6,2.1,25.4,49.7,0.7
070162270170001,999,3.4,88.8,5.5,85.1,3.1
070162270170002,1046,1.7,93,4,74.8,0.5
070162270170003,960,3.3,87.2,7.4,82.1,0.7
070162280160001,1425,19.9,25.5,49.4,41.4,1.3
070162280160002,1100,47.2,26.1,18.5,31.9,0.8
070162280160003,1110,0.8,89,4.8,56.1,2.5
070162280160004,1324,61.3,8.9,20.2,28.9,0.5
070162290160001,1724,64.4,6.6,26.7,38.5,0.6
070162300130001,3001,77,4.8,9.7,11.9,0.4
070162300130002,2286,75.3,4.3,15.7,28.3,0.5
070162300130003,2137,77.6,4.6,11.4,17.7,0.5
070162310160001,855,47,32.6,16,22.3,0.6
070162330160001,2723,18.6,68.6,7.5,22.7,0.3
07016901025001C,522,1.5,94.3,2.3,55.7,0
080083080260001,283,92.6,0.4,4.9,31.8,0.5
080083080262003,341,90.9,0.3,3.2,47.2,     
080083140260001,341,86.5,1.8,7.9,48.7,2.6
080083140261001,326,84.7,2.8,9.5,53.1,     
080083140262002,454,89,0.7,7,56.4,     
080083990260002,174,94.8,0.6,1.1,25.3,1.7
080083990261001,101,97,0,0,47.5,     
080083990262001,63,92.1,0,1.6,57.1,     
080083990262002,163,95.1,0,1.8,44.2,     
080431190220003,203,95.6,0.5,2,22.7,0.5
080431190221001,119,89.1,0.8,5,27.7,     
080431190222002,366,89.9,0.3,4.4,32,     
080431200220002,239,82,2.5,13.4,37.2,0.4
080431200221001,234,79.9,1.3,17.1,35.9,     
080431200222002,362,78.2,2.8,15.5,42,     
080432050260001,204,96.1,0,1,30.9,0.9
080432050262002,208,97.1,0,0,28.4,     
080432060260003,190,96.3,0.5,0,36.8,1.1
080432060261001,169,94.1,0,1.8,0.6,     
080432060262002,264,93.2,0.8,1.1,4.9,     
080432100260002,144,86.8,4.2,3.5,43.1,1.4
080432100261001,117,82.9,5.1,5.1,41.9,     
080432100262003,252,86.5,2,7.1,48.8,     
080432110260002,59,98.3,0,0,23.7,1.7
080432110261001,53,90.6,0,0,26.4,     
080432110262001,133,97.7,0,0,15,     
080891450220001,1189,55.6,21.7,10.2,57.1,2.7
080891450221002,684,46.6,26.5,12.7,73,     
080891450222003,316,33.9,19.9,32,85.4,     
080891450222004,273,50.5,30,4,67.4,     
080891450222005,227,51.5,25.1,9.7,80.2,     
080891450222006,281,64.1,21,2.5,59.1,     
080891450222012,240,34.6,39.6,6.7,82.5,     
080891450222015,467,57.4,21.4,7.9,58.2,     
080891450222017,315,55.2,24.1,4.8,64.4,     
080892000260001,133,97,0,3,24.1,1.5
080892000261001,69,92.8,0,4.3,34.8,     
080892000262001,241,94.2,0,5,34.9,     
080892010260001,379,91.8,1.1,3.2,28.8,0
080892010262003,426,91.3,0.5,3.8,38.7,     
080892020260001,226,94.7,3.1,1.3,38.9,1.8
080892020261002,165,92.7,1.8,5.5,38.2,     
080892020262003,419,92.8,2.1,4.1,38.2,     
080892030260001,101,95,0,3,16.8,0
080892030261001,84,96.4,1.2,1.2,19,     
080892030262003,162,93.2,0.6,3.7,39.5,     
090100010260001,276,92.8,1.4,1.4,33,1.1
090100010262002,345,89.9,2.6,3.2,31.6,     
090100030260001,957,91.1,1.4,2.3,17.9,0.6
090100030261002,712,90.6,0.7,3.4,22.1,     
090100030262003,659,88.5,1.8,3.9,18.2,     
090100030262004,454,88.1,0.4,5.3,25.3,     
090100030262005,285,87.7,1.8,2.8,29.1,     
090100040260001,1429,39.3,36,8.3,54.4,0.5
090100040260002,1235,46,28.4,13.6,46.4,1.6
090100040261003,695,38.8,33.7,15.1,54.4,     
090100040261005,705,39.1,34.6,10.5,58.4,     
090100040261007,637,26.2,46.8,7.5,65.3,     
090100040262007,476,48.7,20.8,6.5,43.7,     
090100040262008,470,52.3,21.3,6.8,38.7,     
090100040262010,333,24,40.2,7.2,60.1,     
090100040262011,505,8.5,60.8,14.1,71.3,     
090100040262013,336,46.4,27.7,8,53,     
090100040262017,426,43.9,32.2,4.9,52.3,     
090100040262020,418,23.2,56.9,7.7,58.9,     
090100040262021,434,41.2,21.7,12.7,51.8,     
090100040262024,312,63.8,23.1,2.9,38.1,     
090100040262026,479,12.9,60.8,12.7,78.9,     
090100040262027,491,36.5,26.7,9.2,45.6,     
090100040262028,249,16.9,10.4,66.3,71.5,     
090100070260007,555,93.2,0.5,0.2,25.2,0.2
090100070261005,368,91,1.1,0.3,30.2,     
090100070262006,448,92.9,0.4,0.4,37.1,     
090100070262007,304,93.4,2,0,29.3,     
090100080260001,166,94.6,1.2,0.6,25.3,1.2
090100080262001,285,89.5,0.7,1.1,41.4,     
090101160220001,1103,38.2,37.2,11.9,61.9,1.2
090101160221002,893,36.5,34.2,15.1,68.5,     
090101160222004,302,10.6,61.9,6,90.1,     
090101160222005,407,43,8.6,31.4,56.5,     
090101160222007,488,17.4,47.1,23.2,91,     
090101160222008,300,45.7,32.7,4.3,65.7,     
090101160222012,275,57.1,19.3,3.6,57.5,     
090101160222013,254,33.1,41.3,3.5,70.1,     
090101300042001,191,78,2.6,9.4,68.6,     
090101370021003,498,33.1,32.5,23.5,99.4,     
090101370022001,280,32.1,36.8,12.1,99.6,     
090101370022002,233,18.9,22.7,47.6,98.3,     
090101370022006,320,48.1,18.8,17.8,99.4,     
090101370022007,338,24.9,29.6,33.1,99.7,     
090101420042001,80,57.5,8.8,31.3,87.5,     
090101690041001,377,93.6,0.5,1.6,14.9,     
090101690042001,523,92.9,1.1,1.3,15.9,     
090101880042001,201,94.5,0,0,30.8,     
090101930170001,786,47.2,25.4,18.1,62.6,5.5
090101970041001,47,93.6,0,0,19.1,     
090101970042001,73,97.3,0,1.4,9.6,     
090101970042002,123,92.7,0,1.6,24.4,     
090103050160001,468,92.3,1.3,1.3,6.4,1.1
090270050260001,328,92.4,0,1.5,32.3,0.6
090270050261003,221,92.3,0.5,0.9,36.2,     
090270050262004,446,92.8,0.4,2.7,42.2,     
090270100260001,463,92.7,0.9,5.6,38.4,2.4
090270100261002,318,90.3,1.6,4.4,44.3,     
090270100262004,307,88.3,0.3,6.8,55,     
090270100262005,263,88.2,1.1,8.4,54.4,     
11012002C260001,418,95.7,0.7,0.5,29.7,3.6
11012002C261002,187,95.7,0.5,1.1,36.9,     
11012002C262003,404,95.8,0.7,0.2,43.3,     
11012002C262005,325,94.5,0.3,1.2,44,     
11012003C260001,177,96.6,1.1,1.7,58.8,0.9
11012003C262005,237,96.2,0,1.7,60.8,     
11012004C260001,426,95.8,0.9,2.1,44.4,0.3
11012004C262003,489,96.1,0.6,2.5,99.4,     
110150010260001,806,89,3.2,4.7,39.7,3.5
110150010261002,434,88.2,3.7,2.3,41,     
110150010262003,544,81.6,6.4,3.9,55.1,     
110150010262004,663,84.6,5.7,3.8,53.4,     
110150010262006,197,81.7,3.6,5.1,59.4,     
110150010262007,106,94.3,0.9,1.9,50,     
110150020260001,1072,88.2,4,3.7,50.3,1.3
110150020261003,713,87.4,3.6,3.1,62.1,     
110150020262015,738,82.5,7.3,3.1,68.6,     
110150020262016,759,87.9,2.5,4,64.3,     
110150050260002,75,100,0,0,33.3,0
110150050262001,183,91.8,1.6,2.7,46.4,     
110180030260001,325,96.6,0.9,0,42.2,3.2
110180030262002,239,96.7,1.3,1.3,49.4,     
110180770260001,274,97.1,0,0,29.2,2.2
110180770261001,305,97.4,0,0.7,39,     
110180770262003,443,97.5,0.7,0.2,41.1,     
110213010260001,313,93.6,1,2.6,24.9,0.6
110213010261004,283,90.8,2.1,3.9,33.6,     
110213010262002,375,92.3,0.8,5.3,42.7,     
110213020260001,194,95.9,0,0.5,29.9,0.5
110213020261001,101,94.1,0,1,43.6,     
110213020262001,364,92.3,0.5,2.5,44,     
110213050260001,284,96.5,1.1,0.4,35.9,0.4
110213050262003,388,93.3,0.3,4.1,33,     
110213050262004,234,95.3,2.6,1.3,53.8,     
110213050262005,303,95.7,0.7,0.7,46.9,     
110213060260001,346,56.9,0.3,41.9,37.3,0.5
110213060262002,385,52.2,0.5,44.4,44.9,     
110230010260001,199,93,1,0.5,46.2,2.6
110230010262002,205,95.6,0,0.5,46.8,     
110230030260001,106,99.1,0,0.9,48.1,0
110230030262002,103,95.1,4.9,0,53.4,     
110230040261001,150,96.7,0,1.3,35.3,     
110230040262001,318,94.3,0.3,2.2,32.4,     
110230060260001,98,100,0,0,22.4,0
110230060261001,67,92.5,0,0,31.3,     
110230060262003,124,96.8,0,1.6,38.7,     
110230950251001,280,93.9,0.4,0.4,61.4,     
110230950252003,305,95.1,0.3,2,55.4,     
110230950252006,314,94.9,1,1,67.2,     
110238000800001,616,97.2,0,1.1,41.7,0.8
110703000260004,318,93.4,0.6,2.5,41.2,0.6
110703000261001,252,94,0.4,0.8,45.6,     
110703000262001,527,93.7,0.8,1.5,51,     
110703020260001,163,97.5,0,0,36.8,0.6
110703020261001,154,96.1,0,0,48.1,     
110703020262001,167,96.4,0,0,43.1,     
110870010260002,148,99.3,0,0,36.5,0
110870010262002,218,96.8,0,0,46.8,     
11087003A260001,210,99.5,0,0.5,66.2,1.9
11087003A262001,158,98.7,0,1.3,74.1,     
110870040260001,323,98.1,0,0.6,33.1,1.2
110870040262002,459,96.5,0.4,1.3,44.4,     
110870040262003,315,94.9,0.6,1.6,41.3,     
110870040262006,87,96.6,0,1.1,46,     
11087005A260001,105,98.1,0,0,33.3,1
11087005A262003,243,96.7,0,2.1,35.8,     
110870210260001,246,93.9,3.3,0.8,41.1,18.4
110870210261001,169,93.5,0.6,0,46.7,     
110870210262001,158,95.6,0.6,0,45.6,     
110870210262002,167,96.4,0.6,0,33.5,     
120130100260002,50,96,0,4,40,2
120130100261001,71,97.2,1.4,1.4,70.4,     
120130100262001,204,98,1,0,64.7,     
120130250260001,198,98.5,0.5,0.5,43.4,0.5
120130250262004,457,97.6,0.2,1.8,39.8,     
120130350260001,372,95.7,0.3,1.3,51.9,3.2
120130350261001,300,93.3,0,1.3,49.7,     
120130350262008,715,95.2,0.3,1,58.2,     
120170010260001,100,98,1,0,44,1
120170010262002,241,95.9,0.8,0.8,53.9,     
120170020260001,457,92.1,0.7,2.6,38.9,1.5
120170020261005,349,90.8,1.1,3.2,49.3,     
120170020262004,342,94.7,1.2,1.5,45.6,     
120170020262007,433,92.1,0.9,3.2,45.3,     
120170030260001,107,100,0,0,20.6,0
120170030262002,210,97.1,0.5,1.4,46.2,     
120170040260001,179,93.3,1.1,2.2,35.2,1.7
120170040262002,402,94.8,0.2,2.2,49.5,     
120400010260001,462,97.2,0.4,1.1,33.3,0.2
120400010261003,200,97.5,0,2,41,     
120400010262002,549,96.7,0.4,1.5,45.5,     
120400010262011,136,99.3,0,0,41.2,     
120510100260001,428,95.3,0.2,1.4,53.3,2.6
120510100262005,360,95.8,0.3,0,60.6,     
120510100262008,209,97.1,0,1,62.2,     
120510200260008,320,93.1,0.9,3.1,51.6,5
120510200261007,257,96.1,0.4,1.9,59.1,     
120510200262007,625,95,1.8,2.2,55.2,     
120800010260001,733,92.2,0.4,3.7,45,1.9
120800010261002,551,90,0.5,4.4,51.2,     
120800010262008,1113,91.6,0.4,3.6,62.9,     
130140010260001,318,91.2,3.5,1.6,34.3,1.3
130140010261001,349,92.6,2.3,1.1,44.7,     
130140010262002,446,90.8,2.2,1.3,51.8,     
130140030260006,396,88.4,2,5.8,26.5,1.5
130140030262001,254,89,0.8,5.9,41.3,     
130140030262005,211,82.9,1.9,8.1,41.7,     
130140030262006,495,87.1,1.4,6.7,35.6,     
130140120042001,446,91,0.2,6.7,33,     
130140120042002,191,91.1,0,6.8,36.6,     
130140210022001,385,96.6,0.5,1,11.4,     
130140460022001,156,93.6,1.3,3.8,49.4,     
130140570022001,175,98.9,0,1.1,9.1,     
130140600022001,261,96.9,0.4,2.3,19.9,     
130140620022001,102,82.4,0,13.7,33.3,     
130140630022001,193,89.6,2.1,6.7,19.2,     
130140710160001,575,95.8,0.3,3.5,7.1,1
130141415022001,160,95.6,0,3.8,20.6,     
130141860022001,145,82.8,2.8,6.2,84.1,     
130410010260001,124,98.4,0.8,0.8,33.9,2.4
130410010262002,249,98.4,0.8,0,41.8,     
130410020042001,361,93.1,0,0.8,38.2,     
130410030042001,282,97.2,0.4,0,46.1,     
130410050042002,169,92.3,2.4,3.6,71,     
130410060042001,78,82.1,3.8,6.4,93.6,     
130410120042001,61,98.4,1.6,0,47.5,     
130410790022001,275,92,0.7,2.2,51.6,     
130410800021001,389,55.5,28.3,4.6,79.7,     
130410800022002,321,56.1,24,3.1,80.7,     
130410800022008,676,50,29.6,3.6,84.5,     
130410820022001,195,74.9,8.7,6.2,85.6,     
130410990042001,66,92.4,1.5,0,40.9,     
130411780042001,124,93.5,2.4,0.8,92.7,     
130411780042002,112,95.5,1.8,0,61.6,     
130412010170001,1190,74.7,14.5,3.4,55.7,2.1
130412090270001,158,96.8,0,0.6,19.6,1.3
130412090272001,360,93.6,0.3,0.6,43.3,     
130413180270001,116,95.7,1.7,0.9,34.5,1.7
130413180272001,284,98.2,0.4,0.4,49.3,     
130580010032001,254,91.3,2.8,2,48.8,     
130580020032001,111,100,0,0,77.5,     
130580070042001,213,95.8,0.9,1.4,52.1,     
130580100042003,252,93.7,1.2,1.6,41.3,     
130581000260002,63,96.8,1.6,0,54,3.2
130581000261001,36,100,0,0,55.6,     
130581000262001,152,99.3,0,0,50,     
130581110022004,419,91.2,0.7,0.7,54.9,     
130581110022005,600,93.5,0.7,0.7,44,     
130581330022001,308,90.9,1.9,1.9,92.9,     
130581350021001,523,73,13.4,3.3,99.8,     
130581350022003,162,65.4,17.3,2.5,96.9,     
130581350022006,239,56.5,25.5,2.5,99.2,     
130581350022007,155,71,19.4,3.2,98.1,     
130581350022008,189,64,15.3,3.2,98.9,     
130582000170001,911,76.1,9.8,4.1,61.7,2
130584010260001,186,96.8,0.5,1.1,51.6,0
130584010261001,131,96.2,0.8,1.5,48.9,     
130584010262002,293,96.9,0.7,1.4,48.1,     
130585010260001,125,95.2,0,1.6,70.4,0.8
130585010261002,55,92.7,0,0,81.8,     
130585010262002,302,93,0,1,75.8,     
130586000160001,697,93.3,0.3,1.7,48.2,3.3
130587220260001,73,97.3,1.4,0,58.9,1.4
130587220262001,198,91.9,2.5,2,79.8,     
130950010042001,80,96.3,0,0,52.5,     
130950100260001,262,92.4,0.8,4.2,30.5,0
130950100262003,296,95.6,0,3,31.4,     
130950110042001,64,89.1,0,7.8,78.1,     
130950150042001,172,94.8,0,1.7,58.1,     
130950490042002,594,92.8,1.3,2.9,34.3,     
130950990160001,411,96.4,1,0.2,30.2,0.7
