year,mergecode,mathpass,elapass,totaltest,totalenroll,white,black,hispanic,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,districtcode,state,year_21
21,490810300170001,13.7,17.1,321,1737,50.4,18.8,24.6,58.2,3.1,173987004008,0.0,0.0,1.0,0.0,49081030017il,il,1
17,490810400220001,26.6,30.2,501,2037,58.0,7.5,26.7,42.8,0.6,172640002824,0.0,0.0,1.0,0.0,49081040022il,il,0
18,490810400220001,28.6,31.6,484,2082,56.3,8.5,27.0,45.8,0.8,172640002824,0.0,0.0,1.0,0.0,49081040022il,il,0
19,490810400220001,21.6,26.3,476,2082,55.3,8.5,27.8,47.3,2.6,172640002824,0.0,0.0,1.0,0.0,49081040022il,il,0
21,490810400220001,16.4,25.1,464,2087,54.6,9.3,27.8,42.8,2.9,172640002824,0.8,0.1,0.1,0.5,49081040022il,il,1
17,490810410250001,17.5,17.8,369,1657,47.9,31.4,11.4,60.4,2.2,173441003540,0.0,0.0,1.0,0.0,49081041025il,il,0
18,490810410250001,15.3,17.4,366,1597,46.5,31.3,12.3,58.7,2.2,173441003540,0.0,0.0,1.0,0.0,49081041025il,il,0
19,490810410250001,15.4,20.7,372,1594,45.9,30.9,13.4,58.5,7.5,173441003540,0.0,0.0,1.0,0.0,49081041025il,il,0
21,490810410250001,8.4,13.0,385,1666,42.7,30.8,14.0,45.6,4.8,173441003540,0.7,0.3,0.0,0.65,49081041025il,il,1
17,490811000260001,36.4,40.3,77,326,94.5,0.3,1.5,22.7,1.2,173393003484,0.0,0.0,1.0,0.0,49081100026il,il,0
18,490811000260001,36.3,43.8,80,329,93.0,0.0,0.0,20.7,0.0,173393003484,0.0,0.0,1.0,0.0,49081100026il,il,0
19,490811000260001,34.9,38.5,83,334,94.0,0.3,5.1,2.7,1.2,173393003484,0.0,0.0,1.0,0.0,49081100026il,il,0
21,490811000260001,29.1,32.9,79,325,92.0,0.0,5.8,22.2,3.0,173393003484,0.9,0.1,0.0,0.55,49081100026il,il,1
17,490812000260001,33.1,33.1,118,475,88.4,2.1,4.8,22.9,0.2,173618003747,0.0,0.0,1.0,0.0,49081200026il,il,0
18,490812000260001,36.1,34.2,108,462,88.7,0.0,5.2,19.5,0.4,173618003747,0.0,0.0,1.0,0.0,49081200026il,il,0
